condition,value,E_MeV,mixture,d_mfp,B_exposure,T_primary,T_broad,T_broad_using_Geant4_MAC
thickness_cm,1,0.015,1,1.7057179356263559,1.3544126976836623,0.1816419321378484,0.24601813931929598,0.24653299249997285
thickness_cm,1,0.015,2,1.5640166319824753,1.355532386541428,0.20929372476680913,0.28370442222129755,0.28373991769396684
thickness_cm,1,0.015,3,1.8630914516747907,1.3526450649423076,0.1551921190755371,0.2099198539854642,0.21117719906874724
thickness_cm,1,0.015,4,1.8403394046997388,1.348242733240673,0.15876353187259518,0.2140517781508504,0.21490008360095084
thickness_cm,1,0.015,5,1.6723220754729267,1.3448157364922606,0.1878104488695098,0.25257044711739185,0.25307877037436305
thickness_cm,1,0.015,6,1.6943361212844172,1.3511568258987132,0.18372115711632006,0.2482360954997258,0.24881262853250685
thickness_cm,1,0.015,7,1.7173629051485315,1.3577278733311091,0.1795389855130052,0.24376508498059737,0.24398317706252506
thickness_cm,1,0.015,8,1.7292774844003336,1.3611037534710029,0.1774125470065884,0.24147688364351821,0.2422074217619675
thickness_cm,1,0.015,9,1.741473957689436,1.3645424766853596,0.17526188154274705,0.23915228190887616,0.2397952531720474
thickness_cm,1,0.015,10,1.7667477083193037,1.3716153586900206,0.17088786320548552,0.2343924177863632,0.23474940741289468
thickness_cm,1,0.02,1,0.8614213962297614,1.5098087699825231,0.42256102859830547,0.6379863468305573,0.6362245986586664
thickness_cm,1,0.02,2,0.7958265228591133,1.5036691381016178,0.45120814691330546,0.6784677653735582,0.6759025678596257
thickness_cm,1,0.02,3,0.9342718412039736,1.5154156255899371,0.39287183448547,0.5953641168334647,0.5932217162944472
thickness_cm,1,0.02,4,0.9230213890339427,1.5084821026136686,0.3973167771920356,0.5993452474623283,0.597083286936756
thickness_cm,1,0.02,5,0.8442700612882444,1.4924417024956667,0.42987102321960585,0.6415574417474228,0.6384438069403554
thickness_cm,1,0.02,6,0.8555761757401702,1.5039006507833004,0.42503822380374884,0.639215261386236,0.6374057603743009
thickness_cm,1,0.02,7,0.8674024186787368,1.5158421323993019,0.420041224613959,0.6367161856144378,0.6337131281686936
thickness_cm,1,0.02,8,0.8735212524268811,1.5220037146227239,0.4174789093780941,0.6354044508501028,0.6329412614448765
thickness_cm,1,0.02,9,0.8797855272594216,1.5282991973427162,0.41487188084978444,0.6340483625027885,0.6318195376172658
thickness_cm,1,0.02,10,0.8927643669948415,1.5413073446133716,0.40952211715751724,0.631199446956499,0.6285426664275433
thickness_cm,1,0.03,1,0.4326127928176764,,,,
thickness_cm,1,0.03,2,0.4053158948927021,,,,
thickness_cm,1,0.03,3,0.4629270575695994,,,,
thickness_cm,1,0.03,4,0.4568727101827676,,,,
thickness_cm,1,0.03,5,0.42231696593265766,,,,
thickness_cm,1,0.03,6,0.4291028041253994,,,,
thickness_cm,1,0.03,7,0.43620216889853963,,,,
thickness_cm,1,0.03,8,0.43987506873548105,,,,
thickness_cm,1,0.03,9,0.44363444200852375,,,,
thickness_cm,1,0.03,10,0.4514265335560074,,,,
thickness_cm,1,0.04,1,0.3245289800391047,,,,
thickness_cm,1,0.04,2,0.3065756557543305,,,,
thickness_cm,1,0.04,3,0.3444691778106215,,,,
thickness_cm,1,0.04,4,0.3396201879895561,,,,
thickness_cm,1,0.04,5,0.31578933837095735,,,,
thickness_cm,1,0.04,6,0.3215507026369614,,,,
thickness_cm,1,0.04,7,0.32757711372249015,,,,
thickness_cm,1,0.04,8,0.33069481122126376,,,,
thickness_cm,1,0.04,9,0.33388729212924195,,,,
thickness_cm,1,0.04,10,0.34050176386213954,,,,
thickness_cm,1,0.05,1,0.2816394465196652,,,,
thickness_cm,1,0.05,2,0.2671832743093586,,,,
thickness_cm,1,0.05,3,0.29769292452427987,,,,
thickness_cm,1,0.05,4,0.2933250757180157,,,,
thickness_cm,1,0.05,5,0.2735571256492135,,,,
thickness_cm,1,0.05,6,0.27888476286715524,,,,
thickness_cm,1,0.05,7,0.2844561439675188,,,,
thickness_cm,1,0.05,8,0.28733975054508926,,,,
thickness_cm,1,0.05,9,0.29029124772142284,,,,
thickness_cm,1,0.05,10,0.2964077354577166,,,,
thickness_cm,1,0.06,1,0.25897709896983606,,,,
thickness_cm,1,0.06,2,0.24622996085351506,,,,
thickness_cm,1,0.06,3,0.27313254011113164,,,,
thickness_cm,1,0.06,4,0.2690336501305483,,,,
thickness_cm,1,0.06,5,0.2512952140669267,,,,
thickness_cm,1,0.06,6,0.2563584554479503,,,,
thickness_cm,1,0.06,7,0.261654627079964,,,,
thickness_cm,1,0.06,8,0.26439446050436516,,,,
thickness_cm,1,0.06,9,0.2672001810417633,,,,
thickness_cm,1,0.06,10,0.27301315613678295,,,,
thickness_cm,1,0.08,1,0.23390627654203694,,,,
thickness_cm,1,0.08,2,0.22284101172366233,,,,
thickness_cm,1,0.08,3,0.2461952534568761,,,,
thickness_cm,1,0.08,4,0.24242670496083552,,,,
thickness_cm,1,0.08,5,0.22677395007169227,,,,
thickness_cm,1,0.08,6,0.2314744983064705,,,,
thickness_cm,1,0.08,7,0.23639264107402333,,,,
thickness_cm,1,0.08,8,0.2389368625984264,,,,
thickness_cm,1,0.08,9,0.24154236581942903,,,,
