Energy_MeV,Mix1,Mix2,Mix3,Mix4,Mix5,Mix6,Mix7,Mix8,Mix9,Mix10
0.015,,,,,,,,,,
0.02,6.16718,6.70085,5.67779,5.64349,5.98846,6.1068,6.22838,6.2904,6.35325,6.48142
0.03,23.8708,27.0799,21.8596,21.6271,22.4744,23.379,24.3715,24.8813,25.4002,26.4659
0.04,76.7688,89.2833,71.4887,70.489,73.4165,74.7978,79.0427,81.3707,83.7546,88.6898
0.05,162.869,186.612,153.716,151.194,157.827,161.179,167.225,172.099,177.092,187.439
0.06,243.751,272.687,230.23,226.238,236.132,241.195,247.377,254.124,261.033,275.336
0.08,299.709,326.001,284.064,279.047,290.778,296.71,302.723,308.071,315.327,330.302
0.1,264.154,283.754,251.319,247.002,256.809,261.687,266.647,269.694,275.774,288.271
0.15,153.128,160.605,147.204,145.026,149.912,152.055,154.206,155.287,157.349,162.929
0.2,91.0411,94.5136,88.0426,86.8946,89.4633,90.5136,91.5703,92.101,92.9813,95.6013
0.3,42.1113,43.2053,41.0573,40.6395,41.6031,41.9416,42.2826,42.4539,42.6683,43.5864
0.356,30.9765,31.6762,30.2911,30.0159,30.6622,30.8712,31.0824,31.1887,31.3078,31.8968
0.4,25.1362,25.6506,24.6314,24.4265,24.9156,25.0624,25.2103,25.2852,25.3628,25.7916
0.5,17.2735,17.5676,16.9839,16.8649,17.1588,17.235,17.3121,17.351,17.3901,17.6215
0.511,16.6865,16.966,16.4115,16.2981,16.5789,16.6502,16.7226,16.7593,16.7958,17.0148
0.6,12.948,13.1367,12.7618,12.6846,12.8824,12.9259,12.97,12.9921,13.0144,13.1555
0.662,11.2328,11.3846,11.0832,11.0206,11.1828,11.216,11.2496,11.2666,11.2838,11.3891
0.8,8.59383,8.69268,8.49599,8.45484,8.56525,8.58419,8.60339,8.61302,8.62286,8.68312
1,6.46063,6.51971,6.40213,6.37732,6.44887,6.45664,6.46464,6.46868,6.47275,6.50601
1.173,5.57934,5.65474,5.50545,5.48779,5.58267,5.58045,5.57824,5.57714,5.57604,5.57394
1.33,4.96312,5.02431,4.90305,4.8955,4.98898,4.97177,4.95457,4.94596,4.93745,4.92043
1.5,4.36533,4.41198,4.31948,4.31416,4.38863,4.37305,4.35764,4.34997,4.34233,4.32712
2,3.35151,3.38034,3.32378,3.32034,3.36628,3.3564,3.34658,3.34172,3.33682,3.32713
2.51,2.80211,2.82199,2.78273,2.7802,2.81251,2.80554,2.79865,2.79524,2.7918,2.78499
3,2.46393,2.47848,2.44934,2.44732,2.47174,2.46652,2.46138,2.45879,2.45622,2.45109
4,2.06141,2.07011,2.0531,2.05143,2.06574,2.06285,2.06001,2.05857,2.05714,2.05433
5,1.8243,1.82964,1.81945,1.81801,1.82665,1.82508,1.82352,1.82274,1.82197,1.82042
6,1.68557,1.68901,1.68246,1.68118,1.68695,1.68603,1.68509,1.68464,1.68418,1.68326
7,1.5816,1.58454,1.57852,1.57752,1.58305,1.58209,1.58112,1.58064,1.58016,1.5792
8,1.50279,1.50535,1.49963,1.49881,1.50434,1.50333,1.50227,1.50174,1.50122,1.50018
9,1.44096,1.44301,1.43851,1.43777,1.4421,1.44135,1.44056,1.44017,1.43979,1.43902
10,1.39057,1.39221,1.38873,1.38803,1.3914,1.39085,1.3903,1.39002,1.38975,1.38918
11,1.35447,1.35578,1.35304,1.35238,1.35505,1.35466,1.35426,1.35406,1.35385,1.35346
12,1.32379,1.32483,1.32271,1.32209,1.32419,1.32393,1.32365,1.32352,1.32338,1.32311
13,1.29732,1.29814,1.29655,1.29595,1.29758,1.29741,1.29725,1.29716,1.29709,1.29692
14,1.27426,1.27488,1.27376,1.27318,1.27438,1.2743,1.27423,1.2742,1.27417,1.2741
15,1.25388,1.25434,1.25361,1.25305,1.25388,1.25387,1.2539,1.25391,1.25392,1.25395
