Energy_MeV,Mix1,Mix2,Mix3,Mix4,Mix5,Mix6,Mix7,Mix8,Mix9,Mix10
0.015,2.37009,2.43983,2.30892,2.29317,2.33276,2.3574,2.38305,2.39628,2.40979,2.43774
0.02,4.53756,4.69012,4.38548,4.33571,4.37133,4.48072,4.5959,4.65581,4.71734,4.84551
0.03,12.949,13.5515,12.6981,12.4406,12.0374,12.6273,13.2829,13.6297,13.99,14.7538
0.04,31.3035,32.2634,31.8553,30.9169,28.989,30.3007,32.4176,33.586,34.8126,37.4543
0.05,51.9656,52.1181,54.4416,52.5025,47.9864,50.5863,53.9281,56.0777,58.3436,63.2567
0.06,65.7989,64.292,69.9162,67.1758,60.3305,63.8974,67.9657,70.7768,73.7465,80.2047
0.08,68.9346,65.4588,74.3734,71.253,62.8979,66.8299,71.1377,73.8019,76.8963,83.635
0.1,58.8239,55.2536,63.733,61.074,53.7349,57.0506,60.6818,62.6992,65.2289,70.7406
0.15,34.7956,32.245,37.9654,36.4904,32.0449,33.8383,35.7974,36.8459,38.0944,41.0186
0.2,22.6641,21.0134,24.6539,23.7706,21.0199,22.0927,23.2604,23.8833,24.5973,26.2906
0.3,12.7525,11.9097,13.7307,13.3173,11.9774,12.4843,13.0314,13.3214,13.6316,14.3942
0.356,10.1868,9.55052,10.9203,10.6174,9.61746,9.99007,10.391,10.6031,10.826,11.3788
0.4,8.75225,8.22892,9.35403,9.10971,8.29256,8.59361,8.9167,9.08739,9.265,9.70686
0.5,6.70181,6.33785,7.11822,6.95355,6.39058,6.5946,6.81272,6.92749,7.04633,7.33724
0.511,6.53734,6.18554,6.93974,6.78106,6.23759,6.43404,6.64409,6.75465,6.86899,7.14945
0.6,5.45445,5.18044,5.76659,5.64677,5.2279,5.37646,5.53493,5.61809,5.70407,5.91732
0.662,4.93461,4.69885,5.20292,5.10027,4.74019,4.86778,5.00359,5.0748,5.14844,5.32651
0.8,4.09512,3.91922,4.29465,4.2185,3.94993,4.04528,4.14642,4.19929,4.25386,4.37999
1,3.36117,3.23095,3.50811,3.45504,3.26046,3.32663,3.39671,3.4333,3.47097,3.55959
1.173,3.03925,2.9398,3.15112,3.10751,2.95803,3.01146,3.0678,3.09713,3.12729,3.19024
1.33,2.81004,2.72356,2.90715,2.87227,2.7476,2.78873,2.83194,2.85437,2.87742,2.92537
1.5,2.58375,2.50949,2.66697,2.63782,2.53171,2.56597,2.60198,2.62067,2.63985,2.67972
2,2.16426,2.11304,2.22192,2.20187,2.1285,2.15204,2.17675,2.18958,2.20271,2.23
2.51,1.92024,1.88101,1.9641,1.94891,1.89308,1.91095,1.92972,1.93947,1.94943,1.97013
3,1.76482,1.73286,1.80024,1.78801,1.7429,1.75734,1.77251,1.78035,1.7884,1.80509
4,1.56917,1.54557,1.59564,1.5867,1.55282,1.56359,1.57489,1.58073,1.58671,1.59913
5,1.4489,1.42999,1.47019,1.46318,1.43576,1.44442,1.45349,1.45818,1.46297,1.47291
6,1.37693,1.36067,1.39519,1.3893,1.36566,1.37309,1.38085,1.38486,1.38897,1.39745
7,1.32156,1.30791,1.33655,1.33164,1.31229,1.31841,1.32479,1.32809,1.33146,1.33846
8,1.27928,1.26759,1.29177,1.28758,1.27153,1.27665,1.28198,1.28472,1.28755,1.29339
9,1.24524,1.2349,1.25638,1.25269,1.23832,1.24289,1.24764,1.25009,1.25261,1.25783
10,1.21746,1.20821,1.22752,1.22423,1.21123,1.21534,1.21963,1.22184,1.22411,1.2288
11,1.19744,1.18894,1.20675,1.20373,1.19167,1.19547,1.19943,1.20148,1.20357,1.20791
12,1.18042,,1.18908,1.18631,1.17506,1.1786,1.18228,1.18418,1.18613,1.19016
13,1.16573,,1.17384,1.17127,,1.16403,1.16747,1.16925,1.17107,1.17483
14,,,1.16055,1.15817,,,1.15456,1.15623,1.15794,1.16147
15,,,1.1488,1.14658,,,,,1.14633,1.14966
