Energy_MeV,Mix1,Mix2,Mix3,Mix4,Mix5,Mix6,Mix7,Mix8,Mix9,Mix10
0.015,8.05488e-08,3.37575e-07,1.64265e-08,2.04951e-08,1.10834e-07,8.98091e-08,7.20583e-08,6.42936e-08,5.7208e-08,4.4906e-08
0.02,0.000601061,0.00118657,0.000282995,0.000313785,0.000693069,0.000631011,0.000571833,0.000543352,0.000515613,0.000462428
0.03,0.0962964,0.129339,0.0707423,0.0738967,0.101001,0.0978589,0.0947066,0.0930887,0.0914429,0.0880678
0.04,0.508897,0.610821,0.427795,0.438254,0.523399,0.511875,0.506346,0.503633,0.500744,0.494434
0.05,1.05801,1.20571,0.943198,0.957527,1.07831,1.06506,1.05708,1.05683,1.05629,1.05428
0.06,1.47212,1.62304,1.351,1.36477,1.4883,1.47785,1.46862,1.47212,1.47529,1.48061
0.08,1.76745,1.88179,1.66917,1.67837,1.77385,1.76988,1.76472,1.76749,1.77449,1.78771
0.1,1.76824,1.85208,1.68593,1.69189,1.7687,1.76866,1.76753,1.7674,1.77197,1.78069
0.15,1.39899,1.43571,1.36095,1.36588,1.40372,1.40069,1.39715,1.39516,1.39653,1.40384
0.2,1.18339,1.2083,1.15648,1.1604,1.18769,1.18492,1.18176,1.18002,1.18034,1.18581
0.3,1.01224,1.03075,0.990765,0.994476,1.01722,1.01398,1.01041,1.00849,1.00681,1.00704
0.356,0.95978,0.976584,0.940263,0.944011,0.965256,0.961681,0.957797,0.955729,0.953695,0.952931
0.4,0.925971,0.941881,0.907572,0.911368,0.9318,0.927986,0.923878,0.921701,0.919474,0.918028
0.5,0.880728,0.895573,0.863724,0.86756,0.886976,0.88288,0.878502,0.876199,0.873815,0.871256
0.511,0.876769,0.891467,0.859936,0.863787,0.883081,0.878944,0.874523,0.872199,0.869798,0.867267
0.6,0.848846,0.862568,0.833181,0.837141,0.855664,0.851187,0.84644,0.843961,0.841407,0.839103
0.662,0.83789,0.851445,0.822493,0.826352,0.844532,0.840169,0.835545,0.833128,0.830635,0.82763
0.8,0.819094,0.832477,0.804052,0.807727,0.82542,0.821266,0.81686,0.814559,0.812184,0.808058
1,0.805071,0.817066,0.791558,0.79546,0.812195,0.807506,0.802573,0.800011,0.797383,0.793233
1.173,0.812552,0.825474,0.798134,0.801811,0.819506,0.81493,0.810111,0.807605,0.805031,0.799666
1.33,0.818027,0.830306,0.804331,0.808264,0.825942,0.820727,0.815257,0.812421,0.809509,0.803464
1.5,0.817925,0.829689,0.804807,0.808701,0.825769,0.820604,0.815182,0.812372,0.809492,0.803513
2,0.81958,0.830791,0.807249,0.810926,0.827083,0.822138,0.816968,0.814291,0.811557,0.805888
2.51,0.823169,0.833654,0.811562,0.815022,0.830247,0.825583,0.820707,0.818184,0.815609,0.810274
3,0.826023,,0.814845,0.81817,,0.828351,0.82364,0.82121,0.818725,0.813585
4,,,,,,,,,,
5,,,,,,,,,,
6,,,,,,,,,,
7,,,,,,,,,,
8,,,,,,,,,,
9,,,,,,,,,,
10,,,,,,,,,,
11,,,,,,,,,,
12,,,,,,,,,,
13,,,,,,,,,,
14,,,,,,,,,,
15,,,,,,,,,,
