Energy_MeV,Mix1,Mix2,Mix3,Mix4,Mix5,Mix6,Mix7,Mix8,Mix9,Mix10
0.015,,,,,,,,,,
0.02,9.58047e-15,2.3456e-14,3.91289e-15,3.71908e-15,6.19211e-15,8.28318e-15,1.10804e-14,1.28158e-14,1.48222e-14,1.98286e-14
0.03,9.11463e-08,1.14379e-07,7.26364e-08,7.20648e-08,7.81372e-08,8.65884e-08,9.59489e-08,1.01005e-07,1.06327e-07,1.17821e-07
0.04,5.23209e-06,5.61595e-06,4.87422e-06,4.90601e-06,4.84846e-06,5.10087e-06,5.36642e-06,5.50447e-06,5.64579e-06,5.93971e-06
0.05,2.61007e-05,2.65508e-05,2.56594e-05,2.59692e-05,2.49073e-05,2.56966e-05,2.65123e-05,2.69292e-05,2.73526e-05,2.82194e-05
0.06,6.10175e-05,6.06646e-05,6.13755e-05,6.22595e-05,5.90161e-05,6.03439e-05,6.17016e-05,6.23935e-05,6.30899e-05,6.45094e-05
0.08,0.000156118,0.000152583,0.000159734,0.000162237,0.000152629,0.000154951,0.000157301,0.000158493,0.000159686,0.000162108
0.1,0.000278108,0.000270429,0.000285991,0.000290473,0.000273052,0.000276403,0.00027981,0.000281522,0.000283245,0.000286721
0.15,0.000711312,0.000690462,0.000732754,0.000743345,0.000701002,0.000707835,0.00071477,0.000718245,0.000721773,0.000728808
0.2,0.00135068,0.00131273,0.00138972,0.00140819,0.00133316,0.00134481,0.00135656,0.00136248,0.00136842,0.00138038
0.3,0.00326025,0.00317801,0.00334446,0.00338281,0.00322362,0.00324789,0.0032725,0.00328496,0.0032973,0.00332229
0.356,0.0046784,0.00456699,0.00479251,0.00484383,0.00462884,0.00466182,0.00469503,0.00471173,0.00472849,0.00476218
0.4,0.00595098,0.00581508,0.00609004,0.00615248,0.00589088,0.00593078,0.00597124,0.00599128,0.00601169,0.0060524
0.5,0.0093055,0.00911075,0.00950488,0.00959369,0.00922074,0.00927716,0.00933392,0.00936243,0.00939103,0.00944897
0.511,0.00971193,0.00951011,0.00991804,0.0100102,0.00962395,0.00968284,0.0097416,0.00977087,0.00980071,0.00986019
0.6,0.0132388,0.0129819,0.0135016,0.0136182,0.0131268,0.0132018,0.0132766,0.0133145,0.0133525,0.0134288
0.662,0.0159133,0.0156161,0.0162153,0.0163496,0.0157826,0.0158696,0.0159571,0.0160011,0.0160443,0.0161328
0.8,0.0224234,0.022041,0.0228136,0.0229876,0.0222581,0.0223685,0.0224795,0.0225358,0.0225911,0.0227032
1,0.0329011,0.032395,0.033415,0.0336447,0.032683,0.0328288,0.0329735,0.0330462,0.0331189,0.033265
1.173,0.0426619,0.0420519,0.0432785,0.043552,0.0423939,0.0425724,0.0427515,0.0428414,0.0429315,0.04311
1.33,0.0519538,0.0512597,0.0526573,0.0529689,0.0516559,0.0518526,0.0520526,0.0521542,0.0522534,0.052455
1.5,0.0621192,0.0613414,0.0629069,0.063257,0.0617816,0.0620075,0.0622311,0.0623432,0.0624556,0.0626808
2,0.092135,0.0911772,0.0931076,0.0935602,0.0917305,0.0920015,0.0922733,0.0924072,0.092546,0.0928194
2.51,0.121602,0.120507,0.122708,0.12323,0.121135,0.12145,0.12176,0.121913,0.122071,0.122383
3,0.147748,0.146607,0.14889,0.149471,0.147283,0.147593,0.147895,0.148051,0.148206,0.148518
4,0.194699,0.193563,0.195832,0.196518,0.194262,0.194553,0.194835,0.194982,0.195128,0.195411
5,0.233482,0.232457,0.234523,0.235275,0.233132,0.233365,0.233599,0.233716,0.233833,0.234067
6,0.265418,0.26453,0.266308,0.267109,0.265179,0.265338,0.265511,0.26559,0.26567,0.265843
7,0.291898,0.291169,0.292614,0.293449,0.291767,0.291854,0.291942,0.291986,0.29203,0.292117
8,0.314067,0.313518,0.314601,0.315483,0.314035,0.314051,0.314067,0.314082,0.314082,0.314098
9,0.332671,0.332306,0.333054,0.333955,0.332771,0.332705,0.332655,0.332622,0.332588,0.332522
10,0.348576,0.348384,0.348767,0.349693,0.348767,0.348645,0.348506,0.348436,0.348367,0.348245
11,0.362149,0.362113,0.362185,0.363128,0.362457,0.362257,0.362058,0.36195,0.361859,0.36166
12,0.373906,0.374037,0.373794,0.374749,0.374318,0.374037,0.373775,0.373645,0.373514,0.373253
13,0.384159,0.384428,0.38389,0.38487,0.384639,0.384312,0.383986,0.383832,0.383659,0.383353
14,0.393018,0.393431,0.392605,0.393588,0.393588,0.393195,0.392821,0.392625,0.392429,0.392056
15,0.400777,0.401318,0.400236,0.401238,0.401439,0.400998,0.400557,0.400336,0.400116,0.399676
