mixture,E_MeV,n_incident_pooled,n_transmitted_pooled,T,MAC_G4,u_MAC,MAC_XCOM,dev_pct,dev_sigma,MAC_s1,MAC_s2,LAC,u_LAC,MFP_cm,HVL_cm,TVL_cm,RPE_1cm_pct,u_RPE_pct
1,0.01,1804517,9757,0.005407,3.912108,0.007567,3.945382,-0.843,-4.40,3.925982,3.898481,5.220063,0.010096,0.19157,0.13279,0.44110,99.4593,0.0055
1,0.015,1936825,352619,0.182060,1.276604,0.001141,1.278328,-0.135,-1.51,1.274366,1.278848,1.703417,0.001523,0.58706,0.40692,1.35174,81.7940,0.0277
1,0.02,1969723,829020,0.420882,0.648566,0.000626,0.645581,+0.462,+4.76,0.648456,0.648675,0.865404,0.000836,1.15553,0.80095,2.66071,57.9118,0.0352
1,0.03,1986478,1287546,0.648155,0.324975,0.000392,0.324216,+0.234,+1.94,0.325255,0.324695,0.433625,0.000523,2.30614,1.59849,5.31008,35.1845,0.0339
1,0.04,1990729,1439643,0.723174,0.242897,0.000329,0.243214,-0.130,-0.97,0.241894,0.243901,0.324106,0.000439,3.08541,2.13865,7.10443,27.6826,0.0317
1,0.05,1992278,1505353,0.755594,0.210031,0.000302,0.211071,-0.493,-3.45,0.210099,0.209963,0.280251,0.000403,3.56823,2.47331,8.21614,24.4406,0.0304
1,0.06,1993132,1540555,0.772932,0.193028,0.000288,0.194087,-0.545,-3.68,0.193200,0.192857,0.257565,0.000384,3.88252,2.69116,8.93984,22.7068,0.0297
1,0.08,1993874,1579761,0.792307,0.174473,0.000272,0.175298,-0.470,-3.03,0.174143,0.174804,0.232806,0.000363,4.29542,2.97736,9.89058,20.7693,0.0287
1,0.1,1994394,1604478,0.804494,0.163034,0.000262,0.163750,-0.437,-2.74,0.162696,0.163372,0.217542,0.000349,4.59682,3.18627,10.58457,19.5506,0.0281
1,0.15,1994990,1645091,0.824611,0.144524,0.000245,0.144968,-0.306,-1.81,0.144568,0.144479,0.192843,0.000327,5.18556,3.59435,11.94018,17.5389,0.0269
1,0.2,1995454,1673860,0.838837,0.131705,0.000233,0.132143,-0.331,-1.88,0.131065,0.132347,0.175739,0.000310,5.69025,3.94418,13.10228,16.1163,0.0260
1,0.3,1996077,1714293,0.858831,0.114052,0.000215,0.114519,-0.408,-2.17,0.113909,0.114194,0.152183,0.000287,6.57104,4.55470,15.13037,14.1169,0.0246
1,0.356,1996401,1732311,0.867717,0.106337,0.000207,0.107296,-0.893,-4.63,0.106070,0.106605,0.141890,0.000276,7.04773,4.88511,16.22799,13.2283,0.0240
1,0.4,1996709,1742030,0.872451,0.102260,0.000203,0.102484,-0.218,-1.10,0.102319,0.102201,0.136449,0.000271,7.32873,5.07989,16.87503,12.7549,0.0236
1,0.5,1996817,1763319,0.883065,0.093197,0.000193,0.093543,-0.369,-1.79,0.092938,0.093457,0.124357,0.000258,8.04139,5.57387,18.51599,11.6935,0.0227
1,0.511,1996952,1765592,0.884143,0.092283,0.000192,0.092688,-0.437,-2.11,0.092170,0.092395,0.123136,0.000256,8.12110,5.62912,18.69953,11.5857,0.0226
1,0.6,1997155,1780123,0.891329,0.086216,0.000185,0.086492,-0.319,-1.49,0.086412,0.086021,0.115041,0.000247,8.69254,6.02521,20.01531,10.8671,0.0220
1,0.662,1997300,1788866,0.895642,0.082599,0.000181,0.082812,-0.258,-1.18,0.082530,0.082668,0.110214,0.000242,9.07323,6.28908,20.89188,10.4358,0.0216
1,0.8,1997492,1804824,0.903545,0.076015,0.000173,0.075953,+0.081,+0.36,0.076056,0.075973,0.101429,0.000231,9.85908,6.83380,22.70138,9.6455,0.0209
1,1.0,1997820,1824632,0.913312,0.067958,0.000163,0.068285,-0.479,-2.00,0.067882,0.068033,0.090678,0.000218,11.02800,7.64403,25.39291,8.6688,0.0199
1,1.173,1997960,1837101,0.919488,0.062906,0.000157,0.063089,-0.290,-1.17,0.062952,0.062860,0.083938,0.000209,11.91357,8.25786,27.43202,8.0512,0.0192
1,1.33,1998186,1846570,0.924123,0.059138,0.000152,0.059148,-0.017,-0.07,0.059023,0.059253,0.078910,0.000203,12.67268,8.78403,29.17992,7.5877,0.0187
1,1.5,1998253,1855671,0.928647,0.055479,0.000147,0.055574,-0.172,-0.65,0.055425,0.055532,0.074027,0.000196,13.50860,9.36344,31.10469,7.1353,0.0182
1,2.0,1998506,1875886,0.938644,0.047453,0.000136,0.047690,-0.496,-1.75,0.047332,0.047575,0.063319,0.000181,15.79309,10.94694,36.36494,6.1356,0.0170
1,2.51,1998626,1889808,0.945554,0.041957,0.000127,0.042140,-0.434,-1.44,0.041966,0.041948,0.055985,0.000170,17.86202,12.38101,41.12882,5.4446,0.0160
1,3.0,1998818,1899888,0.950506,0.038042,0.000121,0.038245,-0.530,-1.68,0.037984,0.038100,0.050761,0.000161,19.70014,13.65509,45.36124,4.9494,0.0153
1,4.0,1998988,1913930,0.957449,0.032587,0.000112,0.032726,-0.424,-1.24,0.032699,0.032475,0.043482,0.000149,22.99785,15.94089,52.95450,4.2551,0.0143
1,5.0,1999101,1923252,0.962058,0.028988,0.000105,0.029093,-0.360,-0.99,0.028978,0.028999,0.038680,0.000140,25.85310,17.92001,59.52897,3.7942,0.0135
1,6.0,1999210,1929695,0.965229,0.026523,0.000101,0.026529,-0.024,-0.06,0.026470,0.026575,0.035390,0.000134,28.25646,19.58588,65.06289,3.4771,0.0130
1,7.0,1999254,1934770,0.967746,0.024571,0.000097,0.024627,-0.228,-0.58,0.024735,0.024407,0.032786,0.000129,30.50114,21.14178,70.23148,3.2254,0.0125
1,8.0,1999247,1938431,0.969581,0.023151,0.000094,0.023163,-0.050,-0.12,0.023277,0.023026,0.030892,0.000125,32.37113,22.43796,74.53727,3.0419,0.0121
1,9.0,1999329,1941720,0.971186,0.021912,0.000091,0.022012,-0.456,-1.10,0.022018,0.021805,0.029237,0.000122,34.20271,23.70751,78.75466,2.8814,0.0118
1,10.0,1999356,1944223,0.972425,0.020956,0.000089,0.021078,-0.577,-1.36,0.021039,0.020874,0.027963,0.000119,35.76190,24.78826,82.34483,2.7575,0.0116
1,11.0,1999322,1945820,0.973240,0.020328,0.000088,0.020314,+0.070,+0.16,0.020298,0.020359,0.027125,0.000117,36.86685,25.55415,84.88905,2.6760,0.0114
1,12.0,1999345,1947799,0.974219,0.019575,0.000086,0.019675,-0.508,-1.16,0.019401,0.019749,0.026120,0.000115,38.28541,26.53742,88.15542,2.5781,0.0112
1,13.0,1999379,1949107,0.974856,0.019085,0.000085,0.019134,-0.258,-0.58,0.019175,0.018995,0.025465,0.000114,39.26910,27.21927,90.42045,2.5144,0.0111
