pred,resp,E,r_G4,r16,r50,r84,r_xcom
Oxygen,MAC,0.01,-0.18389339297049467,-0.20849762903400385,-0.18456595106805496,-0.16011540171388633,-0.12615041961271684
Oxygen,MAC,0.03,-0.5003558432087979,-0.5292402392093084,-0.5003649244916448,-0.4682544970362497,-0.4693859595868553
Oxygen,MAC,0.05,-0.8352723968331308,-0.8549334129888052,-0.7893050551123824,-0.7071290382441431,-0.8588850033735269
Oxygen,MAC,0.08,-0.5988971799731269,-0.6684735730843067,-0.5444511999262611,-0.4119977739121709,-0.8017829848639221
Oxygen,MAC,0.1,-0.7085667711033079,-0.7502037132486873,-0.6567995880419144,-0.5432760440285646,-0.6868313525723587
Oxygen,MAC,1.0,-0.3641670398404588,-0.4851281627412342,-0.32707537351234417,-0.15714492127973953,-0.5598205826412418
Oxygen,MAC,10.0,-0.12562709169141698,-0.35475833315005334,-0.10255587941927247,0.16594556256029686,0.36813273559964305
Oxygen,MAC,15.0,0.1457149005979482,-0.19094382439593194,0.08379759713708476,0.350485894457766,0.9561851003763513
Oxygen,LAC,0.01,0.4858288660547543,0.4734699432094078,0.48542987537436894,0.49693352167272253,0.5146961440732601
Oxygen,LAC,0.03,0.6384420030783641,0.6299255313902072,0.6381051235316789,0.6460465570500028,0.6390957349595414
Oxygen,LAC,0.05,0.791296635143301,0.7820165268087773,0.7905896576236762,0.7990600710197796,0.7814294723786857
Oxygen,LAC,0.08,0.8309030232490797,0.8218423356564429,0.8300750113915054,0.8384932046660326,0.82987756958791
Oxygen,LAC,0.1,0.8271514285429913,0.8172889779441574,0.8262566449079063,0.8351039977285811,0.8386266521005475
Oxygen,LAC,1.0,0.8557004219270335,0.8415553740799804,0.853822951748358,0.8660583271577118,0.848966136486026
Oxygen,LAC,10.0,0.8522177470455229,0.8255089218030099,0.8471336519105088,0.8679327517099664,0.8451966227350233
Oxygen,LAC,15.0,0.8202766493153985,0.7919471479236447,0.8153151238302159,0.8377080542298472,0.8436071470637599
Oxygen,Zeff,0.01,-0.7222011280102076,-0.7222011280102076,-0.7222011280102076,-0.7222011280102076,-0.7222011280102076
Oxygen,Zeff,0.03,0.26579844616522325,0.26579844616522325,0.26579844616522325,0.26579844616522325,0.26579844616522325
Oxygen,Zeff,0.05,0.5632880035354362,0.5632880035354362,0.5632880035354362,0.5632880035354362,0.5632880035354362
Oxygen,Zeff,0.08,0.6440476569605085,0.6440476569605085,0.6440476569605085,0.6440476569605085,0.6440476569605085
Oxygen,Zeff,0.1,0.6578093384013671,0.6578093384013671,0.6578093384013671,0.6578093384013671,0.6578093384013671
Oxygen,Zeff,1.0,0.6731718675304119,0.6731718675304119,0.6731718675304119,0.6731718675304119,0.6731718675304119
Oxygen,Zeff,10.0,0.6897219644313213,0.6897219644313213,0.6897219644313213,0.6897219644313213,0.6897219644313213
Oxygen,Zeff,15.0,0.6984972140869457,0.6984972140869457,0.6984972140869457,0.6984972140869457,0.6984972140869457
Hydrogen,MAC,0.01,-0.6490041097771985,-0.6654260586308204,-0.6461150001702114,-0.6276036728671001,-0.6919732984632643
Hydrogen,MAC,0.03,-0.3746460635335562,-0.40398766758282184,-0.3713493283175938,-0.3380462589971857,-0.3964765692577299
Hydrogen,MAC,0.05,0.402719990169063,0.2652450211838417,0.38105592783384024,0.4956218192934837,0.20105257186626366
Hydrogen,MAC,0.08,0.7973818415737699,0.6115720407773395,0.7253636851929124,0.8148527387872788,0.9349274146862502
Hydrogen,MAC,0.1,0.7742658079172825,0.6220090901601567,0.7173924382410871,0.7981841332503071,0.9861856107605603
Hydrogen,MAC,1.0,0.8093636537124952,0.5896073066441574,0.7168246551788293,0.8200024673828573,0.9998389883376889
Hydrogen,MAC,10.0,0.5152940858682855,0.12161623981628804,0.3787820870626364,0.5835063920389971,0.5158053183326844
Hydrogen,MAC,15.0,-0.13895228556154027,-0.33309498846457775,-0.08087145697817594,0.1823434909704911,-0.4715305962488923
Hydrogen,LAC,0.01,-0.9633806316147109,-0.9664364571594879,-0.9627751594786381,-0.9587630291883249,-0.9681634767652855
Hydrogen,LAC,0.03,-0.9735964772398122,-0.9755077425235819,-0.9732082702945732,-0.9708477216248886,-0.9712766371106595
Hydrogen,LAC,0.05,-0.9323031566186653,-0.936474053734597,-0.93166264685936,-0.9266505527684128,-0.9400631273586613
Hydrogen,LAC,0.08,-0.9088341683005974,-0.914106017727163,-0.9081172776399712,-0.901733273424982,-0.9163269449328526
