E_MeV,EBF40dry_Mix1,EBF40dry_Mix2,EBF40dry_Mix3,EBF40dry_Mix4,EBF40dry_Mix5,EBF40dry_Mix6,EBF40dry_Mix7,EBF40dry_Mix8,EBF40dry_Mix9,EBF40dry_Mix10,EBF40wet_Mix1,EBF40wet_Mix2,EBF40wet_Mix3,EBF40wet_Mix4,EBF40wet_Mix5,EBF40wet_Mix6,EBF40wet_Mix7,EBF40wet_Mix8,EBF40wet_Mix9,EBF40wet_Mix10
0.015,2.4586,2.57701,2.34957,2.33952,2.42719,2.44801,2.46932,2.48017,2.49115,2.51351,2.38711,2.48682,2.29902,2.29302,2.36083,2.37826,2.39605,2.40508,2.41421,2.43276
0.02,6.8425,7.58387,6.19067,6.14725,6.59068,6.75692,6.92978,7.01879,7.10957,7.2966,6.40539,7.01225,6.00355,5.96608,6.19957,6.33559,6.47641,6.54867,6.62221,6.77322
0.03,65.917,82.8625,56.553,55.7671,58.8762,63.3869,68.5473,71.2805,74.1195,80.1259,58.1725,69.7231,54.0875,53.4061,56.1097,57.4763,58.8774,60.7223,62.9017,67.4984
0.04,599.2,838.37,538.837,531.857,552.166,564.484,641.894,687.19,735.187,839.66,550.494,652.872,520.302,513.745,533.023,544.76,556.131,561.664,576.167,652.27
0.05,3330.26,4532.25,3108.95,3055.81,3186.04,3282.72,3550.23,3811.29,4088.63,4694.98,3190.42,3588.74,2985.84,2937.17,3057.37,3146.38,3234.1,3277.38,3320.23,3701.4
0.06,10241,13041.1,9558.97,9382.84,9761.03,10082.3,10542.1,11280.3,12063.1,13771,9812.46,10609.1,9187.35,9027.09,9373.73,9666.92,9957.13,10100.8,10243.4,11139
0.08,27334,32179.4,25667.5,25190.1,26036.7,26904.3,27760.6,28915.5,30705.5,34579.3,26299,27770.6,24780,24347.2,25120.2,25907.5,26688.7,27076.4,27461.6,29082.2
0.1,39840.6,45887.8,36999.1,36163.5,37470.3,39040.2,40651.2,41736.4,44367.9,49993.8,38070.6,40638.5,35577.9,34843.4,35999.5,37371.8,38777.9,39493.4,40217.3,42416.8
0.15,31417.8,33459.3,30270,29861.9,30371.1,31077.7,31748.5,32069.3,33099.7,36266.6,30734.1,31726.9,29654.9,29275.5,29752.8,30413.5,31047.9,31354.5,31653.5,32348
0.2,15536.4,16193.6,15131.1,14976.9,15144.9,15409.7,15659.2,15777.9,16152.8,17562.6,15298.5,15648,14916.1,14772.3,14930.3,15178.6,15415.4,15529.2,15639.9,15905.9
0.3,5399.91,5532.18,5269.39,5218.86,5266.93,5355.99,5443.37,5486.37,5548.57,5906.36,5323.21,5438.25,5203.98,5158,5202.13,5283.15,5362.94,5402.33,5441.36,5518.26
0.356,3342.09,3410.16,3271.29,3243.35,3268.56,3317.79,3366.18,3390.03,3417.92,3596.37,3300.68,3363.15,3236.11,3210.72,3233.84,3278.55,3322.64,3344.44,3366.05,3408.71
0.4,2315.33,2355.08,2273.89,2257.3,2271.77,2300.94,2329.57,2343.66,2358.32,2457.6,2291.18,2327.71,2253.35,2238.26,2251.54,2278.07,2304.19,2317.08,2329.86,2355.05
0.5,1232.92,1250.83,1214.46,1206.98,1213.19,1226.39,1239.42,1245.88,1252.28,1309.52,1222.19,1238.53,1205.42,1198.64,1204.32,1216.26,1228.08,1233.95,1239.78,1251.33
