E_MeV,MACdry_Mix1,MACdry_Mix2,MACdry_Mix3,MACdry_Mix4,MACdry_Mix5,MACdry_Mix6,MACdry_Mix7,MACdry_Mix8,MACdry_Mix9,MACdry_Mix10,MACwet_Mix1,MACwet_Mix2,MACwet_Mix3,MACwet_Mix4,MACwet_Mix5,MACwet_Mix6,MACwet_Mix7,MACwet_Mix8,MACwet_Mix9,MACwet_Mix10,Zdry_Mix1,Zdry_Mix2,Zdry_Mix3,Zdry_Mix4,Zdry_Mix5,Zdry_Mix6,Zdry_Mix7,Zdry_Mix8,Zdry_Mix9,Zdry_Mix10,Zwet_Mix1,Zwet_Mix2,Zwet_Mix3,Zwet_Mix4,Zwet_Mix5,Zwet_Mix6,Zwet_Mix7,Zwet_Mix8,Zwet_Mix9,Zwet_Mix10
0.01,3.94538,3.78705,4.10371,4.10329,3.98747,3.95941,3.93135,3.91733,3.9033,3.87524,4.08383,3.94134,4.22633,4.22595,4.12171,4.09646,4.07121,4.05858,4.04596,4.02071,7.2371,7.1365,7.3325,7.3937,7.3917,7.2883,7.1863,7.1358,7.0857,6.9865,7.279,7.1923,7.3618,7.4156,7.4144,7.3239,7.2344,7.1901,7.1461,7.0588
0.015,1.27833,1.23355,1.32311,1.32491,1.29605,1.28424,1.27242,1.26651,1.26061,1.24879,1.31774,1.27744,1.35805,1.35966,1.33369,1.32306,1.31243,1.30711,1.30179,1.29116,6.5846,6.4443,6.721,6.7858,6.6954,6.6215,6.5478,6.5111,6.4744,6.4013,6.6113,6.4888,6.7308,6.7877,6.7085,6.6436,6.579,6.5468,6.5146,6.4504
0.02,0.645581,0.627673,0.66349,0.664506,0.65431,0.648491,0.642672,0.639762,0.636853,0.631033,0.662005,0.645888,0.678123,0.679038,0.669861,0.664624,0.659387,0.656768,0.654149,0.648912,5.8146,5.6506,5.9786,6.0392,5.8689,5.8327,5.7963,5.7781,5.7598,5.723,5.8241,5.68,5.9684,6.0215,5.8719,5.8401,5.8081,5.7921,5.776,5.7438
0.03,0.324216,0.319675,0.328756,0.328914,0.327296,0.325242,0.323189,0.322162,0.321135,0.319082,0.329351,0.325264,0.333437,0.333579,0.332123,0.330275,0.328427,0.327503,0.326578,0.32473,4.7457,4.5862,4.9118,4.9606,4.7301,4.7404,4.751,4.7564,4.7618,4.7727,4.7269,4.5861,4.8728,4.9154,4.7133,4.7223,4.7315,4.7361,4.7408,4.7503
0.04,0.243214,0.241798,0.244631,0.244501,0.244737,0.243722,0.242707,0.242199,0.241692,0.240677,0.245721,0.244446,0.246996,0.246879,0.247091,0.246178,0.245264,0.244808,0.244351,0.243438,4.2688,4.1242,4.422,4.4637,4.226,4.2543,4.2833,4.2981,4.313,4.3433,4.2353,4.1079,4.3694,4.4056,4.1979,4.2227,4.248,4.2609,4.2738,4.3001
0.05,0.211071,0.210729,0.211412,0.211172,0.212007,0.211383,0.210758,0.210446,0.210134,0.20951,0.212657,0.21235,0.212964,0.212748,0.2135,0.212938,0.212376,0.212095,0.211814,0.211252,4.0558,3.9203,4.2005,4.2387,4.0017,4.0375,4.0742,4.0929,4.1118,4.1503,4.0155,3.8963,4.1418,4.1749,3.9682,3.9996,4.0316,4.0478,4.0642,4.0977
0.06,0.194087,0.194203,0.19397,0.193684,0.194754,0.194309,0.193864,0.193641,0.193419,0.192974,0.195265,0.19537,0.195161,0.194903,0.195866,0.195465,0.195065,0.194864,0.194664,0.194264,3.95,3.8195,4.09,4.1264,3.8907,3.93,3.9703,3.9908,4.0116,4.054,3.9063,3.7917,4.0282,4.0597,3.8544,3.8888,3.924,3.9418,3.9599,3.9967
0.08,0.175298,0.175756,0.17484,0.174529,0.17575,0.175448,0.175147,0.174996,0.174846,0.174545,0.176133,0.176546,0.175721,0.175441,0.17654,0.176269,0.175998,0.175862,0.175727,0.175456,3.8574,3.7315,3.9929,4.0278,3.7938,3.8359,3.8792,3.9013,3.9236,3.9693,3.8106,3.7002,3.9284,3.9586,3.755,3.7919,3.8296,3.8488,3.8683,3.9078
0.1,0.16375,0.16431,0.163191,0.16288,0.164117,0.163873,0.163628,0.163506,0.163384,0.16314,0.164448,0.164952,0.163944,0.163665,0.164778,0.164558,0.164338,0.164228,0.164118,0.163898,3.8204,3.6963,3.9541,3.9884,3.7551,3.7984,3.8428,3.8654,3.8883,3.9351,3.7724,3.6637,3.8885,3.9181,3.7153,3.7532,3.7919,3.8116,3.8315,3.8721
0.15,0.144968,0.145563,0.144374,0.144087,0.14526,0.145066,0.144871,0.144774,0.144676,0.144482,0.145524,0.146059,0.144988,0.14473,0.145786,0.145611,0.145436,0.145348,0.145261,0.145086,3.7885,3.666,3.9206,3.9546,3.7221,3.7661,3.8113,3.8343,3.8577,3.9053,3.7395,3.6322,3.8541,3.8834,3.6814,3.7199,3.7593,3.7793,3.7996,3.8409
