Energy_MeV,r_library_H,r_ensemble_H,beta_std_H,importance_pct_H,r_library_N,r_ensemble_N,beta_std_N,importance_pct_N,r_library_O,r_ensemble_O,beta_std_O,importance_pct_O,r_library_S,r_ensemble_S,beta_std_S,importance_pct_S
0.01,-0.6920,-0.0632,-0.0310,1.62,0.4603,-0.3344,0.2514,13.12,-0.1261,0.3983,0.7040,36.73,0.4603,0.8617,0.9303,48.54
0.015,-0.5954,-0.0513,-0.0221,1.19,0.5744,-0.3172,0.2355,12.63,-0.2571,0.3714,0.6655,35.68,0.5744,0.8773,0.9420,50.51
0.02,-0.5291,-0.0364,-0.0088,0.48,0.6398,-0.3083,0.2279,12.45,-0.3356,0.3571,0.6463,35.30,0.6398,0.8853,0.9479,51.77
0.03,-0.3964,0.0151,0.0415,2.25,0.7449,-0.3002,0.2219,12.02,-0.4694,0.3420,0.6306,34.15,0.7449,0.8926,0.9526,51.59
0.04,-0.1749,0.1086,0.1346,6.98,0.8686,-0.2957,0.2200,11.42,-0.6481,0.3305,0.6244,32.41,0.8686,0.8905,0.9479,49.19
0.05,0.2012,0.2500,0.2756,13.60,0.9665,-0.2880,0.2160,10.66,-0.8590,0.3134,0.6124,30.22,0.9665,0.8690,0.9222,45.51
0.06,0.6096,0.4265,0.4511,21.51,0.9031,-0.2707,0.2055,9.80,-0.9491,0.2837,0.5814,27.72,0.9031,0.8128,0.8591,40.97
0.08,0.9349,0.7453,0.7649,38.26,0.5840,-0.2005,0.1594,7.97,-0.8018,0.1857,0.4457,22.30,0.5840,0.6026,0.6290,31.47
0.1,0.9862,0.9011,0.9150,52.78,0.4216,-0.1326,0.1089,6.28,-0.6870,0.0990,0.3051,17.60,0.4216,0.3949,0.4044,23.33
0.15,0.9992,0.9858,0.9926,74.59,0.3085,-0.0489,0.0511,3.84,-0.5996,-0.0018,0.1357,10.20,0.3085,0.1599,0.1514,11.38
0.2,0.9999,0.9962,1.0003,84.66,0.2836,-0.0223,0.0289,2.45,-0.5799,-0.0344,0.0771,6.53,0.2836,0.0895,0.0752,6.36
0.3,1.0000,0.9993,1.0015,92.29,0.2731,-0.0035,0.0156,1.44,-0.5717,-0.0570,0.0386,3.56,0.2731,0.0475,0.0294,2.71
