E_MeV,variant,dMAC_Geant4_pct,u_pct,dMAC_XCOM_mixture_rule_pct,z,MAC_base_G4,MAC_variant_G4,MAC_base_XCOM,MAC_variant_XCOM
0.01,dO,4.8316,0.30452,4.5299,0.99065,3.904,4.0926,3.9514,4.1303
0.01,dN,2.3533,0.29084,1.9059,1.5384,3.904,3.9958,3.9514,4.0267
0.01,dS,18.245,0.3952,18.128,0.2967,3.904,4.6163,3.9514,4.6677
0.01,dH,-0.27881,0.27711,-0.75453,1.7168,3.904,3.8931,3.9514,3.9215
0.01,dALL,23.906,0.44401,23.809,0.2184,3.904,4.8373,3.9514,4.8921
0.01,additivity(sum singles vs ALL),23.906,0,25.151,nan,nan,nan,nan,nan
0.02,dO,3.233,0.13991,3.2794,-0.33185,0.65022,0.67124,0.64544,0.6666
0.02,dN,1.1696,0.13744,1.3627,-1.4046,0.65022,0.65783,0.64544,0.65423
0.02,dS,14.637,0.15359,14.564,0.47615,0.65022,0.7454,0.64544,0.73944
0.02,dH,-0.28733,0.13571,-0.16847,-0.87583,0.65022,0.64835,0.64544,0.64435
0.02,dALL,18.912,0.15876,19.038,-0.79275,0.65022,0.77319,0.64544,0.76831
0.02,additivity(sum singles vs ALL),18.912,0,18.753,nan,nan,nan,nan,nan
0.03,dO,1.6413,0.17177,1.8789,-1.383,0.32552,0.33087,0.32397,0.33005
0.03,dN,0.70649,0.17048,0.77893,-0.42495,0.32552,0.32782,0.32397,0.32649
0.03,dS,8.6753,0.18141,8.5958,0.43832,0.32552,0.35376,0.32397,0.35181
0.03,dH,0.40117,0.17007,0.46701,-0.38711,0.32552,0.32683,0.32397,0.32548
0.03,dALL,11.668,0.18551,11.721,-0.283,0.32552,0.36351,0.32397,0.36194
0.03,additivity(sum singles vs ALL),11.668,0,11.424,nan,nan,nan,nan,nan
0.05,dO,0.59481,0.20308,0.62053,-0.12666,0.21016,0.21141,0.21086,0.21217
0.05,dN,0.52241,0.20297,0.25782,1.3036,0.21016,0.21125,0.21086,0.21141
0.05,dS,2.5985,0.20627,2.8296,-1.1208,0.21016,0.21562,0.21086,0.21683
0.05,dH,1.0156,0.20375,1.0559,-0.19779,0.21016,0.21229,0.21086,0.21309
0.05,dALL,4.7436,0.20967,4.7639,-0.096792,0.21016,0.22012,0.21086,0.22091
0.05,additivity(sum singles vs ALL),4.7436,0,4.7313,nan,nan,nan,nan,nan
0.1,dO,-0.057101,0.22557,0.1157,-0.76607,0.16294,0.16284,0.16358,0.16377
0.1,dN,-0.35221,0.22505,0.048654,-1.7812,0.16294,0.16236,0.16358,0.16366
0.1,dS,0.77142,0.22702,0.46442,1.3523,0.16294,0.16419,0.16358,0.16434
0.1,dH,1.1264,0.22765,1.3118,-0.81448,0.16294,0.16477,0.16358,0.16572
0.1,dALL,2.107,0.22937,1.9406,0.72536,0.16294,0.16637,0.16358,0.16675
0.1,additivity(sum singles vs ALL),2.107,0,1.4885,nan,nan,nan,nan,nan
0.3,dO,-0.014898,0.2651,0.013997,-0.109,0.11398,0.11396,0.11439,0.11441
0.3,dN,0.10663,0.26535,0.0066695,0.37672,0.11398,0.1141,0.11439,0.1144
0.3,dS,0.39003,0.26592,0.03226,1.3454,0.11398,0.11443,0.11439,0.11443
0.3,dH,1.1881,0.26755,1.3714,-0.6851,0.11398,0.11533,0.11439,0.11596
0.3,dALL,1.5004,0.26819,1.4243,0.28349,0.11398,0.11569,0.11439,0.11602
0.3,additivity(sum singles vs ALL),1.5004,0,1.6699,nan,nan,nan,nan,nan
1,dO,0.066818,0.33801,0.0073731,0.17587,0.067949,0.067994,0.06821,0.068215
1,dN,0.0086335,0.33786,0.0018897,0.01996,0.067949,0.067955,0.06821,0.068211
1,dS,-0.13626,0.33749,0.0025232,-0.41121,0.067949,0.067856,0.06821,0.068211
1,dH,1.4672,0.34161,1.3787,0.25911,0.067949,0.068946,0.06821,0.06915
1,dALL,1.655,0.34209,1.3904,0.77347,0.067949,0.069074,0.06821,0.069158
1,additivity(sum singles vs ALL),1.655,0,1.4064,nan,nan,nan,nan,nan
10,dO,-0.13769,0.59674,0.30742,-0.74589,0.021031,0.021002,0.021074,0.021139
10,dN,-0.005632,0.59734,0.15384,-0.26697,0.021031,0.02103,0.021074,0.021107
10,dS,0.14332,0.59801,0.44851,-0.51034,0.021031,0.021062,0.021074,0.021169
10,dH,0.37947,0.59907,0.92169,-0.9051,0.021031,0.021111,0.021074,0.021269
10,dALL,2.0504,0.60658,1.8315,0.36093,0.021031,0.021463,0.021074,0.02146
10,additivity(sum singles vs ALL),2.0504,0,0.37948,nan,nan,nan,nan,nan
