Energy_MeV,pct_MAC_change_per_1wt%_H_replacing_C,pct_MAC_change_per_1wt%_N_replacing_C,pct_MAC_change_per_1wt%_O_replacing_C,pct_MAC_change_per_1wt%_S_replacing_C,contribution_C_pct_of_MAC_library_mean,contribution_H_pct_of_MAC_library_mean,contribution_N_pct_of_MAC_library_mean,contribution_O_pct_of_MAC_library_mean,contribution_S_pct_of_MAC_library_mean
0.01,-0.503017,0.381181,0.905977,12.0854,30.4263,0.709043,7.15721,51.1367,10.5707
0.015,-0.337014,0.335329,0.804109,11.4896,31.9876,2.1398,7.0476,48.725,10.1
0.02,-0.112313,0.272535,0.655881,9.70953,34.6926,4.16135,6.97904,45.5059,8.66115
0.03,0.311342,0.155788,0.375781,5.73054,40.0601,8.01121,6.90029,39.5945,5.4339
0.04,0.568668,0.0869109,0.209373,3.20836,43.2933,10.3457,6.86339,36.1122,3.38544
0.05,0.703929,0.051568,0.12411,1.88644,44.95,11.5667,6.84413,34.328,2.31118
0.06,0.777313,0.0331046,0.0794914,1.18575,45.811,12.2237,6.83342,33.3904,1.74149
0.08,0.845628,0.0164754,0.0391027,0.557044,46.5808,12.8307,6.82296,32.5352,1.23027
0.1,0.874541,0.00973215,0.0231432,0.309619,46.8781,13.0836,6.81659,32.1927,1.02899
0.15,0.900678,0.00433456,0.00976902,0.11002,47.1161,13.3077,6.81147,31.8981,0.866589
0.2,0.908598,0.00245832,0.00556017,0.0546978,47.1896,13.3758,6.80837,31.8045,0.8217
0.3,0.914279,0.0013322,0.00279799,0.0215043,47.2343,13.4236,6.8066,31.7407,0.794777
0.356,0.915846,0.00118047,0.00219347,0.0148714,47.2423,13.4361,6.80664,31.7256,0.789382
0.4,0.916573,0.000984069,0.00190002,0.0115892,47.2468,13.442,6.80586,31.7186,0.786721
0.5,0.917261,0.000410647,0.00155001,0.00710611,47.2543,13.4481,6.80275,31.7118,0.783108
0.511,0.917333,0.000396087,0.00152705,0.00680735,47.2546,13.4487,6.80269,31.7112,0.782864
0.6,0.917957,0.000559773,0.00134247,0.0050841,47.2556,13.4533,6.80403,31.7056,0.781445
0.662,0.918275,0.000712095,0.00118667,0.00412359,47.2569,13.4559,6.80533,31.7012,0.780667
0.8,0.918855,0.000661308,0.00145313,0.00297638,47.2509,13.4592,6.80409,31.7062,0.779611
1,0.919111,0.000376845,0.00147341,0.00167385,47.2512,13.4611,6.80206,31.7071,0.778531
1.173,0.918712,0.000726572,0.000922418,0.00067065,47.2613,13.4597,6.80606,31.6951,0.777861
1.33,0.918174,0.000295212,0.00121426,0.00153337,47.2595,13.4555,6.80266,31.7038,0.77855
1.5,0.91659,0.000105694,0.00114867,0.00255672,47.2667,13.445,6.80232,31.7065,0.779522
2,0.908285,0.00152622,0.0035626,0.01157,47.2467,13.3818,6.8098,31.775,0.786704
2.51,0.895183,0.00174205,0.00457766,0.0245462,47.2712,13.29,6.8149,31.8259,0.797919
3,0.879127,0.00440785,0.00892948,0.0399038,47.2392,13.1687,6.82973,31.9521,0.810189
4,0.843841,0.00799784,0.0160947,0.07516,47.2178,12.9092,6.85282,32.181,0.839215
5,0.805269,0.0117034,0.0236706,0.112913,47.2,12.6262,6.87726,32.4262,0.870379
6,0.765494,0.0157285,0.0315306,0.152016,47.1799,12.3342,6.90372,32.6796,0.902633
7,0.726064,0.0196691,0.0394083,0.190443,47.1589,12.0445,6.92942,32.9329,0.934306
8,0.687558,0.0235636,0.0469055,0.22797,47.1415,11.7621,6.95532,33.1757,0.965291
9,0.650206,0.0271615,0.0543431,0.264198,47.1226,11.4879,6.97883,33.4155,0.995167
10,0.614467,0.0307698,0.0614856,0.299013,47.1034,11.2253,7.00237,33.6451,1.02386
11,0.580335,0.0340825,0.0679185,0.331688,47.0924,10.9756,7.02494,33.8561,1.05091
12,0.547845,0.0371053,0.0743227,0.362969,47.0776,10.7373,7.04484,34.0635,1.07673
13,0.517133,0.0404329,0.0803933,0.392794,47.0614,10.5117,7.06678,34.2587,1.10131
14,0.487505,0.0431792,0.0859789,0.420667,47.0526,10.2951,7.08553,34.4424,1.1244
15,0.45969,0.0459516,0.0915436,0.447355,47.0378,10.0908,7.10361,34.6214,1.14639
