set,material,E_MeV,Zeq,B_1mfp,B_2mfp,B_3mfp,B_4mfp,B_5mfp,B_6mfp,B_7mfp,B_8mfp,B_9mfp,B_10mfp,B_11mfp,B_12mfp,B_15mfp,B_20mfp,B_25mfp,B_30mfp,B_35mfp,B_40mfp
new,Mix1,0.015,6.87233,1.25534,1.39517,1.49182,1.56584,1.62649,1.67866,1.72512,1.76761,1.80719,1.84458,1.88024,1.91449,2.01029,2.14833,2.25487,2.33115,2.39476,2.4679
new,Mix1,0.02,6.90649,1.58875,1.9697,2.26354,2.50764,2.72035,2.91213,3.08944,3.2565,3.41619,3.5705,3.72081,3.8681,4.29719,4.97401,5.57317,6.06458,6.49017,6.95333
new,Mix1,0.03,6.95159,2.75761,4.31492,5.78042,7.19386,8.57861,9.95054,11.3213,12.7001,14.094,15.5092,16.9504,18.4218,23.0459,31.5126,40.736,50.1923,59.6276,69.697
new,Mix1,0.04,6.98228,4.00182,7.70667,12.0126,16.8937,22.3379,28.3378,34.8883,41.9847,49.6233,57.8007,66.5145,75.7636,106.742,169.762,249.675,350.325,471.503,605.897
new,Mix1,0.05,7.00231,4.89221,10.7655,18.6107,28.5657,40.7804,55.3976,72.5464,92.3395,114.873,140.231,168.484,199.701,311.9,569.142,947.551,1508.29,2281.05,3186.34
new,Mix1,0.06,7.01361,5.13811,12.2766,22.7609,37.1374,55.9797,79.8542,109.301,144.821,186.875,235.878,292.209,356.229,598.173,1202.77,2191.9,3827.93,6283.75,9263.28
new,Mix1,0.08,7.02873,4.91392,12.5438,24.8019,42.9152,68.2371,102.193,146.235,201.808,270.32,353.125,451.528,566.799,1027.05,2287.43,4559.66,8625.93,14990.9,22666.3
new,Mix1,0.1,7.03918,4.65962,11.8883,23.6928,41.4473,66.7333,101.297,147.015,205.854,279.842,371.036,481.508,613.341,1158.5,2723.65,5594.5,10828.5,19708.4,32214.5
new,Mix1,0.15,7.05581,3.75923,9.30329,18.4659,32.3796,52.3526,79.835,116.387,163.645,223.295,297.038,386.579,493.616,936.91,2205.12,4500.76,8598.37,15352,24498.7
new,Mix1,0.2,7.06231,3.365,7.94293,15.2924,26.1758,41.4524,62.0488,88.9352,123.102,165.541,217.225,279.104,352.096,646.77,1453.09,2847.89,5262.2,9211.84,14645.9
