set,material,E_MeV,Zeq,B_1mfp,B_2mfp,B_3mfp,B_4mfp,B_5mfp,B_6mfp,B_7mfp,B_8mfp,B_9mfp,B_10mfp,B_11mfp,B_12mfp,B_15mfp,B_20mfp,B_25mfp,B_30mfp,B_35mfp,B_40mfp
new,Mix1,0.015,6.87233,1.25215,1.38876,1.48306,1.55543,1.61497,1.66642,1.71247,1.75476,1.79433,1.83185,1.86774,1.90229,1.99922,2.13853,2.24407,2.3182,2.38175,2.4586
new,Mix1,0.02,6.90649,1.57214,1.94566,2.2349,2.47563,2.68553,2.87476,3.04961,3.21421,3.37139,3.52311,3.67075,3.81529,4.23574,4.89838,5.48708,5.97285,6.39248,6.8425
new,Mix1,0.03,6.95159,2.66107,4.13215,5.51745,6.85501,8.16718,9.46912,10.772,12.0844,13.4134,14.7645,16.1425,17.551,21.9859,30.1095,38.8926,47.7588,56.5077,65.917
new,Mix1,0.04,6.98228,3.96662,7.64314,11.9241,16.7816,22.2014,28.1738,34.6914,41.7473,49.3357,57.4512,66.0896,75.2485,105.862,168.022,247.098,347.178,467.414,599.2
new,Mix1,0.05,7.00231,5.03659,11.1566,19.353,29.7717,42.5699,57.8959,75.8823,96.6432,120.275,146.859,176.464,209.158,326.53,595.387,991.939,1581.49,2391.7,3330.26
new,Mix1,0.06,7.01361,5.49691,13.3097,24.8324,40.6785,61.4883,87.8905,120.481,159.808,206.37,260.612,322.938,393.728,660.902,1327.83,2422.85,4242.86,6970.14,10241
new,Mix1,0.08,7.02873,5.41209,14.1821,28.4438,49.7019,79.6101,119.9,172.326,238.613,320.424,419.337,536.857,674.435,1222.71,2722.99,5454.27,10406.6,18163.4,27334
new,Mix1,0.1,7.03918,5.17808,13.6039,27.5531,48.7527,79.1919,121.068,176.735,248.655,339.351,451.369,587.25,749.531,1420.73,3345.44,6883.88,13379.2,24428.5,39840.6
new,Mix1,0.15,7.05581,3.96447,10.2105,20.8478,37.3562,61.4391,94.9709,139.944,198.417,272.459,364.116,475.381,608.197,1155.26,2707.37,5552.67,10803.4,19641,31417.8
new,Mix1,0.2,7.06231,3.39002,8.339,16.6232,29.261,47.3853,72.196,104.917,146.754,198.865,262.334,338.169,427.307,783.657,1748.51,3447.57,6394.35,10764.8,15536.4
new,Mix1,0.3,7.07340,2.95481,6.63075,12.3609,20.5984,31.8214,46.5069,65.1111,88.0548,115.712,148.403,186.397,229.916,395.444,802.52,1436.52,2428.86,3836.08,5399.91
new,Mix1,0.356,7.07689,2.79963,6.05151,10.9675,17.8503,27.0096,38.742,53.3181,70.9737,91.9044,116.264,144.166,175.693,292.585,567.891,978.141,1595.56,2438.92,3342.09
new,Mix1,0.4,7.07901,2.69403,5.66949,10.0692,16.1117,24.0146,33.9785,46.1777,60.7541,77.815,97.4336,119.652,144.487,234.707,439.764,734.159,1162.73,1729.38,2315.33
new,Mix1,0.5,7.08190,2.53251,5.06379,8.64013,13.3672,19.3464,26.664,35.387,45.5603,57.2075,70.3323,84.9217,100.95,157.359,278.757,442.653,667.741,950.871,1232.92
new,Mix1,0.511,7.08198,2.51695,5.00906,8.51601,13.1357,18.9617,26.0732,34.5301,44.3717,55.6169,68.2658,82.3026,97.7005,151.74,267.52,423.153,636.09,903.057,1168.35
new,Mix1,0.6,7.08349,2.40209,4.61284,7.62943,11.5002,16.2698,21.9715,28.6245,36.2334,44.7894,54.2716,64.6506,75.8909,114.425,193.825,296.43,432.072,596.871,756.107
