set,material,E_MeV,F_photoelectric,F_incoherent,F_coherent,F_pair,mac_total_cm2_g
new,Mix1,0.01,0.913787,0.037862,0.048351,0.000000,3.945382
new,Mix1,0.015,0.783114,0.128701,0.088184,0.000000,1.278328
new,Mix1,0.02,0.617293,0.266951,0.115756,0.000000,0.645581
new,Mix1,0.03,0.330821,0.548189,0.120990,0.000000,0.324216
new,Mix1,0.04,0.172415,0.729075,0.098510,0.000000,0.243214
new,Mix1,0.05,0.095569,0.828087,0.076344,0.000000,0.211071
new,Mix1,0.06,0.057056,0.883365,0.059579,0.000000,0.194087
new,Mix1,0.08,0.024501,0.936915,0.038584,0.000000,0.175298
new,Mix1,0.1,0.012588,0.960416,0.026997,0.000000,0.163750
new,Mix1,0.15,0.003780,0.982340,0.013880,0.000000,0.144968
new,Mix1,0.2,0.001643,0.989713,0.008643,0.000000,0.132143
new,Mix1,0.3,0.000537,0.994999,0.004464,0.000000,0.114519
new,Mix1,0.356,0.000345,0.996266,0.003389,0.000000,0.107296
new,Mix1,0.4,0.000258,0.996930,0.002813,0.000000,0.102484
new,Mix1,0.5,0.000152,0.997873,0.001975,0.000000,0.093543
new,Mix1,0.511,0.000145,0.997947,0.001908,0.000000,0.092688
new,Mix1,0.6,0.000103,0.998413,0.001484,0.000000,0.086492
new,Mix1,0.662,0.000083,0.998643,0.001274,0.000000,0.082812
new,Mix1,0.8,0.000059,0.998990,0.000951,0.000000,0.075953
new,Mix1,1,0.000041,0.999282,0.000677,0.000000,0.068285
new,Mix1,1.173,0.000031,0.999349,0.000533,0.000087,0.063089
new,Mix1,1.33,0.000027,0.998981,0.000442,0.000550,0.059148
new,Mix1,1.5,0.000023,0.998039,0.000370,0.001568,0.055574
new,Mix1,2,0.000017,0.992462,0.000243,0.007278,0.047690
new,Mix1,2.51,0.000014,0.983772,0.000174,0.016040,0.042140
new,Mix1,3,0.000012,0.973553,0.000134,0.026301,0.038245
new,Mix1,4,0.000009,0.949050,0.000088,0.050852,0.032726
new,Mix1,5,0.000008,0.921983,0.000064,0.077945,0.029093
new,Mix1,6,0.000007,0.893659,0.000048,0.106286,0.026529
new,Mix1,7,0.000006,0.865251,0.000038,0.134704,0.024627
new,Mix1,8,0.000006,0.837226,0.000031,0.162737,0.023163
new,Mix1,9,0.000005,0.809886,0.000026,0.190082,0.022012
new,Mix1,10,0.000005,0.783564,0.000022,0.216409,0.021078
new,Mix1,11,0.000005,0.758378,0.000019,0.241599,0.020314
new,Mix1,12,0.000004,0.734331,0.000016,0.265648,0.019675
new,Mix1,13,0.000004,0.711249,0.000014,0.288733,0.019134
new,Mix1,14,0.000004,0.689341,0.000013,0.310643,0.018678
new,Mix1,15,0.000004,0.668493,0.000011,0.331492,0.018287
new,Mix2,0.01,0.911040,0.039802,0.049157,0.000000,3.787054
new,Mix2,0.015,0.776243,0.134426,0.089331,0.000000,1.233549
new,Mix2,0.02,0.607104,0.276552,0.116344,0.000000,0.627673
new,Mix2,0.03,0.320747,0.559464,0.119788,0.000000,0.319675
new,Mix2,0.04,0.165769,0.737538,0.096694,0.000000,0.241798
new,Mix2,0.05,0.091493,0.833904,0.074603,0.000000,0.210729
new,Mix2,0.06,0.054499,0.887422,0.058079,0.000000,0.194203
new,Mix2,0.08,0.023355,0.939120,0.037524,0.000000,0.175756
new,Mix2,0.1,0.011989,0.961784,0.026227,0.000000,0.164310
new,Mix2,0.15,0.003598,0.982931,0.013471,0.000000,0.145563
new,Mix2,0.2,0.001564,0.990050,0.008386,0.000000,0.132713
new,Mix2,0.3,0.000511,0.995159,0.004330,0.000000,0.115030
new,Mix2,0.356,0.000328,0.996385,0.003287,0.000000,0.107778
new,Mix2,0.4,0.000245,0.997027,0.002728,0.000000,0.102946
new,Mix2,0.5,0.000145,0.997940,0.001915,0.000000,0.093966
new,Mix2,0.511,0.000138,0.998011,0.001851,0.000000,0.093108
new,Mix2,0.6,0.000098,0.998463,0.001439,0.000000,0.086884
new,Mix2,0.662,0.000079,0.998685,0.001235,0.000000,0.083189
new,Mix2,0.8,0.000056,0.999021,0.000923,0.000000,0.076297
new,Mix2,1,0.000039,0.999304,0.000657,0.000000,0.068595
new,Mix2,1.173,0.000029,0.999369,0.000517,0.000085,0.063377
new,Mix2,1.33,0.000026,0.999007,0.000429,0.000539,0.059417
new,Mix2,1.5,0.000022,0.998083,0.000359,0.001536,0.055826
new,Mix2,2,0.000016,0.992618,0.000235,0.007131,0.047899
new,Mix2,2.51,0.000013,0.984099,0.000169,0.015719,0.042321
new,Mix2,3,0.000011,0.974073,0.000130,0.025786,0.038400
new,Mix2,4,0.000009,0.950004,0.000086,0.049901,0.032843
new,Mix2,5,0.000008,0.923379,0.000062,0.076551,0.029181
new,Mix2,6,0.000007,0.895480,0.000047,0.104466,0.026596
new,Mix2,7,0.000006,0.867465,0.000037,0.132492,0.024677
new,Mix2,8,0.000006,0.839791,0.000030,0.160173,0.023198
new,Mix2,9,0.000005,0.812771,0.000025,0.187199,0.022034
