set,material,E_MeV,Zeff_direct
new,Mix1,0.01,7.237117
new,Mix1,0.015,6.584604
new,Mix1,0.02,5.814551
new,Mix1,0.03,4.745701
new,Mix1,0.04,4.268753
new,Mix1,0.05,4.055774
new,Mix1,0.06,3.950024
new,Mix1,0.08,3.857442
new,Mix1,0.1,3.820423
new,Mix1,0.15,3.788538
new,Mix1,0.2,3.779008
new,Mix1,0.3,3.772454
new,Mix1,0.356,3.770777
new,Mix1,0.4,3.769979
new,Mix1,0.5,3.769134
new,Mix1,0.511,3.769058
new,Mix1,0.6,3.768452
new,Mix1,0.662,3.768123
new,Mix1,0.8,3.767718
new,Mix1,1,3.767462
new,Mix1,1.173,3.767591
new,Mix1,1.33,3.768127
new,Mix1,1.5,3.769413
new,Mix1,2,3.777521
new,Mix1,2.51,3.789102
new,Mix1,3,3.804800
new,Mix1,4,3.838647
new,Mix1,5,3.876209
new,Mix1,6,3.915772
new,Mix1,7,3.955831
new,Mix1,8,3.995680
new,Mix1,9,4.035170
new,Mix1,10,4.073732
new,Mix1,11,4.111058
new,Mix1,12,4.147357
new,Mix1,13,4.182336
new,Mix1,14,4.216447
new,Mix1,15,4.249179
new,Mix2,0.01,7.136493
new,Mix2,0.015,6.444289
new,Mix2,0.02,5.650613
new,Mix2,0.03,4.586183
new,Mix2,0.04,4.124173
new,Mix2,0.05,3.920259
new,Mix2,0.06,3.819485
new,Mix2,0.08,3.731508
new,Mix2,0.1,3.696347
new,Mix2,0.15,3.666046
new,Mix2,0.2,3.657007
new,Mix2,0.3,3.650780
new,Mix2,0.356,3.649178
new,Mix2,0.4,3.648417
new,Mix2,0.5,3.647612
new,Mix2,0.511,3.647539
new,Mix2,0.6,3.646958
new,Mix2,0.662,3.646648
new,Mix2,0.8,3.646229
new,Mix2,1,3.645975
new,Mix2,1.173,3.646146
new,Mix2,1.33,3.646649
new,Mix2,1.5,3.647919
new,Mix2,2,3.655708
new,Mix2,2.51,3.667020
new,Mix2,3,3.682135
new,Mix2,4,3.714904
new,Mix2,5,3.751323
new,Mix2,6,3.789721
new,Mix2,7,3.828637
new,Mix2,8,3.867407
new,Mix2,9,3.905857
new,Mix2,10,3.943444
new,Mix2,11,3.979892
new,Mix2,12,4.015353
new,Mix2,13,4.049560
new,Mix2,14,4.082966
new,Mix2,15,4.115030
new,Mix3,0.01,7.332527
new,Mix3,0.015,6.721039
new,Mix3,0.02,5.978642
new,Mix3,0.03,4.911827
new,Mix3,0.04,4.421977
new,Mix3,0.05,4.200508
new,Mix3,0.06,4.089974
new,Mix3,0.08,3.992905
new,Mix3,0.1,3.954061
new,Mix3,0.15,3.920615
new,Mix3,0.2,3.910600
new,Mix3,0.3,3.903724
new,Mix3,0.356,3.901973
new,Mix3,0.4,3.901139
new,Mix3,0.5,3.900254
new,Mix3,0.511,3.900175
new,Mix3,0.6,3.899544
new,Mix3,0.662,3.899198
new,Mix3,0.8,3.898807
new,Mix3,1,3.898549
new,Mix3,1.173,3.898636
new,Mix3,1.33,3.899203
new,Mix3,1.5,3.900505
new,Mix3,2,3.908921
new,Mix3,2.51,3.920756
new,Mix3,3,3.937018
new,Mix3,4,3.971896
new,Mix3,5,4.010542
new,Mix3,6,4.051203
new,Mix3,7,4.092330
new,Mix3,8,4.133179
new,Mix3,9,4.173625
new,Mix3,10,4.213076
new,Mix3,11,4.251190
new,Mix3,12,4.288237
new,Mix3,13,4.323898
new,Mix3,14,4.358620
new,Mix3,15,4.391929
new,Mix4,0.01,7.393715
new,Mix4,0.015,6.785787
new,Mix4,0.02,6.039233
new,Mix4,0.03,4.960624
new,Mix4,0.04,4.463703
new,Mix4,0.05,4.238735
new,Mix4,0.06,4.126409
new,Mix4,0.08,4.027824
new,Mix4,0.1,3.988408
new,Mix4,0.15,3.954568
new,Mix4,0.2,3.944475
new,Mix4,0.3,3.937579
new,Mix4,0.356,3.935833
new,Mix4,0.4,3.934997
new,Mix4,0.5,3.934091
new,Mix4,0.511,3.934012
new,Mix4,0.6,3.933394
new,Mix4,0.662,3.933061
new,Mix4,0.8,3.932643
new,Mix4,1,3.932366
new,Mix4,1.173,3.932499
new,Mix4,1.33,3.933030
new,Mix4,1.5,3.934325
new,Mix4,2,3.942603
new,Mix4,2.51,3.954356
new,Mix4,3,3.970352
new,Mix4,4,4.004752
new,Mix4,5,4.042862
new,Mix4,6,4.082953
new,Mix4,7,4.123480
new,Mix4,8,4.163736
new,Mix4,9,4.203562
new,Mix4,10,4.242403
new,Mix4,11,4.279935
new,Mix4,12,4.316382
new,Mix4,13,4.351473
new,Mix4,14,4.385626
new,Mix4,15,4.418369
new,Mix5,0.01,7.391719
new,Mix5,0.015,6.695446
new,Mix5,0.02,5.868869
new,Mix5,0.03,4.730052
new,Mix5,0.04,4.225965
new,Mix5,0.05,4.001745
new,Mix5,0.06,3.890676
new,Mix5,0.08,3.793761
new,Mix5,0.1,3.755141
new,Mix5,0.15,3.722119
new,Mix5,0.2,3.712338
new,Mix5,0.3,3.705684
new,Mix5,0.356,3.704008
new,Mix5,0.4,3.703198
new,Mix5,0.5,3.702298
new,Mix5,0.511,3.702221
new,Mix5,0.6,3.701639
new,Mix5,0.662,3.701338
new,Mix5,0.8,3.700874
new,Mix5,1,3.700572
new,Mix5,1.173,3.700802
new,Mix5,1.33,3.701259
new,Mix5,1.5,3.702537
new,Mix5,2,3.710413
new,Mix5,2.51,3.721893
new,Mix5,3,3.737158
new,Mix5,4,3.770276
new,Mix5,5,3.807056
new,Mix5,6,3.845833
new,Mix5,7,3.885095
new,Mix5,8,3.924211
new,Mix5,9,3.962953
new,Mix5,10,4.000821
new,Mix5,11,4.037535
new,Mix5,12,4.073207
new,Mix5,13,4.107643
new,Mix5,14,4.141228
new,Mix5,15,4.173448
new,Mix6,0.01,7.288290
new,Mix6,0.015,6.621479
new,Mix6,0.02,5.832707
new,Mix6,0.03,4.740440
new,Mix6,0.04,4.254335
new,Mix6,0.05,4.037550
new,Mix6,0.06,3.929995
new,Mix6,0.08,3.835942
new,Mix6,0.1,3.798379
new,Mix6,0.15,3.766107
new,Mix6,0.2,3.756491
new,Mix6,0.3,3.749902
new,Mix6,0.356,3.748225
new,Mix6,0.4,3.747423
new,Mix6,0.5,3.746559
new,Mix6,0.511,3.746483
new,Mix6,0.6,3.745885
new,Mix6,0.662,3.745566
new,Mix6,0.8,3.745140
new,Mix6,1,3.744869
new,Mix6,1.173,3.745032
new,Mix6,1.33,3.745542
new,Mix6,1.5,3.746825
new,Mix6,2,3.754856
new,Mix6,2.51,3.766404
new,Mix6,3,3.781958
new,Mix6,4,3.815562
new,Mix6,5,3.852865
new,Mix6,6,3.892167
new,Mix6,7,3.931962
new,Mix6,8,3.971568
new,Mix6,9,4.010811
new,Mix6,10,4.049144
new,Mix6,11,4.086267
new,Mix6,12,4.122360
new,Mix6,13,4.157161
new,Mix6,14,4.191098
new,Mix6,15,4.223662
new,Mix7,0.01,7.186300
new,Mix7,0.015,6.547801
new,Mix7,0.02,5.796345
new,Mix7,0.03,4.751008
new,Mix7,0.04,4.283330
new,Mix7,0.05,4.074218
new,Mix7,0.06,3.970304
new,Mix7,0.08,3.879222
new,Mix7,0.1,3.842758
new,Mix7,0.15,3.811269
new,Mix7,0.2,3.801827
new,Mix7,0.3,3.795309
new,Mix7,0.356,3.793632
new,Mix7,0.4,3.792838
new,Mix7,0.5,3.792012
new,Mix7,0.511,3.791937
new,Mix7,0.6,3.791322
new,Mix7,0.662,3.790985
new,Mix7,0.8,3.790599
new,Mix7,1,3.790358
new,Mix7,1.173,3.790454
new,Mix7,1.33,3.791016
new,Mix7,1.5,3.792305
new,Mix7,2,3.800489
new,Mix7,2.51,3.812104
new,Mix7,3,3.827946
new,Mix7,4,3.862034
new,Mix7,5,3.899854
new,Mix7,6,3.939677
new,Mix7,7,3.979997
new,Mix7,8,4.020087
new,Mix7,9,4.059822
new,Mix7,10,4.098612
new,Mix7,11,4.136137
new,Mix7,12,4.172641
new,Mix7,13,4.207796
new,Mix7,14,4.242077
new,Mix7,15,4.274975
new,Mix8,0.01,7.135835
new,Mix8,0.015,6.511069
new,Mix8,0.02,5.778089
new,Mix8,0.03,4.756359
new,Mix8,0.04,4.298069
new,Mix8,0.05,4.092886
new,Mix8,0.06,3.990841
new,Mix8,0.08,3.901288
new,Mix8,0.1,3.865390
new,Mix8,0.15,3.834305
new,Mix8,0.2,3.824954
new,Mix8,0.3,3.818474
new,Mix8,0.356,3.816797
new,Mix8,0.4,3.816008
new,Mix8,0.5,3.815200
new,Mix8,0.511,3.815125
new,Mix8,0.6,3.814502
new,Mix8,0.662,3.814156
new,Mix8,0.8,3.813790
new,Mix8,1,3.813565
new,Mix8,1.173,3.813628
new,Mix8,1.33,3.814215
new,Mix8,1.5,3.815508
new,Mix8,2,3.823768
new,Mix8,2.51,3.835415
new,Mix8,3,3.851401
new,Mix8,4,3.885730
new,Mix8,5,3.923806
new,Mix8,6,3.963887
new,Mix8,7,4.004467
new,Mix8,8,4.044795
new,Mix8,9,4.084774
new,Mix8,10,4.123788
new,Mix8,11,4.161510
new,Mix8,12,4.198216
new,Mix8,13,4.233545
new,Mix8,14,4.267993
new,Mix8,15,4.301054
new,Mix9,0.01,7.085719
new,Mix9,0.015,6.474408
new,Mix9,0.02,5.759782
new,Mix9,0.03,4.761758
new,Mix9,0.04,4.312972
new,Mix9,0.05,4.111782
new,Mix9,0.06,4.011639
new,Mix9,0.08,3.923645
new,Mix9,0.1,3.888324
new,Mix9,0.15,3.857653
new,Mix9,0.2,3.848395
new,Mix9,0.3,3.841954
new,Mix9,0.356,3.840278
new,Mix9,0.4,3.839493
new,Mix9,0.5,3.838704
new,Mix9,0.511,3.838630
new,Mix9,0.6,3.837999
new,Mix9,0.662,3.837644
new,Mix9,0.8,3.837298
new,Mix9,1,3.837088
new,Mix9,1.173,3.837117
new,Mix9,1.33,3.837731
new,Mix9,1.5,3.839026
new,Mix9,2,3.847363
new,Mix9,2.51,3.859042
new,Mix9,3,3.875172
new,Mix9,4,3.909739
new,Mix9,5,3.948071
new,Mix9,6,3.988407
new,Mix9,7,4.029246
new,Mix9,8,4.069811
new,Mix9,9,4.110030
new,Mix9,10,4.149267
new,Mix9,11,4.187183
new,Mix9,12,4.224088
new,Mix9,13,4.259588
new,Mix9,14,4.294201
new,Mix9,15,4.327422
new,Mix10,0.01,6.986519
new,Mix10,0.015,6.401300
new,Mix10,0.02,5.723015
new,Mix10,0.03,4.772696
new,Mix10,0.04,4.343282
new,Mix10,0.05,4.150276
new,Mix10,0.06,4.054041
new,Mix10,0.08,3.969255
new,Mix10,0.1,3.935125
new,Mix10,0.15,3.905310
new,Mix10,0.2,3.896246
new,Mix10,0.3,3.889887
new,Mix10,0.356,3.888214
new,Mix10,0.4,3.887438
new,Mix10,0.5,3.886688
new,Mix10,0.511,3.886614
new,Mix10,0.6,3.885968
new,Mix10,0.662,3.885594
new,Mix10,0.8,3.885289
new,Mix10,1,3.885110
new,Mix10,1.173,3.885073
new,Mix10,1.33,3.885738
new,Mix10,1.5,3.887039
new,Mix10,2,3.895528
new,Mix10,2.51,3.907269
new,Mix10,3,3.923685
new,Mix10,4,3.958726
new,Mix10,5,3.997564
new,Mix10,6,4.038406
new,Mix10,7,4.079755
new,Mix10,8,4.120785
new,Mix10,9,4.161478
new,Mix10,10,4.201151
new,Mix10,11,4.239448
new,Mix10,12,4.276742
new,Mix10,13,4.312575
new,Mix10,14,4.347509
new,Mix10,15,4.381042
old,Mix1,0.01,6.746233
old,Mix1,0.015,6.131596
old,Mix1,0.02,5.449880
old,Mix1,0.03,4.545541
old,Mix1,0.04,4.154626
old,Mix1,0.05,3.982105
old,Mix1,0.06,3.896654
old,Mix1,0.08,3.821641
old,Mix1,0.1,3.791380
old,Mix1,0.15,3.764881
old,Mix1,0.2,3.756828
old,Mix1,0.3,3.751159
old,Mix1,0.356,3.749659
old,Mix1,0.4,3.748949
old,Mix1,0.5,3.748224
old,Mix1,0.511,3.748156
old,Mix1,0.6,3.747596
old,Mix1,0.662,3.747292
old,Mix1,0.8,3.746925
old,Mix1,1,3.746706
old,Mix1,1.173,3.746851
old,Mix1,1.33,3.747366
old,Mix1,1.5,3.748617
old,Mix1,2,3.756478
old,Mix1,2.51,3.767659
old,Mix1,3,3.782927
old,Mix1,4,3.815742
old,Mix1,5,3.852179
old,Mix1,6,3.890561
old,Mix1,7,3.929442
old,Mix1,8,3.968121
old,Mix1,9,4.006469
old,Mix1,10,4.043919
old,Mix1,11,4.080180
old,Mix1,12,4.115452
old,Mix1,13,4.149441
old,Mix1,14,4.182608
old,Mix1,15,4.214435
old,Mix2,0.01,6.627083
old,Mix2,0.015,5.979468
old,Mix2,0.02,5.282125
old,Mix2,0.03,4.388934
old,Mix2,0.04,4.013385
old,Mix2,0.05,3.849502
old,Mix2,0.06,3.768672
old,Mix2,0.08,3.697880
old,Mix2,0.1,3.669312
old,Mix2,0.15,3.644259
old,Mix2,0.2,3.636657
old,Mix2,0.3,3.631291
old,Mix2,0.356,3.629862
old,Mix2,0.4,3.629185
old,Mix2,0.5,3.628498
old,Mix2,0.511,3.628433
old,Mix2,0.6,3.627897
old,Mix2,0.662,3.627610
old,Mix2,0.8,3.627229
old,Mix2,1,3.627011
old,Mix2,1.173,3.627197
old,Mix2,1.33,3.627680
old,Mix2,1.5,3.628915
old,Mix2,2,3.636464
old,Mix2,2.51,3.647387
old,Mix2,3,3.662081
old,Mix2,4,3.693843
old,Mix2,5,3.729161
old,Mix2,6,3.766402
old,Mix2,7,3.804163
old,Mix2,8,3.841783
old,Mix2,9,3.879109
old,Mix2,10,3.915600
old,Mix2,11,3.950995
old,Mix2,12,3.985440
old,Mix2,13,4.018665
old,Mix2,14,4.051136
old,Mix2,15,4.082300
old,Mix3,0.01,6.859062
old,Mix3,0.015,6.279574
old,Mix3,0.02,5.618080
old,Mix3,0.03,4.709022
old,Mix3,0.04,4.304652
old,Mix3,0.05,4.124034
old,Mix3,0.06,4.034149
old,Mix3,0.08,3.955035
old,Mix3,0.1,3.923116
old,Mix3,0.15,3.895200
old,Mix3,0.2,3.886703
old,Mix3,0.3,3.880735
old,Mix3,0.356,3.879166
old,Mix3,0.4,3.878422
old,Mix3,0.5,3.877661
old,Mix3,0.511,3.877590
old,Mix3,0.6,3.877006
old,Mix3,0.662,3.876686
old,Mix3,0.8,3.876334
old,Mix3,1,3.876114
old,Mix3,1.173,3.876217
old,Mix3,1.33,3.876764
old,Mix3,1.5,3.878029
old,Mix3,2,3.886193
old,Mix3,2.51,3.897618
old,Mix3,3,3.913440
old,Mix3,4,3.947264
old,Mix3,5,3.984762
old,Mix3,6,4.024220
old,Mix3,7,4.064151
old,Mix3,8,4.103812
old,Mix3,9,4.143101
old,Mix3,10,4.181427
old,Mix3,11,4.218466
old,Mix3,12,4.254478
old,Mix3,13,4.289142
old,Mix3,14,4.322916
