Mixture,C,H,O,N,S,Density_g_per_cm3,BSA_weight_fraction
Mix1,0.514264,0.073925,0.320019,0.082377,0.009415,1.334335,0.5000
Mix2,0.550701,0.078934,0.278573,0.082377,0.009415,1.267900,0.5000
Mix3,0.477826,0.068916,0.361466,0.082377,0.009415,1.408117,0.5000
Mix4,0.498385,0.066778,0.320097,0.102971,0.011769,1.389034,0.6250
Mix5,0.540145,0.076138,0.236850,0.131803,0.015065,1.290321,0.8000
Mix6,0.522891,0.074662,0.292296,0.098852,0.011298,1.319334,0.6000
Mix7,0.505636,0.073187,0.347743,0.065902,0.007532,1.349681,0.4000
Mix8,0.497009,0.072450,0.375466,0.049426,0.005649,1.365385,0.3000
Mix9,0.488382,0.071712,0.403189,0.032951,0.003766,1.381458,0.2000
Mix10,0.471128,0.070237,0.458635,0.000000,0.000000,1.414767,0.0000
