condition,value,E_MeV,d_min_mfp,d_max_mfp,spread_primary_pct,spread_broad_pct,best_mix_primary,best_mix_broad,worst_mix_broad,spearman_primary_vs_broad
thickness_cm,1,0.015,1.564,1.8631,34.861,35.149,3,3,2,1
thickness_cm,1,0.02,0.79583,0.93427,14.849,13.958,3,3,2,1
thickness_cm,2,0.015,3.128,3.7262,81.875,84.076,3,3,2,1
thickness_cm,2,0.02,1.5917,1.8685,31.902,32.121,3,3,2,1
thickness_cm,2,0.03,0.81063,0.92585,12.212,9.864,3,3,2,0.32121
thickness_cm,2,0.04,0.61315,0.68894,7.8733,4.3273,3,4,10,0.11515
thickness_cm,2,0.05,0.53437,0.59539,6.2919,5.1568,3,5,10,-0.40606
thickness_cm,5,0.015,7.8201,9.3155,346.1,357.33,3,3,2,1
thickness_cm,5,0.02,3.9791,4.6714,99.816,105.34,3,3,2,1
thickness_cm,5,0.03,2.0266,2.3146,33.383,33.12,3,3,2,1
thickness_cm,5,0.04,1.5329,1.7223,20.861,15.947,3,3,2,0.24848
thickness_cm,5,0.05,1.3359,1.4885,16.48,9.3737,3,4,2,0.21212
thickness_cm,5,0.06,1.2311,1.3657,14.398,6.3567,3,4,10,0.11515
thickness_cm,5,0.08,1.1142,1.2347,12.806,5.0382,10,5,10,-0.21212
thickness_cm,5,0.1,1.0416,1.154,11.894,4.3244,10,5,10,-0.27273
thickness_cm,5,0.15,0.9228,1.022,10.434,2.3735,10,5,10,-0.92727
thickness_cm,5,0.2,0.84133,0.93168,9.4553,1.8015,10,5,10,-0.89091
thickness_cm,5,0.3,0.72923,0.80742,8.1327,0.8024,10,5,10,-0.32121
thickness_cm,5,0.356,0.68326,0.75648,7.5972,0.57905,10,4,10,0.018182
thickness_cm,5,0.4,0.65263,0.72256,7.2441,0.46995,10,3,10,0.030303
thickness_cm,5,0.5,0.5957,0.65954,6.5928,0.70211,10,3,2,0.81818
thickness_cm,5,0.511,0.59026,0.65352,6.5302,0.7141,10,3,2,0.81818
thickness_cm,5,0.6,0.5508,0.60981,6.0789,0.80111,10,3,2,0.87879
thickness_cm,5,0.662,0.52738,0.58386,5.8109,0.90708,10,3,2,0.92727
thickness_cm,10,0.015,15.64,18.631,1890.1,1955.1,3,3,2,1
thickness_cm,10,0.02,7.9583,9.3427,299.26,319.29,3,3,2,1
thickness_cm,10,0.03,4.0532,4.6293,77.911,82.831,3,3,2,1
thickness_cm,10,0.04,3.0658,3.4447,46.073,42.784,3,3,2,0.98788
thickness_cm,10,0.05,2.6718,2.9769,35.676,27.832,3,3,2,0.98788
thickness_cm,10,0.06,2.4623,2.7313,30.869,20.136,3,3,2,0.66061
thickness_cm,10,0.08,2.2284,2.4694,27.251,12.738,10,3,2,0.34545
thickness_cm,10,0.1,2.0833,2.3081,25.203,9.8551,10,3,2,0.38182
thickness_cm,10,0.15,1.8456,2.0441,21.956,5.493,10,3,2,0.55152
thickness_cm,10,0.2,1.6827,1.8634,19.805,4.4805,10,3,2,0.64848
thickness_cm,10,0.3,1.4585,1.6148,16.927,4.0359,10,3,2,0.92727
thickness_cm,10,0.356,1.3665,1.513,15.772,3.8628,10,3,2,0.96364
thickness_cm,10,0.4,1.3053,1.4451,15.013,3.7804,10,3,2,0.96364
thickness_cm,10,0.5,1.1914,1.3191,13.62,3.6874,10,3,2,0.96364
thickness_cm,10,0.511,1.1805,1.307,13.487,3.6667,10,3,2,0.96364
thickness_cm,10,0.6,1.1016,1.2196,12.527,3.5271,10,3,2,0.96364
thickness_cm,10,0.662,1.0548,1.1677,11.959,3.5201,10,3,2,0.96364
thickness_cm,10,0.8,0.96737,1.071,10.924,3.5353,10,3,2,0.96364
thickness_cm,10,1,0.86972,0.96296,9.7731,3.2225,10,3,2,0.98788
thickness_cm,10,1.173,0.80356,0.88961,8.9859,3.4255,10,3,2,0.98788
thickness_cm,10,1.33,0.75335,0.83409,8.4091,3.3407,10,10,2,1
thickness_cm,10,1.5,0.70782,0.7837,7.8831,3.2577,10,10,2,1
thickness_cm,10,2,0.60731,0.67261,6.7476,3.0901,10,10,2,1
thickness_cm,10,2.51,0.53659,0.59437,5.9486,2.8854,10,10,2,1
thickness_cm,20,0.015,31.28,37.262,39503,41749,3,3,2,1
thickness_cm,20,0.02,15.917,18.685,1494.1,1604.9,3,3,2,1
thickness_cm,20,0.03,8.1063,9.2585,216.52,237.79,3,3,2,1
thickness_cm,20,0.04,6.1315,6.8894,113.37,116.11,3,3,2,0.98788
thickness_cm,20,0.05,5.3437,5.9539,84.079,76.222,3,3,2,0.98788
thickness_cm,20,0.06,4.9246,5.4627,71.267,57.49,3,3,2,0.98788
thickness_cm,20,0.08,4.4568,4.9388,61.929,40.412,10,3,2,0.96364
thickness_cm,20,0.1,4.1666,4.6161,56.757,33.176,10,3,2,0.96364
thickness_cm,20,0.15,3.6912,4.0882,48.733,23.542,10,3,2,0.96364
thickness_cm,20,0.2,3.3653,3.7267,43.532,19.757,10,3,2,0.96364
thickness_cm,20,0.3,2.9169,3.2297,36.719,16.364,10,3,2,0.96364
thickness_cm,20,0.356,2.733,3.0259,34.03,15.15,10,3,2,0.96364
thickness_cm,20,0.4,2.6105,2.8903,32.28,14.399,10,3,2,0.96364
thickness_cm,20,0.5,2.3828,2.6382,29.095,13.15,10,3,2,0.98788
thickness_cm,20,0.511,2.361,2.6141,28.792,13.021,10,3,2,0.98788
thickness_cm,20,0.6,2.2032,2.4393,26.624,12.115,10,3,2,0.98788
thickness_cm,20,0.662,2.1095,2.3354,25.349,11.648,10,3,2,0.98788
thickness_cm,20,0.8,1.9347,2.1421,23.042,10.858,10,3,2,0.98788
thickness_cm,20,1,1.7394,1.9259,20.501,9.7026,10,3,2,0.98788
thickness_cm,20,1.173,1.6071,1.7792,18.779,9.6499,10,3,2,0.98788
thickness_cm,20,1.33,1.5067,1.6682,17.525,9.4177,10,10,2,1
thickness_cm,20,1.5,1.4156,1.5674,16.388,8.9943,10,10,2,1
thickness_cm,20,2,1.2146,1.3452,13.95,7.9738,10,10,2,1
thickness_cm,20,2.51,1.0732,1.1887,12.251,7.1733,10,10,2,1
thickness_cm,20,3,0.97375,1.0792,11.123,6.6763,10,10,2,1
thickness_cm,20,4,0.83283,0.92393,9.5373,5.8685,10,10,2,1
thickness_cm,20,5,0.73997,0.82178,8.5249,5.362,10,10,2,1
thickness_cm,20,6,0.67442,0.74974,7.8229,4.9848,10,10,2,1
thickness_cm,20,7,0.62576,0.6964,7.3201,4.8704,10,10,2,1
thickness_cm,20,8,0.58825,0.65535,6.9395,4.8056,10,10,2,1
