Energy_MeV,Mix1,Mix2,Mix3,Mix4,Mix5,Mix6,Mix7,Mix8,Mix9,Mix10
0.015,2.2538,2.33354,2.17729,2.16938,2.23373,2.24707,2.26059,2.26741,2.27429,2.28817
0.02,3.94492,4.16249,3.73897,3.72278,3.87277,3.92064,3.96944,3.9942,4.01921,4.06996
0.03,10.0994,10.9401,9.53797,9.46572,9.72599,9.96901,10.2314,10.3649,10.4999,10.7747
0.04,21.4332,23.3275,20.4639,20.2572,20.8606,21.1277,21.7766,22.1243,22.4764,23.1937
0.05,32.395,34.9803,31.1883,30.8399,31.764,32.1836,32.8658,33.3826,33.9058,34.9718
0.06,38.5581,41.1384,37.1834,36.7577,37.8371,38.3164,38.886,39.4619,40.0451,41.2322
0.08,38.2239,40.1531,36.9907,36.5769,37.5917,38.0119,38.4367,38.8057,39.2991,40.302
0.1,32.5802,33.8968,31.5959,31.2522,32.0727,32.4103,32.7515,32.9502,33.2987,34.0058
0.15,19.5381,20.0457,19.128,18.9708,19.3707,19.4824,19.5942,19.6505,19.7695,20.0977
0.2,13.2207,13.4932,12.9858,12.8927,13.1337,13.1916,13.2498,13.2791,13.3374,13.5238
0.3,8.06378,8.17954,7.95135,7.90577,8.02639,8.05133,8.0764,8.08896,8.10542,8.18198
0.356,6.65822,6.74134,6.57631,6.54279,6.63353,6.64995,6.66653,6.67487,6.6845,6.73898
0.4,5.8527,5.9191,5.7872,5.76015,5.83459,5.84666,5.85877,5.86495,5.87139,5.914
0.5,4.68027,4.725,4.63601,4.61758,4.66959,4.67669,4.68387,4.6875,4.69114,4.71736
0.511,4.58349,4.62647,4.54102,4.52327,4.57358,4.58013,4.58682,4.59022,4.59359,4.6192
0.6,3.93798,3.96927,3.90697,3.89395,3.93272,3.93618,3.93974,3.94151,3.9433,3.96474
0.662,3.62368,3.65109,3.59659,3.58513,3.61896,3.6221,3.62528,3.62689,3.62856,3.6445
0.8,3.10634,3.12784,3.08498,3.07594,3.10197,3.10486,3.10779,3.10925,3.11076,3.11927
1,2.64064,2.65378,2.62761,2.62201,2.64042,2.64056,2.64073,2.64083,2.64093,2.64688
1.173,2.432,2.44998,2.4143,2.40968,2.43356,2.43252,2.43148,2.43096,2.43044,2.42943
1.33,2.28233,2.29771,2.26717,2.26474,2.28884,2.28451,2.28017,2.278,2.27585,2.27155
1.5,2.1339,2.14643,2.12154,2.11966,2.14007,2.13595,2.13187,2.12983,2.12781,2.12377
2,1.84911,1.85843,1.84014,1.83888,1.85383,1.85067,1.84753,1.84598,1.84441,1.8413
2.51,1.67873,1.68581,1.67174,1.6708,1.68248,1.67997,1.67748,1.67626,1.67502,1.67256
3,1.56876,1.57437,1.56301,1.56226,1.57186,1.56979,1.56775,1.56673,1.5657,1.56367
4,1.42731,1.43094,1.42388,1.42322,1.42911,1.42791,1.42673,1.42613,1.42554,1.42437
5,1.33896,1.34122,1.33693,1.33633,1.33994,1.33928,1.33863,1.33831,1.33798,1.33734
6,1.28563,1.28702,1.28445,1.28389,1.28613,1.28579,1.28545,1.28529,1.28513,1.28479
7,,,,,,,,,,
8,,,,,,,,,,
9,,,,,,,,,,
10,,,,,,,,,,
11,,,,,,,,,,
12,,,,,,,,,,
13,,,,,,,,,,
14,,,,,,,,,,
15,,,,,,,,,,
