Energy_MeV,Mix1,Mix2,Mix3,Mix4,Mix5,Mix6,Mix7,Mix8,Mix9,Mix10
0.015,2.06015,2.09319,2.02697,2.01438,2.0299,2.04988,2.0706,2.08125,2.0921,2.11443
0.02,3.31149,3.39253,3.2305,3.20084,3.21658,3.27912,3.34464,3.37859,3.41337,3.48555
0.03,7.2849,7.44723,7.2468,7.12521,6.89323,7.14776,7.42647,7.57269,7.72378,8.04151
0.04,13.0629,13.1025,13.4044,13.0821,12.3109,12.7538,13.3998,13.75,14.1146,14.8898
0.05,17.6862,17.4423,18.5126,17.9906,16.6259,17.3203,18.1754,18.7028,19.2533,20.4286
0.06,19.6185,19.0411,20.7422,20.1121,18.3676,19.1859,20.103,20.7106,21.3459,22.705
0.08,18.3311,17.4726,19.5755,18.9554,17.131,17.9153,18.7635,19.2773,19.8646,21.1226
0.1,15.7204,14.8737,16.7809,16.2534,14.7005,15.3675,16.0874,16.4775,16.9315,17.9045
0.15,9.68046,9.0907,10.3931,10.1069,9.14716,9.496,9.87227,10.0717,10.305,10.8406
0.2,6.90063,6.5005,7.37491,7.18998,6.55646,6.7817,7.02404,7.15219,7.29868,7.643
0.3,4.66569,4.43157,4.93377,4.83034,4.47119,4.59871,4.73503,4.80675,4.88267,5.06251
0.356,4.01741,3.82984,4.23114,4.14999,3.86457,3.96481,4.07176,4.12796,4.18663,4.32648
0.4,3.63485,3.47424,3.81754,3.74896,3.50558,3.5904,3.68074,3.72819,3.77732,3.89463
0.5,3.06844,2.94793,3.20504,3.15441,2.97258,3.03552,3.10239,3.1374,3.17352,3.2585
0.511,3.02,2.90267,3.15297,3.10382,2.92701,2.98805,3.0529,3.08687,3.12188,3.20472
0.6,2.69182,2.59545,2.8007,2.76155,2.61782,2.66641,2.71796,2.74489,2.77266,2.84114
0.662,2.52975,2.44473,2.62579,2.59098,2.46378,2.50713,2.55304,2.57702,2.60175,2.66054
0.8,2.25672,2.19026,2.33161,2.30384,2.20358,2.23851,2.27541,2.29464,2.31445,2.35827
1,2.00236,1.94971,2.06146,2.04104,1.96364,1.9891,2.01598,2.02997,2.04436,2.07783
1.173,1.88559,1.84367,1.93256,1.91498,1.85266,1.87434,1.89714,1.909,1.92117,1.94652
1.33,1.80106,1.76365,1.8429,1.82822,1.77438,1.79196,1.81039,1.81995,1.82977,1.85015
1.5,1.71697,1.6839,1.75391,1.7412,1.69393,1.7091,1.72503,1.73328,1.74175,1.75933
2,1.54865,1.52491,1.57531,1.5661,1.5321,1.543,1.55442,1.56035,1.56641,1.57901
2.51,1.4444,1.42568,1.46527,1.45806,1.43147,1.43998,1.44892,1.45355,1.45829,1.46813
3,1.376,,1.39321,1.38726,,1.37237,1.37974,1.38355,1.38746,1.39557
4,,,,,,,,,,
5,,,,,,,,,,
6,,,,,,,,,,
7,,,,,,,,,,
8,,,,,,,,,,
9,,,,,,,,,,
10,,,,,,,,,,
11,,,,,,,,,,
12,,,,,,,,,,
13,,,,,,,,,,
14,,,,,,,,,,
15,,,,,,,,,,
