Energy_MeV,Mix1,Mix2,Mix3,Mix4,Mix5,Mix6,Mix7,Mix8,Mix9,Mix10
0.015,,,,,,,,,,
0.02,5.90845e-14,1.57175e-13,2.22166e-14,2.09886e-14,3.70812e-14,5.05837e-14,6.90129e-14,8.06163e-14,9.41691e-14,1.28518e-13
0.03,2.17573e-06,3.09737e-06,1.5878e-06,1.55855e-06,1.75608e-06,2.02435e-06,2.33842e-06,2.51312e-06,2.70072e-06,3.11824e-06
0.04,0.000401661,0.00050141,0.000348452,0.00034582,0.000355957,0.000381534,0.000424176,0.000447903,0.000472861,0.000526792
0.05,0.00425099,0.0049547,0.00394427,0.00392639,0.00393105,0.00414175,0.00443353,0.0046345,0.00484392,0.00528942
0.06,0.0148731,0.0165425,0.0141305,0.0140855,0.0139356,0.0145546,0.0152636,0.0158557,0.0164686,0.0177617
0.08,0.0467899,0.0497424,0.0453747,0.0452718,0.0443812,0.0459756,0.0476186,0.048827,0.0503534,0.0535445
0.1,0.0734633,0.0767354,0.0718749,0.0717475,0.0701222,0.072331,0.0746105,0.0759248,0.0781116,0.0826534
0.15,0.108922,0.110892,0.107864,0.107804,0.105089,0.10763,0.110222,0.111534,0.11357,0.118744
0.2,0.122967,0.12407,0.122355,0.122364,0.119269,0.121724,0.124221,0.125486,0.127237,0.131966
0.3,0.137293,0.137307,0.137315,0.137475,0.134113,0.136222,0.13837,0.13946,0.14069,0.144807
0.356,0.14492,0.144665,0.14517,0.145392,0.14193,0.143916,0.145933,0.146953,0.148038,0.151898
0.4,0.149585,0.149161,0.150006,0.150283,0.146775,0.14864,0.150537,0.151491,0.152473,0.156101
0.5,0.160738,0.160054,0.16143,0.161796,0.158217,0.159892,0.16159,0.162447,0.163311,0.166505
0.511,0.162058,0.161349,0.16277,0.163147,0.159555,0.161221,0.162905,0.163753,0.164611,0.167769
0.6,0.171416,0.170539,0.172304,0.172742,0.169105,0.170645,0.172198,0.172984,0.173775,0.176664
0.662,0.17875,0.177784,0.179718,0.180183,0.176493,0.177994,0.179512,0.180277,0.181042,0.183737
0.8,0.192703,0.191595,0.193824,0.194357,0.190646,0.192016,0.1934,0.194101,0.1948,0.197135
1,0.212562,0.211206,0.213927,0.214563,0.210769,0.211964,0.213162,0.213765,0.214371,0.216422
1.173,0.238025,0.237793,0.238267,0.239004,0.236671,0.237573,0.238478,0.238932,0.239387,0.240293
1.33,0.257853,0.257545,0.258181,0.25931,0.25771,0.257799,0.257898,0.257953,0.257999,0.258101
1.5,0.271171,0.270637,0.271725,0.272901,0.271137,0.271162,0.271181,0.271191,0.271203,0.271227
2,0.308792,0.30821,0.309469,0.310652,0.308791,0.308794,0.3088,0.308799,0.308809,0.308822
2.51,0.340743,0.340069,0.341463,0.342604,0.340693,0.340733,0.340764,0.340775,0.340798,0.340835
3,0.364039,0.363363,0.364681,0.365805,0.364045,0.364041,0.364026,0.364026,0.364027,0.36403
4,0.401355,0.400698,0.402061,0.403144,0.401294,0.401334,0.401362,0.401384,0.401406,0.401439
5,0.425942,0.425314,0.426703,0.427733,0.425851,0.425911,0.425973,0.426004,0.426036,0.4261
6,0.44738,0.446795,0.448053,0.449058,0.447343,0.447367,0.44741,0.447423,0.447437,0.447482
7,0.461667,0.461369,0.461898,0.462922,0.461883,0.46174,0.461595,0.461524,0.461452,0.461311
8,0.471977,0.471954,0.471784,0.472851,0.472415,0.472123,0.471814,0.471669,0.471508,0.471204
9,0.479367,0.479521,0.479101,0.480149,0.479889,0.479545,0.479208,0.479032,0.478856,0.478506
10,0.48472,0.485024,0.484344,0.485386,0.485274,0.484914,0.484526,0.484334,0.484141,0.483776
11,0.490518,0.490946,0.490051,0.491087,0.491148,0.490736,0.490319,0.490102,0.489904,0.489491
12,0.494974,0.495536,0.494423,0.495451,0.495668,0.4952,0.49475,0.494525,0.494301,0.493854
13,0.498377,0.49904,0.497734,0.498771,0.4991,0.49861,0.498125,0.497892,0.49764,0.497177
14,0.500807,0.501578,0.500084,0.50111,0.501581,0.501049,0.500545,0.500283,0.500022,0.499521
15,0.502528,0.503391,0.501741,0.502773,0.503354,0.502799,0.502256,0.501985,0.501714,0.501173
