Energy_MeV,Mix1,Mix2,Mix3,Mix4,Mix5,Mix6,Mix7,Mix8,Mix9,Mix10
0.015,3.62316e-15,6.34576e-14,1.51636e-16,2.37384e-16,6.95449e-15,4.52499e-15,2.88608e-15,2.28678e-15,1.80189e-15,1.09954e-15
0.02,1.4949e-07,5.7375e-07,3.36539e-08,4.16675e-08,2.02944e-07,1.65923e-07,1.34341e-07,1.20416e-07,1.07641e-07,8.52877e-08
0.03,0.00226261,0.00408749,0.00121006,0.00133812,0.00258424,0.00236685,0.00216018,0.00205959,0.00196091,0.00176955
0.04,0.0475083,0.0701177,0.0324459,0.034697,0.0523989,0.0488089,0.0462894,0.0450588,0.0438156,0.0412991
0.05,0.185963,0.249037,0.14132,0.148727,0.201851,0.19128,0.182415,0.179056,0.175613,0.168477
0.06,0.370486,0.467122,0.296605,0.309326,0.396109,0.379125,0.362732,0.357594,0.352265,0.341065
0.08,0.640845,0.759269,0.540745,0.558613,0.674377,0.652242,0.629244,0.620424,0.613613,0.599088
0.1,0.744234,0.856725,0.643303,0.661774,0.777859,0.755689,0.732516,0.721355,0.714438,0.699716
0.15,0.72671,0.804267,0.651007,0.666453,0.754647,0.736226,0.716972,0.707017,0.699628,0.68788
0.2,0.666523,0.726022,0.606246,0.619153,0.689765,0.674448,0.658416,0.650124,0.643295,0.632858
0.3,0.600251,0.644308,0.553702,0.564482,0.619936,0.606951,0.593396,0.586398,0.579592,0.56958
0.356,0.581421,0.620991,0.539288,0.549386,0.59999,0.587742,0.574964,0.568369,0.56177,0.552016
0.4,0.567991,0.604805,0.52868,0.538358,0.585889,0.574079,0.561775,0.555422,0.54898,0.539333
0.5,0.552127,0.584938,0.516959,0.525982,0.568982,0.55786,0.546278,0.540309,0.534218,0.524553
0.511,0.551008,0.583438,0.516221,0.52519,0.567764,0.556711,0.545196,0.539258,0.533207,0.523599
0.6,0.542398,0.572173,0.510345,0.518909,0.558541,0.547888,0.536807,0.531107,0.525294,0.516143
0.662,0.541341,0.569961,0.510496,0.518792,0.55696,0.54665,0.535927,0.530406,0.524767,0.515435
0.8,0.539486,0.566178,0.510722,0.518539,0.554218,0.544499,0.534378,0.529165,0.523838,0.514247
1,0.543344,0.56742,0.517235,0.524793,0.557799,0.548255,0.53834,0.533241,0.528044,0.518779
1.173,0.56438,0.589329,0.537464,0.544788,0.578783,0.569274,0.55939,0.554303,0.549115,0.538422
1.33,0.579687,0.603653,0.553774,0.561402,0.59533,0.584989,0.574284,0.568791,0.563191,0.551695
1.5,0.586346,0.609232,0.56155,0.569016,0.601646,0.591538,0.581061,0.575682,0.570206,0.558958
2,0.606161,0.627197,0.583461,0.590358,0.620293,0.610957,0.601287,0.596317,0.591266,0.580879
2.51,0.623673,0.643158,0.602522,0.608951,0.636821,0.62814,0.619134,0.614503,0.609796,0.60011
3,0.635984,0.65444,0.615813,0.621932,0.648532,0.640242,0.631639,0.627225,0.622728,0.613483
4,0.655208,0.672038,0.636926,0.642539,0.666556,0.659061,0.651271,0.64727,0.643192,0.634786
5,0.666585,0.682286,0.64958,0.654842,0.677146,0.670172,0.662927,0.659199,0.655397,0.647564
6,0.678337,0.693195,0.662191,0.667202,0.688359,0.681742,0.674875,0.671333,0.667719,0.660281
7,0.684956,0.699541,0.668925,0.673813,0.694897,0.688334,0.681513,0.678003,0.674425,0.667053
8,0.689459,0.703885,0.673441,0.678263,0.699361,0.692825,0.686019,0.682525,0.678952,0.671609
9,0.69205,0.706275,0.676364,0.681079,0.701778,0.695358,0.688692,0.685258,0.681758,0.674552
10,0.693687,0.707772,0.678211,0.682854,0.703262,0.696947,0.690366,0.686981,0.683532,0.676443
11,0.69633,0.710267,0.68106,0.685635,0.705793,0.69955,0.693062,0.689719,0.686324,0.679321
12,0.698241,,0.683124,0.687643,0.707617,0.701421,0.694999,0.691696,0.688329,0.681395
13,0.699578,,0.684565,0.689052,,0.70273,0.696353,0.69308,0.689729,0.682857
14,,,0.685427,0.689877,,,0.697162,0.693896,0.690567,0.683724
15,,,0.685885,0.690316,,,,,0.691013,0.684187
