Energy_MeV,Mix1,Mix2,Mix3,Mix4,Mix5,Mix6,Mix7,Mix8,Mix9,Mix10
0.015,3.90986e-08,1.61273e-07,8.10395e-09,1.01744e-08,5.46006e-08,4.38119e-08,3.48007e-08,3.08918e-08,2.73448e-08,2.12379e-08
0.02,0.000181507,0.000349759,8.7601e-05,9.80323e-05,0.000215467,0.000192433,0.00017097,0.000160822,0.000151057,0.00013267
0.03,0.0132186,0.0173674,0.00976188,0.0103712,0.0146521,0.0136908,0.0127526,0.0122927,0.0118391,0.0109516
0.04,0.0389573,0.0466186,0.0319146,0.0335003,0.0425152,0.040135,0.0377877,0.0366278,0.0354769,0.0332062
0.05,0.0598212,0.0691254,0.050949,0.0532237,0.0648569,0.061492,0.0581598,0.0565066,0.0548632,0.0516081
0.06,0.0750372,0.0852387,0.0651329,0.0678581,0.0810287,0.0770281,0.0730547,0.0710803,0.0691137,0.0652107
0.08,0.096418,0.1077,0.0852683,0.088543,0.103546,0.0987914,0.0940502,0.0916876,0.0893295,0.0846353
0.1,0.112481,0.12452,0.100468,0.104094,0.120316,0.115091,0.10987,0.107261,0.104656,0.099455
0.15,0.144517,0.157932,0.130948,0.135144,0.153459,0.147503,0.141522,0.138523,0.13552,0.129499
0.2,0.17149,0.185877,0.156813,0.161391,0.181149,0.174723,0.168245,0.164988,0.161719,0.15515
0.3,0.216955,0.232593,0.200813,0.205881,0.227506,0.220493,0.213391,0.209808,0.2062,0.198922
0.356,0.238905,0.254994,0.222225,0.227473,0.249771,0.242554,0.235229,0.231526,0.227796,0.220256
0.4,0.254748,0.271104,0.237737,0.243099,0.265805,0.258463,0.251003,0.247225,0.24342,0.235716
0.5,0.287028,0.303797,0.26949,0.275031,0.298386,0.29085,0.28317,0.279276,0.275345,0.26738
0.511,0.290321,0.30712,0.272739,0.278298,0.3017,0.294153,0.286456,0.282551,0.278613,0.270622
0.6,0.315343,0.332338,0.29749,0.303142,0.326862,0.319226,0.311425,0.307466,0.303465,0.29534
0.662,0.331214,0.348278,0.313237,0.318934,0.342779,0.335111,0.327275,0.323292,0.319261,0.311075
0.8,0.362958,0.380082,0.344849,0.3506,0.374581,0.36688,0.358994,0.354983,0.350919,0.342649
1,0.402061,0.419071,0.383979,0.389733,0.413618,0.405965,0.398106,0.3941,0.39004,0.381761
1.173,0.430926,0.447734,0.412992,0.418704,0.44234,0.434783,0.427016,0.423052,0.419032,0.410818
1.33,0.454193,0.470788,0.436448,0.442104,0.465481,0.458005,0.45032,0.446397,0.442411,0.43427
1.5,0.476378,0.492718,0.458865,0.464451,0.487488,0.480138,0.472562,0.468689,0.464758,0.456715
2,0.529224,0.544814,0.512439,0.5178,0.539836,0.532819,0.525577,0.521865,0.5181,0.510376
2.51,0.569903,0.58474,0.553866,0.558979,0.579996,0.573328,0.566428,0.562887,0.559293,0.551909
3,0.600306,,0.58487,0.589775,,0.603592,0.596954,0.593551,0.590089,0.582978
4,,,,,,,,,,
5,,,,,,,,,,
6,,,,,,,,,,
7,,,,,,,,,,
8,,,,,,,,,,
9,,,,,,,,,,
10,,,,,,,,,,
11,,,,,,,,,,
12,,,,,,,,,,
13,,,,,,,,,,
14,,,,,,,,,,
15,,,,,,,,,,
