Energy_MeV,mu_C_cm2_per_g,mu_H_cm2_per_g,mu_N_cm2_per_g,mu_O_cm2_per_g,mu_S_cm2_per_g
0.01,2.3730059,0.38540864,3.8791852,5.9528413,50.126534
0.015,0.80743062,0.37644058,1.2362659,1.8357667,15.500945
0.02,0.44197097,0.36948019,0.61787486,0.8653006,6.7088609
0.03,0.25616267,0.35702714,0.30663294,0.37790328,2.1126683
0.04,0.20763862,0.34581801,0.2287569,0.25851369,0.98723137
0.05,0.18708184,0.33551374,0.19795558,0.21325189,0.58486056
0.06,0.17531936,0.32603294,0.18173802,0.19073199,0.4052256
0.08,0.16100331,0.30908582,0.16388841,0.16785079,0.25855032
0.1,0.15135562,0.2944113,0.15294759,0.15514134,0.20200244
0.15,0.1346719,0.26510087,0.13529959,0.13608657,0.1506041
0.2,0.12294721,0.24288087,0.1232717,0.12368114,0.13016725
0.3,0.10664956,0.21123628,0.10680195,0.10696962,0.10910948
0.356,0.099938802,0.19809595,0.10006532,0.10017389,0.10153267
0.4,0.095466025,0.18929569,0.095566764,0.09566053,0.096652411
0.5,0.087151095,0.17285906,0.087189466,0.087295927,0.087815084
0.511,0.086355239,0.17128666,0.086391911,0.086496621,0.086985499
0.6,0.08058352,0.15989058,0.080631882,0.080699503,0.081022762
0.662,0.077157505,0.15311696,0.077216409,0.077255666,0.077498607
0.8,0.070757613,0.14046945,0.070807785,0.070867859,0.070983425
1,0.063615493,0.12630786,0.063641198,0.063715994,0.063729666
1.173,0.058786456,0.11668237,0.058832243,0.058844585,0.058828719
1.33,0.055112533,0.10936043,0.055129975,0.055184275,0.055203129
1.5,0.051790461,0.10267272,0.051796328,0.051854227,0.051932391
2,0.044425517,0.087694794,0.044498224,0.044595234,0.044976693
2.51,0.039276656,0.07695967,0.039349988,0.039469354,0.040309936
3,0.035625003,0.069214284,0.035793416,0.035966177,0.03714963
4,0.030473661,0.058065202,0.03073517,0.030999918,0.032931209
5,0.027082967,0.050492458,0.027423188,0.02777108,0.030365393
6,0.024688615,0.044983096,0.025105603,0.025524542,0.028718811
7,0.022911604,0.040783223,0.023395747,0.023881616,0.02759924
8,0.021544281,0.03746397,0.022089873,0.022630328,0.02682269
9,0.020467224,0.034775164,0.021064918,0.021663057,0.026280958
10,0.019593464,0.032543007,0.02024192,0.020889238,0.025895
11,0.018880323,0.030668143,0.01957261,0.020259891,0.025617594
12,0.018282566,0.029061547,0.019012621,0.019744882,0.025424071
13,0.017775772,0.027671829,0.018549511,0.019314209,0.02529243
14,0.017350666,0.026458362,0.018157352,0.018956946,0.025209686
15,0.016983122,0.025391879,0.017823679,0.01865766,0.025166241
