Energy_MeV,Mix1,Mix2,Mix3,Mix4,Mix5,Mix6,Mix7,Mix8,Mix9,Mix10
0.015,-9.355,273.89,-81.2121,-76.412,26.5844,1.57217,-19.3191,-28.3814,-36.6047,-50.7627
0.02,4.29529,100.974,-49.6638,-43.6699,23.809,10.5735,-1.75935,-7.59047,-13.2015,-23.7668
0.03,4.16714,36.8611,-23.073,-18.2714,15.4636,7.88824,0.494901,-3.12927,-6.70379,-13.6976
0.04,3.40644,23.7422,-15.2874,-11.0784,12.8504,6.53247,0.301906,-2.77688,-5.83177,-11.859
0.05,3.03237,19.0574,-12.2486,-8.33076,11.7055,5.91005,0.170873,-2.6765,-5.50699,-11.1134
0.06,2.82124,16.8,-10.7503,-7.01607,11.0312,5.54931,0.104675,-2.60079,-5.29556,-10.6437
0.08,2.57569,14.5782,-9.28608,-5.80224,10.1589,5.10067,0.0566721,-2.45681,-4.96551,-9.95951
0.1,2.42194,13.3843,-8.51675,-5.21502,9.55626,4.79853,0.0444359,-2.33124,-4.70328,-9.43916
0.15,2.16342,11.6469,-7.42892,-4.46264,8.48479,4.27431,0.0461625,-2.07392,-4.19683,-8.45326
0.2,1.98359,10.5394,-6.74469,-4.02219,7.72771,3.90623,0.0538196,-1.88309,-3.82714,-7.73366
0.3,1.73444,9.0674,-5.83486,-3.45838,6.68201,3.39348,0.0632104,-1.61693,-3.30879,-6.72159
0.356,1.63018,8.47443,-5.4655,-3.233,6.25257,3.18246,0.0664049,-1.50885,-3.09559,-6.30311
0.4,1.5612,8.0819,-5.22063,-3.08294,5.96933,3.04228,0.0681731,-1.43801,-2.95497,-6.02634
0.5,1.43217,7.35813,-4.76554,-2.80742,5.44595,2.78282,0.0688046,-1.30729,-2.69645,-5.51119
0.511,1.4196,7.28809,-4.72243,-2.78047,5.39469,2.75825,0.0694131,-1.29474,-2.67043,-5.46197
0.6,1.32814,6.78909,-4.40851,-2.59237,5.0295,2.57585,0.0691816,-1.20295,-2.48858,-5.09936
0.662,1.27456,6.49218,-4.22222,-2.48027,4.81077,2.46614,0.0701431,-1.14773,-2.38028,-4.88329
0.8,1.1731,5.94635,-3.87471,-2.27164,4.41297,2.26634,0.0681534,-1.0499,-2.18272,-4.48795
1,1.06012,5.33567,-3.48489,-2.03859,3.96503,2.04141,0.0660059,-0.940923,-1.96143,-4.04239
1.173,0.980996,4.9197,-3.22157,-1.88304,3.65569,1.88483,0.0647467,-0.864157,-1.80618,-3.73101
1.33,0.922426,4.60986,-3.02054,-1.76377,3.43064,1.76946,0.0618387,-0.809858,-1.69555,-3.5045
1.5,0.868517,4.32836,-2.83969,-1.65691,3.22095,1.66466,0.0605154,-0.759556,-1.59191,-3.29494
2,0.749879,3.71779,-2.44553,-1.42494,2.77012,1.43427,0.0555889,-0.651075,-1.36783,-2.83827
2.51,0.665939,3.2867,-2.16679,-1.26364,2.44874,1.27092,0.0521256,-0.573346,-1.20818,-2.51247
3,1.27228,,-1.33179,-0.504311,,1.82663,0.706794,0.132704,-0.451339,-1.65097
4,,,,,,,,,,
5,,,,,,,,,,
6,,,,,,,,,,
7,,,,,,,,,,
8,,,,,,,,,,
9,,,,,,,,,,
10,,,,,,,,,,
11,,,,,,,,,,
12,,,,,,,,,,
13,,,,,,,,,,
14,,,,,,,,,,
15,,,,,,,,,,
