Energy_MeV,Mix1,Mix2,Mix3,Mix4,Mix5,Mix6,Mix7,Mix8,Mix9,Mix10
0.015,-12.7691,113.608,-64.3781,-65.6364,-38.8029,-22.4906,-1.83013,10.4827,24.3373,57.4795
0.02,-3.00272,38.7736,-32.2042,-33.5677,-18.5407,-8.48663,2.80803,8.96918,15.4968,29.7542
0.03,-0.723835,8.71429,-9.34094,-9.62697,-6.65492,-2.7403,1.33618,3.43911,5.58558,10.0118
0.04,-0.486839,2.37165,-3.26745,-3.01561,-3.47222,-1.49275,0.527457,1.554,2.58893,4.69283
0.05,-0.425832,0.257317,-1.10287,-0.626638,-2.27244,-1.04521,0.199653,0.826494,1.45741,2.73212
0.06,-0.39682,-0.627288,-0.163453,0.409576,-1.71682,-0.837946,0.0486543,0.495578,0.942986,1.84553
0.08,-0.367987,-1.27642,0.549077,1.17638,-1.26447,-0.666373,-0.0666141,0.235755,0.536796,1.14386
0.1,-0.34718,-1.4571,0.773018,1.40176,-1.07606,-0.591984,-0.103693,0.140321,0.384862,0.876052
0.15,-0.314762,-1.49396,0.876571,1.45739,-0.89522,-0.509938,-0.121034,0.0728741,0.269136,0.658945
0.2,-0.29115,-1.42139,0.851983,1.38586,-0.81031,-0.464484,-0.117536,0.0563579,0.230672,0.580002
0.3,-0.254812,-1.26874,0.767983,1.22814,-0.705118,-0.406556,-0.105038,0.0467057,0.197464,0.499967
0.356,-0.240443,-1.19744,0.725935,1.15582,-0.664353,-0.382031,-0.0980025,0.0435851,0.186026,0.470907
0.4,-0.229561,-1.14688,0.697051,1.10845,-0.633986,-0.365144,-0.0939783,0.0400551,0.176413,0.447579
0.5,-0.209249,-1.04974,0.640966,1.01553,-0.573442,-0.331078,-0.0874192,0.0344104,0.156888,0.403139
0.511,-0.207361,-1.0419,0.634188,1.0075,-0.569845,-0.327127,-0.0856838,0.0347195,0.156397,0.399114
0.6,-0.194474,-0.97406,0.592992,0.939724,-0.533327,-0.306487,-0.0807729,0.0334912,0.147193,0.375721
0.662,-0.185816,-0.935253,0.567804,0.900422,-0.514774,-0.295643,-0.0759896,0.0343601,0.142095,0.362794
0.8,-0.170367,-0.854844,0.520494,0.826479,-0.465408,-0.26841,-0.0704997,0.0293673,0.12741,0.325776
1,-0.151571,-0.768576,0.469347,0.74518,-0.41684,-0.239603,-0.0635394,0.0244924,0.112524,0.288588
1.173,-0.141562,-0.715355,0.43329,0.686507,-0.393015,-0.225497,-0.0576262,0.0263092,0.110245,0.276705
1.33,-0.131432,-0.667331,0.407075,0.644383,-0.360917,-0.20934,-0.0558065,0.0224269,0.0983785,0.252564
1.5,-0.123165,-0.625475,0.38127,0.60435,-0.340782,-0.195097,-0.0512326,0.0206994,0.0926314,0.236799
2,-0.103792,-0.520465,0.31677,0.511494,-0.279329,-0.161613,-0.0438971,0.014183,0.0743373,0.192313
2.51,-0.089559,-0.450441,0.272947,0.443525,-0.243195,-0.139456,-0.0375735,0.0125554,0.064541,0.166655
3,-0.075065,-0.384257,0.233268,0.389797,-0.200889,-0.116935,-0.034913,0.00695683,0.0490413,0.132996
4,-0.0572128,-0.29068,0.1751,0.315295,-0.147022,-0.0870212,-0.0291353,0.000865404,0.0308661,0.0889443
5,-0.044875,-0.22069,0.133266,0.261505,-0.104792,-0.0649069,-0.0248431,-0.00481123,0.0150418,0.0551055
6,-0.0347852,-0.168692,0.0991217,0.219434,-0.0708109,-0.0468504,-0.0208507,-0.00878551,0.00310977,0.0291094
7,,,,,,,,,,
8,,,,,,,,,,
9,,,,,,,,,,
10,,,,,,,,,,
11,,,,,,,,,,
12,,,,,,,,,,
13,,,,,,,,,,
14,,,,,,,,,,
15,,,,,,,,,,
