Energy_MeV,Mix1,Mix2,Mix3,Mix4,Mix5,Mix6,Mix7,Mix8,Mix9,Mix10
0.015,-9.91623,277.535,-81.629,-77.0788,23.954,0.44026,-19.4118,-28.0956,-36.02,-49.7782
0.02,3.60054,104.52,-51.2222,-45.9151,19.4593,8.7628,-1.43728,-6.34635,-11.1275,-20.2946
0.03,2.8324,38.1177,-24.4562,-21.0877,7.85632,4.50095,1.13469,-0.593022,-2.35053,-5.95471
0.04,1.2489,21.5274,-14.887,-12.8061,4.13418,1.84139,0.741356,0.201584,-0.373205,-1.62863
0.05,0.45389,14.4774,-10.4471,-9.08658,2.38129,1.12326,0.36559,0.341853,0.290582,0.0997408
0.06,0.323572,10.6086,-7.93064,-6.99223,1.42622,0.714066,0.08505,0.323572,0.539604,0.902157
0.08,0.224441,6.70817,-5.34859,-4.8269,0.587357,0.362236,0.0696346,0.226709,0.623649,1.3733
0.1,0.336547,5.09394,-4.33403,-3.99584,0.362649,0.360379,0.296259,0.288882,0.548201,1.04301
0.15,0.224091,2.85472,-2.50111,-2.14792,0.56295,0.345879,0.0922727,-0.0502915,0.0478557,0.571546
0.2,0.209923,2.31931,-2.06883,-1.73688,0.574048,0.339484,0.0718936,-0.0754502,-0.0483525,0.414849
0.3,0.29943,2.13352,-1.82846,-1.46074,0.792881,0.471841,0.118101,-0.072145,-0.23861,-0.215821
0.356,0.314317,2.07064,-1.72556,-1.33383,0.886658,0.513006,0.107058,-0.109085,-0.321675,-0.401527
0.4,0.325592,2.04938,-1.66787,-1.25659,0.957143,0.54391,0.0988227,-0.137047,-0.378335,-0.535004
0.5,0.342557,2.03387,-1.59473,-1.15769,1.0544,0.587738,0.0889462,-0.173438,-0.44505,-0.736601
0.511,0.34241,2.02453,-1.58405,-1.14332,1.06479,0.591329,0.085365,-0.180607,-0.455391,-0.745053
0.6,0.342361,1.96444,-1.5094,-1.04129,1.14832,0.619091,0.0579467,-0.235097,-0.537006,-0.809362
0.662,0.348283,1.97167,-1.49571,-1.03354,1.14375,0.621223,0.0674386,-0.222029,-0.520598,-0.880486
0.8,0.358296,1.99803,-1.4847,-1.03443,1.13338,0.624417,0.084578,-0.197349,-0.488342,-0.993874
1,0.35719,1.85244,-1.32729,-0.840882,1.24524,0.660728,0.0457987,-0.273571,-0.601168,-1.11849
1.173,0.379255,1.97558,-1.40188,-0.947643,1.23832,0.673023,0.077704,-0.231877,-0.549858,-1.21263
1.33,0.392992,1.89994,-1.28786,-0.805179,1.36437,0.724352,0.0530421,-0.295008,-0.652386,-1.39426
1.5,0.382864,1.82664,-1.22709,-0.749185,1.34555,0.711655,0.0462196,-0.298648,-0.652107,-1.3859
2,0.359139,1.73195,-1.15082,-0.70056,1.2779,0.672371,0.0392948,-0.288509,-0.623292,-1.31747
2.51,0.337384,1.61542,-1.07741,-0.655667,1.20013,0.63163,0.0372866,-0.270246,-0.584117,-1.23441
3,0.664707,,-0.697519,-0.292313,,0.948412,0.374298,0.0781623,-0.224677,-0.851071
4,,,,,,,,,,
5,,,,,,,,,,
6,,,,,,,,,,
7,,,,,,,,,,
8,,,,,,,,,,
9,,,,,,,,,,
10,,,,,,,,,,
11,,,,,,,,,,
12,,,,,,,,,,
13,,,,,,,,,,
14,,,,,,,,,,
15,,,,,,,,,,
