Energy_MeV,Mix1,Mix2,Mix3,Mix4,Mix5,Mix6,Mix7,Mix8,Mix9,Mix10
0.015,-13.5283,119.24,-65.8869,-67.2114,-39.8759,-23.3948,-2.39163,10.1826,24.3756,58.4905
0.02,-3.63954,45.4664,-36.1652,-37.7201,-20.5554,-9.64716,2.76833,9.60603,16.8988,32.988
0.03,-1.63079,16.6887,-15.1631,-16.0713,-10.927,-4.87324,1.72263,5.1883,8.77005,16.2958
0.04,-1.84602,9.89806,-8.90339,-9.58878,-7.33443,-4.22321,0.743596,3.39671,6.11273,11.7447
0.05,-1.84255,6.71877,-6.14096,-6.74313,-5.5392,-3.08963,0.209636,2.42242,4.67898,9.32565
0.06,-1.39309,4.96169,-4.68584,-5.23676,-4.51924,-2.44531,-0.109998,1.82251,3.78702,7.81902
0.08,-0.923243,3.12825,-3.23739,-3.72267,-3.43859,-1.76774,-0.0701153,1.19403,2.7889,6.04857
0.1,-0.648885,2.21453,-2.56724,-3.02525,-2.91156,-1.40929,0.117165,0.97111,2.28791,4.97151
0.15,-0.443393,0.934633,-1.36886,-1.61596,-1.87139,-0.921862,0.0360008,0.518171,1.32518,3.40749
0.2,-0.361537,0.539683,-1.01005,-1.19921,-1.53241,-0.753417,0.0320389,0.427309,1.04394,2.81365
0.3,-0.242294,0.160877,-0.624689,-0.742744,-1.15264,-0.547575,0.0638426,0.371934,0.727199,1.98609
0.356,-0.214026,0.0624921,-0.486957,-0.571399,-1.00655,-0.479397,0.0523694,0.320046,0.607456,1.71596
0.4,-0.196551,0.0073758,-0.397432,-0.457551,-0.908442,-0.435172,0.0428644,0.282677,0.529376,1.53286
0.5,-0.169072,-0.0639388,-0.270881,-0.297337,-0.760672,-0.367011,0.0298362,0.229437,0.429869,1.23977
0.511,-0.167604,-0.0745832,-0.2584,-0.28009,-0.74561,-0.360597,0.0267799,0.221164,0.417216,1.22172
0.6,-0.158601,-0.151166,-0.163177,-0.153168,-0.630316,-0.315887,-2.85974e-05,0.159116,0.318833,1.0944
0.662,-0.145205,-0.145639,-0.143762,-0.132933,-0.603909,-0.298684,0.00885065,0.16334,0.317685,0.980256
0.8,-0.122784,-0.121169,-0.122638,-0.112063,-0.557817,-0.268187,0.0237932,0.171105,0.317976,0.791783
1,-0.104935,-0.228563,0.0200265,0.0808029,-0.378577,-0.1961,-0.0134746,0.0781346,0.17004,0.572646
1.173,-0.0347096,0.125991,-0.19091,-0.13052,-0.222266,-0.0972769,0.0278577,0.0905702,0.153283,0.277982
1.33,0.0118286,0.145562,-0.116469,0.0124007,0.0668951,0.0295643,-0.00647926,-0.0239289,-0.0420937,-0.0772791
1.5,0.0101405,0.0916062,-0.0667677,0.066255,0.0807821,0.0337826,-0.0133592,-0.0367165,-0.0599314,-0.105792
2,0.00977055,0.0944206,-0.0564895,0.0690116,0.0888054,0.0363027,-0.0156385,-0.0418898,-0.0668778,-0.117415
2.51,0.00936853,0.0683197,-0.046123,0.0674894,0.0781449,0.0327552,-0.0129111,-0.0361595,-0.0581624,-0.102722
3,0.012973,0.0596869,-0.046618,0.0613308,0.0843452,0.0366724,-0.0115483,-0.0348367,-0.0579882,-0.104017
4,-0.000957171,0.0188603,-0.00985482,0.0837053,0.034903,0.0109064,-0.0138992,-0.0254931,-0.037087,-0.0610837
5,-0.0099818,-0.0171976,0.016476,0.0998581,0.00338072,-0.00557217,-0.0143914,-0.0186674,-0.0228098,-0.0310946
6,-0.013538,-0.0395827,0.0283716,0.104787,-0.0108938,-0.0127447,-0.0131413,-0.0139346,-0.0145956,-0.0147278
7,,,,,,,,,,
8,,,,,,,,,,
9,,,,,,,,,,
10,,,,,,,,,,
11,,,,,,,,,,
12,,,,,,,,,,
13,,,,,,,,,,
14,,,,,,,,,,
15,,,,,,,,,,
