Energy_MeV,primary_only,with_buildup
0.015,1890.1,1955.1
0.02,299.26,319.29
0.03,77.911,82.831
0.04,46.073,42.784
0.05,35.676,27.832
0.06,30.869,20.136
0.08,27.251,12.738
0.1,25.203,9.8551
0.15,21.956,5.493
0.2,19.805,4.4805
0.3,16.927,4.0359
0.356,15.772,3.8628
0.4,15.013,3.7804
0.5,13.62,3.6874
0.511,13.487,3.6667
0.6,12.527,3.5271
0.662,11.959,3.5201
0.8,10.924,3.5353
1,9.7731,3.2225
1.173,8.9859,3.4255
1.33,8.4091,3.3407
1.5,7.8831,3.2577
2,6.7476,3.0901
2.51,5.9486,2.8854
