Energy_MeV,primary_only,with_buildup
0.015,521.61,568.65
0.02,108.89,133.57
0.03,21.731,39.033
0.04,8.4588,23.597
0.05,5.1208,17.231
0.06,3.6241,13.777
0.08,2.4844,10.149
0.1,2.9013,8.2464
0.15,2.996,5.3801
0.2,2.8478,4.4137
0.3,2.5295,3.1754
0.356,2.3819,2.7503
0.4,2.2816,2.4637
0.5,2.0875,2.0158
0.511,2.0712,1.982
0.6,1.9324,1.7356
0.662,1.853,1.5938
0.8,1.6962,1.3572
1,1.5255,0.9548
1.173,1.4119,0.50141
1.33,1.3206,0.26231
1.5,1.2376,0.19754
2,1.0373,0.2121
2.51,0.89801,0.18104
3,0.777,0.18861
4,0.60784,0.14495
5,0.48316,0.13104
6,0.38875,0.14455
