Energy_MeV,Geant4_spread,Geant4_noise_band_16pct,Geant4_noise_band_84pct,XCOM_spread
0.01,8.37971,8.2073,8.76133,8.36154
0.015,7.16438,7.02776,7.29998,7.40603
0.02,5.71292,5.57185,5.85936,5.86818
0.03,3.14503,2.98636,3.32146,3.08134
0.04,1.75903,1.61402,1.95767,1.68691
0.05,1.1758,1.0921,1.44051,1.19183
0.06,0.709372,0.749748,1.05243,0.922404
0.08,0.955965,0.872345,1.21405,0.703035
0.1,1.10296,0.98862,1.38662,0.877947
0.15,1.10169,1.0006,1.39933,1.02438
0.2,1.20679,1.09981,1.52369,1.06923
0.3,0.828259,0.780527,1.17015,1.09772
0.356,1.22876,1.12867,1.60847,1.10412
0.4,0.859922,0.882134,1.28086,1.10786
0.5,1.24185,1.10787,1.59944,1.11155
0.511,0.971519,0.926835,1.37796,1.11313
0.6,1.20656,1.17713,1.64365,1.11374
0.662,0.970802,1.0163,1.4557,1.11582
0.8,0.902507,0.975997,1.42689,1.11456
1,1.19469,1.18114,1.71799,1.11589
1.173,1.42641,1.29358,1.86382,1.11845
1.33,1.47907,1.33764,1.95603,1.11639
1.5,1.47596,1.49386,2.05171,1.11391
2,1.30644,1.20081,1.83367,1.089
2.51,1.04008,1.07668,1.69724,1.06749
3,2.29649,2.02561,2.81626,1.01807
4,1.25193,1.22216,1.95408,0.931162
5,0.94922,1.1403,1.8262,0.832757
6,1.34856,1.33971,2.13085,0.734793
7,1.50562,1.47362,2.27173,0.636189
8,0.624134,1.03055,1.7617,0.541759
9,1.05986,1.34748,2.11617,0.451333
10,1.16367,1.37412,2.16086,0.394975
11,1.26539,1.48147,2.35267,0.399803
12,1.65844,1.58365,2.54888,0.407539
13,1.1614,1.38166,2.22273,0.413678
14,1.44367,1.52971,2.44024,0.418253
15,1.12823,1.40426,2.26175,0.482086
