Energy_MeV,Oxygen_Geant4,Sulfur_Geant4,Hydrogen_Geant4,Oxygen_XCOM,Sulfur_XCOM,Hydrogen_XCOM
0.01,-0.183893,0.510771,-0.649004,-0.12615,0.460329,-0.691973
0.015,-0.272517,0.587354,-0.585215,-0.257073,0.574431,-0.595444
0.02,-0.351572,0.652081,-0.514005,-0.335636,0.6398,-0.529073
0.03,-0.500356,0.766458,-0.374646,-0.469386,0.744851,-0.396477
0.04,-0.594779,0.829089,-0.23467,-0.648092,0.868556,-0.174954
0.05,-0.835272,0.864115,0.40272,-0.858885,0.966452,0.201053
0.06,-0.918258,0.848049,0.49658,-0.94915,0.903098,0.609844
0.08,-0.598897,0.439214,0.797382,-0.801783,0.584031,0.934927
0.1,-0.708567,0.512518,0.774266,-0.686831,0.4214,0.986186
0.15,-0.578049,0.273018,0.964484,-0.59957,0.308446,0.999172
0.2,-0.464988,0.152587,0.933496,-0.579478,0.283209,0.99989
0.3,-0.46237,0.246561,0.783031,-0.571836,0.273286,0.999979
0.356,-0.401731,0.097289,0.871669,-0.571675,0.272921,0.999985
0.4,-0.622782,0.350335,0.916939,-0.569675,0.270507,0.999976
0.5,-0.558019,0.317987,0.867715,-0.564983,0.264808,0.999931
0.511,-0.360677,0.0604511,0.876303,-0.565069,0.264922,0.999932
0.6,-0.642776,0.381384,0.892225,-0.566758,0.266869,0.999953
0.662,-0.646509,0.432623,0.840346,-0.568955,0.269472,0.999974
0.8,-0.517114,0.279426,0.872455,-0.563641,0.263252,0.99991
1,-0.364167,0.081644,0.809364,-0.559821,0.258732,0.999839
1.173,-0.605685,0.439674,0.752233,-0.569217,0.269768,0.999976
1.33,-0.460583,0.155448,0.920064,-0.561767,0.260916,0.999878
1.5,-0.496761,0.220049,0.8958,-0.562377,0.261736,0.999889
2,-0.389891,0.214645,0.62968,-0.552348,0.250679,0.999624
2.51,-0.111218,0.00684469,0.379604,-0.552762,0.251402,0.999625
3,-0.248237,-0.0621917,0.790149,-0.530345,0.226294,0.998524
4,0.333178,-0.547468,0.345022,-0.49184,0.185268,0.994765
5,0.0401286,-0.162209,0.322566,-0.434887,0.125257,0.985604
6,-0.150387,0.240306,-0.101221,-0.359842,0.0480343,0.967674
7,0.0394092,-0.203861,0.4784,-0.242682,-0.0688521,0.928186
8,0.832144,-0.714154,-0.579059,-0.0909724,-0.2103,0.855857
9,-0.469136,0.391306,0.380061,0.118249,-0.39707,0.725796
10,-0.125627,-0.0910389,0.515294,0.368133,-0.598103,0.515805
11,-0.218714,0.267841,-0.186776,0.595147,-0.760809,0.266871
12,0.22782,-0.213972,-0.124159,0.773834,-0.86466,0.00520667
13,0.392169,-0.595128,0.343495,0.873265,-0.900412,-0.198002
14,0.427283,-0.326295,-0.406621,0.932025,-0.905911,-0.364189
15,0.145715,-0.0295571,-0.138952,0.956185,-0.894127,-0.471531
