Energy_MeV,Mix1,Mix2,Mix3,Mix4,Mix5,Mix6,Mix7,Mix8,Mix9,Mix10
0.015,1.99922,2.07198,1.93143,1.92514,1.97977,1.99267,2.00585,2.01254,2.01931,2.03307
0.02,4.23574,4.54818,3.95159,3.93107,4.12715,4.19898,4.27306,4.31097,4.34947,4.42831
0.03,21.9859,25.2199,19.9125,19.6978,20.5476,21.4791,22.5052,23.0374,23.5827,24.7137
0.04,105.862,126.846,97.2234,95.8922,99.8682,102.454,109.806,113.884,118.099,126.953
0.05,326.53,387.556,305.546,300.758,312.65,321.861,338.457,351.933,365.894,395.319
0.06,660.902,761.709,620.535,610.525,632.211,651.254,674.789,701.144,728.444,785.99
0.08,1222.71,1356.05,1155.54,1136.94,1170.11,1205.02,1240.54,1273.48,1319.12,1415.06
0.1,1420.73,1552.78,1345.1,1322.9,1357.63,1399.4,1442.37,1468.93,1522.32,1633.86
0.15,1155.26,1215.93,1113.37,1099.26,1116.93,1142.47,1168.06,1180.87,1207.44,1281.8
0.2,783.657,813.906,759.737,751.177,760.515,775.927,791.4,799.154,812.689,854.465
0.3,395.444,404.971,386.205,382.727,386.035,392.292,398.61,401.791,405.757,422.906
0.356,292.585,298.556,286.614,284.316,286.388,290.51,294.67,296.764,299.097,310.444
0.4,234.707,238.916,230.492,228.847,230.28,233.225,236.195,237.689,239.241,247.469
0.5,157.359,159.657,155.061,154.148,154.905,156.538,158.185,159.014,159.847,164.506
0.511,151.74,153.907,149.571,148.708,149.421,150.964,152.52,153.302,154.089,158.486
0.6,114.425,115.775,113.069,112.523,112.964,113.936,114.915,115.407,115.9,118.537
0.662,98.181,99.2746,97.0867,96.6415,96.9869,97.7812,98.5826,98.986,99.3911,101.356
0.8,71.3121,71.9337,70.6925,70.4417,70.6379,71.0861,71.5394,71.7681,71.9981,73.0901
1,50.5206,50.8573,50.183,50.0455,50.1526,50.3975,50.6442,50.7682,50.8926,51.4984
1.173,43.6591,44.292,43.0319,42.9549,43.5395,43.6191,43.6991,43.7393,43.7796,43.8604
1.33,37.6023,38.0565,37.1524,37.1831,37.794,37.6661,37.5386,37.4749,37.4113,37.2844
1.5,30.7878,31.0599,30.5183,30.547,30.9369,30.8374,30.7384,30.689,30.6397,30.5415
2,21.8479,22.0368,21.6615,21.6845,21.962,21.8858,21.8101,21.7725,21.7349,21.6603
2.51,17.1964,17.3052,17.0914,17.1044,17.2614,17.2179,17.1749,17.1534,17.1321,17.0896
3,13.9381,13.9927,13.8895,13.8957,13.9685,13.9481,13.928,13.918,13.908,13.8882
4,10.5434,10.565,10.5268,10.5289,10.5537,10.5468,10.5399,10.5365,10.5331,10.5262
5,8.62033,8.62616,8.62023,8.62025,8.62033,8.62033,8.62032,8.6203,8.62028,8.62022
6,7.52744,7.52892,7.5262,7.52639,7.52801,7.52765,7.52722,7.52698,7.52672,7.52615
7,6.69525,6.69333,6.69994,6.69936,6.69237,6.69424,6.69625,6.69723,6.6982,6.70011
8,6.01881,6.0147,6.02668,6.0257,6.01408,6.01713,6.02047,6.02211,6.02374,6.02695
9,5.54649,5.54146,5.55547,5.55433,5.54112,5.54459,5.54837,5.55025,5.55211,5.5558
10,5.13307,5.12743,5.14366,5.14235,5.12696,5.13081,5.13531,5.13752,5.13971,5.14402
11,4.85045,4.84533,4.85893,4.85788,4.84551,4.84866,4.85223,4.854,4.85575,4.85922
12,4.59588,4.59119,4.60286,4.60199,4.59182,4.59442,4.59734,4.59879,4.60024,4.6031
13,4.36462,4.36023,4.3705,4.36976,4.36116,4.36339,4.36585,4.36707,4.36829,4.37071
14,4.15302,4.14884,4.15811,4.15747,4.14996,4.15195,4.15409,4.15515,4.1562,4.15831
15,3.95817,3.95416,3.96268,3.96211,3.95541,3.95722,3.95911,3.96004,3.96098,3.96283
