Energy_MeV,H,N,O,S
0.01,1.62,13.12,36.73,48.54
0.015,1.19,12.63,35.68,50.51
0.02,0.48,12.45,35.30,51.77
0.03,2.25,12.02,34.15,51.59
0.04,6.98,11.42,32.41,49.19
0.05,13.60,10.66,30.22,45.51
0.06,21.51,9.80,27.72,40.97
0.08,38.26,7.97,22.30,31.47
0.1,52.78,6.28,17.60,23.33
0.15,74.59,3.84,10.20,11.38
0.2,84.66,2.45,6.53,6.36
0.3,92.29,1.44,3.56,2.71
0.356,93.96,1.30,2.84,1.90
0.4,94.93,1.09,2.48,1.50
0.5,96.55,0.46,2.06,0.93
0.511,96.63,0.45,2.03,0.90
0.6,96.91,0.63,1.79,0.67
0.662,97.07,0.81,1.58,0.54
0.8,96.93,0.75,1.93,0.39
1,97.38,0.43,1.97,0.22
1.173,97.85,0.83,1.24,0.09
1.33,97.83,0.34,1.63,0.20
1.5,97.99,0.12,1.55,0.34
2,92.31,1.66,4.56,1.47
2.51,89.33,1.86,5.76,3.06
3,80.76,4.33,10.34,4.58
4,68.83,6.98,16.54,7.65
5,58.79,9.14,21.78,10.29
6,50.33,11.06,26.13,12.48
7,43.46,12.59,29.72,14.23
8,37.88,13.88,32.56,15.68
9,33.25,14.86,35.02,16.87
10,29.38,15.73,37.04,17.85
11,26.20,16.46,38.64,18.70
12,23.47,17.00,40.12,19.41
13,21.08,17.63,41.30,19.99
14,19.06,18.05,42.36,20.53
15,17.26,18.45,43.32,20.97
