Energy_MeV,H,N,O,S
0.01,-0.503017,0.381181,0.905977,12.0854
0.015,-0.337014,0.335329,0.804109,11.4896
0.02,-0.112313,0.272535,0.655881,9.70953
0.03,0.311342,0.155788,0.375781,5.73054
0.04,0.568668,0.0869109,0.209373,3.20836
0.05,0.703929,0.051568,0.12411,1.88644
0.06,0.777313,0.0331046,0.0794914,1.18575
0.08,0.845628,0.0164754,0.0391027,0.557044
0.1,0.874541,0.00973215,0.0231432,0.309619
0.15,0.900678,0.00433456,0.00976902,0.11002
0.2,0.908598,0.00245832,0.00556017,0.0546978
0.3,0.914279,0.0013322,0.00279799,0.0215043
0.356,0.915846,0.00118047,0.00219347,0.0148714
0.4,0.916573,0.000984069,0.00190002,0.0115892
0.5,0.917261,0.000410647,0.00155001,0.00710611
0.511,0.917333,0.000396087,0.00152705,0.00680735
0.6,0.917957,0.000559773,0.00134247,0.0050841
0.662,0.918275,0.000712095,0.00118667,0.00412359
0.8,0.918855,0.000661308,0.00145313,0.00297638
1,0.919111,0.000376845,0.00147341,0.00167385
1.173,0.918712,0.000726572,0.000922418,0.00067065
1.33,0.918174,0.000295212,0.00121426,0.00153337
1.5,0.91659,0.000105694,0.00114867,0.00255672
2,0.908285,0.00152622,0.0035626,0.01157
2.51,0.895183,0.00174205,0.00457766,0.0245462
3,0.879127,0.00440785,0.00892948,0.0399038
4,0.843841,0.00799784,0.0160947,0.07516
5,0.805269,0.0117034,0.0236706,0.112913
6,0.765494,0.0157285,0.0315306,0.152016
7,0.726064,0.0196691,0.0394083,0.190443
8,0.687558,0.0235636,0.0469055,0.22797
9,0.650206,0.0271615,0.0543431,0.264198
10,0.614467,0.0307698,0.0614856,0.299013
11,0.580335,0.0340825,0.0679185,0.331688
12,0.547845,0.0371053,0.0743227,0.362969
13,0.517133,0.0404329,0.0803933,0.392794
14,0.487505,0.0431792,0.0859789,0.420667
15,0.45969,0.0459516,0.0915436,0.447355
