Energy_MeV,C,H,N,O,S
0.01,30.4263,0.709043,7.15721,51.1367,10.5707
0.015,31.9876,2.1398,7.0476,48.725,10.1
0.02,34.6926,4.16135,6.97904,45.5059,8.66115
0.03,40.0601,8.01121,6.90029,39.5945,5.4339
0.04,43.2933,10.3457,6.86339,36.1122,3.38544
0.05,44.95,11.5667,6.84413,34.328,2.31118
0.06,45.811,12.2237,6.83342,33.3904,1.74149
0.08,46.5808,12.8307,6.82296,32.5352,1.23027
0.1,46.8781,13.0836,6.81659,32.1927,1.02899
0.15,47.1161,13.3077,6.81147,31.8981,0.866589
0.2,47.1896,13.3758,6.80837,31.8045,0.8217
0.3,47.2343,13.4236,6.8066,31.7407,0.794777
0.356,47.2423,13.4361,6.80664,31.7256,0.789382
0.4,47.2468,13.442,6.80586,31.7186,0.786721
0.5,47.2543,13.4481,6.80275,31.7118,0.783108
0.511,47.2546,13.4487,6.80269,31.7112,0.782864
0.6,47.2556,13.4533,6.80403,31.7056,0.781445
0.662,47.2569,13.4559,6.80533,31.7012,0.780667
0.8,47.2509,13.4592,6.80409,31.7062,0.779611
1,47.2512,13.4611,6.80206,31.7071,0.778531
1.173,47.2613,13.4597,6.80606,31.6951,0.777861
1.33,47.2595,13.4555,6.80266,31.7038,0.77855
1.5,47.2667,13.445,6.80232,31.7065,0.779522
2,47.2467,13.3818,6.8098,31.775,0.786704
2.51,47.2712,13.29,6.8149,31.8259,0.797919
3,47.2392,13.1687,6.82973,31.9521,0.810189
4,47.2178,12.9092,6.85282,32.181,0.839215
5,47.2,12.6262,6.87726,32.4262,0.870379
6,47.1799,12.3342,6.90372,32.6796,0.902633
7,47.1589,12.0445,6.92942,32.9329,0.934306
8,47.1415,11.7621,6.95532,33.1757,0.965291
9,47.1226,11.4879,6.97883,33.4155,0.995167
10,47.1034,11.2253,7.00237,33.6451,1.02386
11,47.0924,10.9756,7.02494,33.8561,1.05091
12,47.0776,10.7373,7.04484,34.0635,1.07673
13,47.0614,10.5117,7.06678,34.2587,1.10131
14,47.0526,10.2951,7.08553,34.4424,1.1244
15,47.0378,10.0908,7.10361,34.6214,1.14639
