variant,variant_label,Energy_MeV,XCOM_mixture_rule_change_percent_(x),Geant4_change_percent_(y),Geant4_1sigma_percent_(y_error)
dO,+5 wt% O,0.01,4.5299,4.8316,0.30452
dO,+5 wt% O,0.02,3.2794,3.233,0.13991
dO,+5 wt% O,0.03,1.8789,1.6413,0.17177
dO,+5 wt% O,0.05,0.62053,0.59481,0.20308
dO,+5 wt% O,0.1,0.1157,-0.057101,0.22557
dO,+5 wt% O,0.3,0.013997,-0.014898,0.2651
dO,+5 wt% O,1,0.0073731,0.066818,0.33801
dO,+5 wt% O,10,0.30742,-0.13769,0.59674
dN,+5 wt% N,0.01,1.9059,2.3533,0.29084
dN,+5 wt% N,0.02,1.3627,1.1696,0.13744
dN,+5 wt% N,0.03,0.77893,0.70649,0.17048
dN,+5 wt% N,0.05,0.25782,0.52241,0.20297
dN,+5 wt% N,0.1,0.048654,-0.35221,0.22505
dN,+5 wt% N,0.3,0.0066695,0.10663,0.26535
dN,+5 wt% N,1,0.0018897,0.0086335,0.33786
dN,+5 wt% N,10,0.15384,-0.005632,0.59734
dS,+1.5 wt% S,0.01,18.128,18.245,0.3952
dS,+1.5 wt% S,0.02,14.564,14.637,0.15359
dS,+1.5 wt% S,0.03,8.5958,8.6753,0.18141
dS,+1.5 wt% S,0.05,2.8296,2.5985,0.20627
dS,+1.5 wt% S,0.1,0.46442,0.77142,0.22702
dS,+1.5 wt% S,0.3,0.03226,0.39003,0.26592
dS,+1.5 wt% S,1,0.0025232,-0.13626,0.33749
dS,+1.5 wt% S,10,0.44851,0.14332,0.59801
dH,+1.5 wt% H,0.01,-0.75453,-0.27881,0.27711
dH,+1.5 wt% H,0.02,-0.16847,-0.28733,0.13571
dH,+1.5 wt% H,0.03,0.46701,0.40117,0.17007
dH,+1.5 wt% H,0.05,1.0559,1.0156,0.20375
dH,+1.5 wt% H,0.1,1.3118,1.1264,0.22765
dH,+1.5 wt% H,0.3,1.3714,1.1881,0.26755
dH,+1.5 wt% H,1,1.3787,1.4672,0.34161
dH,+1.5 wt% H,10,0.92169,0.37947,0.59907
dALL,all four,0.01,23.809,23.906,0.44401
dALL,all four,0.02,19.038,18.912,0.15876
dALL,all four,0.03,11.721,11.668,0.18551
dALL,all four,0.05,4.7639,4.7436,0.20967
dALL,all four,0.1,1.9406,2.107,0.22937
dALL,all four,0.3,1.4243,1.5004,0.26819
dALL,all four,1,1.3904,1.655,0.34209
dALL,all four,10,1.8315,2.0504,0.60658
