Energy_MeV,r_ten_mixture_library,r_decorrelated_ensemble
0.01,-0.1261,0.3983
0.015,-0.2571,0.3714
0.02,-0.3356,0.3571
0.03,-0.4694,0.3420
0.04,-0.6481,0.3305
0.05,-0.8590,0.3134
0.06,-0.9491,0.2837
0.08,-0.8018,0.1857
0.1,-0.6870,0.0990
0.15,-0.5996,-0.0018
0.2,-0.5799,-0.0344
0.3,-0.5717,-0.0570
0.356,-0.5715,-0.0630
0.4,-0.5702,-0.0646
0.5,-0.5649,-0.0631
0.511,-0.5648,-0.0632
0.6,-0.5670,-0.0672
0.662,-0.5695,-0.0707
0.8,-0.5642,-0.0664
1,-0.5599,-0.0631
1.173,-0.5696,-0.0740
1.33,-0.5625,-0.0658
1.5,-0.5627,-0.0650
2,-0.5519,-0.0469
2.51,-0.5535,-0.0361
3,-0.5317,-0.0026
4,-0.4918,0.0635
5,-0.4355,0.1389
6,-0.3584,0.2177
7,-0.2450,0.2977
8,-0.0962,0.3698
9,0.1182,0.4386
10,0.3669,0.4966
11,0.5928,0.5425
12,0.7723,0.5839
13,0.8756,0.6143
14,0.9293,0.6405
15,0.9543,0.6623
