Energy_MeV,r_ten_mixture_library,r_decorrelated_ensemble
0.01,0.4603,0.8617
0.015,0.5744,0.8773
0.02,0.6398,0.8853
0.03,0.7449,0.8926
0.04,0.8686,0.8905
0.05,0.9665,0.8690
0.06,0.9031,0.8128
0.08,0.5840,0.6026
0.1,0.4216,0.3949
0.15,0.3085,0.1599
0.2,0.2836,0.0895
0.3,0.2731,0.0475
0.356,0.2727,0.0392
0.4,0.2711,0.0351
0.5,0.2648,0.0294
0.511,0.2646,0.0290
0.6,0.2671,0.0269
0.662,0.2701,0.0258
0.8,0.2639,0.0239
1,0.2588,0.0221
1.173,0.2701,0.0215
1.33,0.2618,0.0222
1.5,0.2621,0.0237
2,0.2501,0.0330
2.51,0.2523,0.0499
3,0.2282,0.0664
4,0.1851,0.1098
5,0.1256,0.1586
6,0.0466,0.2103
7,-0.0658,0.2599
8,-0.2059,0.3062
9,-0.3961,0.3462
10,-0.5976,0.3800
11,-0.7580,0.4085
12,-0.8630,0.4301
13,-0.9011,0.4483
14,-0.9045,0.4621
15,-0.8916,0.4722
