Energy_MeV,r_ten_mixture_library,r_decorrelated_ensemble
0.01,-0.6920,-0.0632
0.015,-0.5954,-0.0513
0.02,-0.5291,-0.0364
0.03,-0.3964,0.0151
0.04,-0.1749,0.1086
0.05,0.2012,0.2500
0.06,0.6096,0.4265
0.08,0.9349,0.7453
0.1,0.9862,0.9011
0.15,0.9992,0.9858
0.2,0.9999,0.9962
0.3,1.0000,0.9993
0.356,1.0000,0.9997
0.4,1.0000,0.9998
0.5,0.9999,0.9998
0.511,0.9999,0.9998
0.6,1.0000,0.9999
0.662,1.0000,0.9999
0.8,0.9999,0.9999
1,0.9998,0.9999
1.173,1.0000,1.0000
1.33,0.9999,0.9999
1.5,0.9999,0.9999
2,0.9996,0.9993
2.51,0.9997,0.9985
3,0.9986,0.9953
4,0.9948,0.9831
5,0.9858,0.9600
6,0.9673,0.9243
7,0.9286,0.8760
8,0.8589,0.8193
9,0.7251,0.7544
10,0.5175,0.6875
11,0.2682,0.6234
12,0.0064,0.5597
13,-0.2034,0.5019
14,-0.3583,0.4482
15,-0.4705,0.3987
