Energy_MeV,Mix1,Mix2,Mix3,Mix4,Mix5,Mix6,Mix7,Mix8,Mix9,Mix10
0.01,3.945382,3.787054,4.10371,4.103287,3.987466,3.95941,3.931354,3.917326,3.903298,3.875243
0.015,1.278328,1.233549,1.323108,1.324906,1.296051,1.284236,1.272421,1.266513,1.260606,1.248791
0.02,0.645581,0.627673,0.66349,0.664506,0.65431,0.648491,0.642672,0.639762,0.636853,0.631033
0.03,0.324216,0.319675,0.328756,0.328914,0.327296,0.325242,0.323189,0.322162,0.321135,0.319082
0.04,0.243214,0.241798,0.244631,0.244501,0.244737,0.243722,0.242707,0.242199,0.241692,0.240677
0.05,0.211071,0.210729,0.211412,0.211172,0.212007,0.211383,0.210758,0.210446,0.210134,0.20951
0.06,0.194087,0.194203,0.19397,0.193684,0.194754,0.194309,0.193864,0.193641,0.193419,0.192974
0.08,0.175298,0.175756,0.17484,0.174529,0.17575,0.175448,0.175147,0.174996,0.174846,0.174545
0.1,0.16375,0.16431,0.163191,0.16288,0.164117,0.163873,0.163628,0.163506,0.163384,0.16314
0.15,0.144968,0.145563,0.144374,0.144087,0.14526,0.145066,0.144871,0.144774,0.144676,0.144482
0.2,0.132143,0.132713,0.131573,0.131309,0.132404,0.13223,0.132056,0.131969,0.131882,0.131708
0.3,0.114519,0.11503,0.114009,0.113781,0.114745,0.114595,0.114444,0.114368,0.114293,0.114142
0.356,0.107296,0.107778,0.106814,0.106601,0.107509,0.107367,0.107225,0.107154,0.107083,0.106941
0.4,0.102484,0.102946,0.102022,0.101818,0.102687,0.102552,0.102416,0.102349,0.102281,0.102146
0.5,0.093543,0.093966,0.093119,0.092933,0.093726,0.093604,0.093482,0.093421,0.09336,0.093237
0.511,0.092688,0.093108,0.092268,0.092083,0.09287,0.092748,0.092627,0.092567,0.092506,0.092385
0.6,0.086492,0.086884,0.086099,0.085927,0.086662,0.086548,0.086435,0.086378,0.086321,0.086207
0.662,0.082812,0.083189,0.082436,0.082271,0.082977,0.082867,0.082757,0.082702,0.082648,0.082538
0.8,0.075953,0.076297,0.075608,0.075456,0.076101,0.076002,0.075903,0.075853,0.075804,0.075705
1,0.068285,0.068595,0.067975,0.067838,0.068418,0.068329,0.068241,0.068197,0.068153,0.068065
1.173,0.063089,0.063377,0.062802,0.062676,0.063215,0.063131,0.063047,0.063005,0.062963,0.06288
1.33,0.059148,0.059417,0.058879,0.058761,0.059263,0.059187,0.05911,0.059071,0.059033,0.058956
1.5,0.055574,0.055826,0.055322,0.055211,0.055683,0.05561,0.055538,0.055502,0.055466,0.055394
2,0.04769,0.047899,0.04748,0.047383,0.047778,0.047719,0.04766,0.047631,0.047601,0.047542
2.51,0.04214,0.042321,0.041959,0.041874,0.042217,0.042165,0.042114,0.042089,0.042063,0.042012
3,0.038245,0.0384,0.038091,0.038013,0.038308,0.038266,0.038225,0.038204,0.038183,0.038141
4,0.032726,0.032843,0.03261,0.03254,0.032771,0.032741,0.032712,0.032697,0.032682,0.032653
5,0.029093,0.029181,0.029004,0.02894,0.029123,0.029103,0.029083,0.029073,0.029063,0.029043
6,0.026529,0.026596,0.026462,0.026402,0.026547,0.026535,0.026522,0.026516,0.02651,0.026497
7,0.024627,0.024677,0.024578,0.024521,0.024636,0.02463,0.024624,0.024621,0.024618,0.024612
8,0.023163,0.023198,0.023129,0.023073,0.023165,0.023164,0.023163,0.023162,0.023162,0.023161
9,0.022012,0.022034,0.021989,0.021935,0.022006,0.02201,0.022013,0.022015,0.022017,0.022021
10,0.021078,0.021089,0.021067,0.021014,0.021067,0.021074,0.021082,0.021086,0.02109,0.021097
11,0.020314,0.020316,0.020312,0.02026,0.020297,0.020308,0.020319,0.020325,0.02033,0.020341
12,0.019675,0.019668,0.019681,0.01963,0.019653,0.019668,0.019682,0.019689,0.019696,0.01971
13,0.019134,0.01912,0.019148,0.019097,0.019109,0.019126,0.019143,0.019151,0.01916,0.019176
14,0.018678,0.018657,0.018699,0.018649,0.018649,0.018669,0.018688,0.018698,0.018708,0.018727
15,0.018287,0.01826,0.018314,0.018264,0.018254,0.018276,0.018298,0.018309,0.01832,0.018342
