Energy_MeV,Mix1,Mix2,Mix3,Mix4,Mix5,Mix6,Mix7,Mix8,Mix9,Mix10
0.01,3.9121082,3.7635264,4.0788992,4.0770944,3.961335,3.9397574,3.8975269,3.8904645,3.8750893,3.8238327
0.015,1.2766037,1.2334394,1.3184961,1.3218077,1.2943364,1.2823009,1.2716918,1.2640794,1.2584678,1.2476083
0.02,0.64856565,0.63216453,0.66703394,0.66827961,0.65972775,0.65158439,0.64771808,0.64386264,0.64052984,0.63533703
0.03,0.32497469,0.3211815,0.32946935,0.33017699,0.32872758,0.3257199,0.32452138,0.32266324,0.32235715,0.32010947
0.04,0.24289681,0.24169416,0.24463454,0.24422645,0.24390419,0.24318315,0.24237775,0.24192309,0.24127561,0.24040572
0.05,0.21003066,0.21014356,0.21046365,0.20976084,0.21073796,0.21064608,0.2103993,0.20943441,0.20939998,0.2082889
0.06,0.19302837,0.19342873,0.19253604,0.19320503,0.19348438,0.19319704,0.19283447,0.19225031,0.19212153,0.19226794
0.08,0.17447334,0.17463476,0.17423897,0.17340653,0.17506424,0.17478024,0.17451506,0.17465846,0.17380815,0.173867
0.1,0.16303384,0.16378602,0.16252223,0.16243182,0.16321234,0.16335874,0.16268906,0.16199925,0.16294036,0.16216171
0.15,0.14452392,0.14504371,0.14346319,0.14364949,0.14470686,0.14452769,0.14441623,0.14432256,0.14416558,0.14389432
0.2,0.13170549,0.1325558,0.1309752,0.13107514,0.13211386,0.13222333,0.13180611,0.13168106,0.13191171,0.13151268
0.3,0.11405156,0.11426405,0.11376953,0.11365128,0.11459261,0.11430041,0.1138895,0.11396374,0.1140378,0.11413882
0.356,0.10633738,0.10740164,0.10613397,0.10609794,0.10697761,0.10677377,0.10650011,0.10655688,0.10645847,0.10669197
0.4,0.10226009,0.10271644,0.10184069,0.10193385,0.10256326,0.10248416,0.10246745,0.1024355,0.10217043,0.10193644
0.5,0.093197416,0.093946645,0.093201462,0.092794278,0.093398649,0.093703804,0.093405703,0.093283919,0.092988766,0.093033033
0.511,0.092282645,0.09288081,0.092075198,0.091987137,0.092470928,0.092748562,0.092377041,0.092532117,0.092430722,0.092281497
0.6,0.086216126,0.086785559,0.085750922,0.08583756,0.086593538,0.086336722,0.086593651,0.086071541,0.085897309,0.085966291
0.662,0.082598717,0.082942265,0.082359771,0.082204718,0.083002764,0.082549774,0.082873417,0.082320827,0.082371828,0.08236916
0.8,0.076014873,0.076090957,0.075626337,0.075410373,0.076051256,0.075858422,0.075800163,0.07606398,0.075740508,0.075542313
1,0.067957639,0.068363597,0.067567168,0.067556504,0.06801206,0.067806662,0.067992256,0.068165476,0.067578455,0.067819424
1.173,0.062906142,0.063134951,0.062805472,0.062503757,0.063395318,0.062890769,0.062592893,0.062825681,0.062683413,0.062794369
1.33,0.059137996,0.059439234,0.058629915,0.0585729,0.05895204,0.059127097,0.059029596,0.058807183,0.058856983,0.058807118
1.5,0.055478524,0.055777241,0.054993646,0.054965967,0.055504499,0.055570386,0.055682238,0.055456076,0.055395869,0.055031922
2,0.047453462,0.047474418,0.047202423,0.047245089,0.047819096,0.047370495,0.047486627,0.047385583,0.047584458,0.047375678
2.51,0.041957007,0.042004551,0.041942266,0.04186547,0.042080401,0.042237032,0.041935171,0.042300905,0.042037188,0.04196587
3,0.038042219,0.03842616,0.037563519,0.037751535,0.038241841,0.037902504,0.038224643,0.038229768,0.038049487,0.038013858
4,0.032587266,0.032778249,0.032551059,0.032421352,0.032497566,0.032372963,0.032557069,0.032682564,0.03266692,0.032632535
5,0.028988277,0.029125886,0.029060417,0.028929134,0.029022433,0.02892824,0.029202833,0.029039857,0.028938993,0.029054439
6,0.02652268,0.026383167,0.026492948,0.026450475,0.026409624,0.026433265,0.026491969,0.026223382,0.02657702,0.026298683
7,0.02457078,0.024589043,0.02450785,0.024292795,0.024390728,0.024560799,0.024476822,0.024461316,0.024658553,0.024401396
8,0.023151401,0.023042307,0.023144828,0.023105695,0.02307297,0.023065534,0.023133021,0.023186122,0.02314854,0.023179778
9,0.021911622,0.022011782,0.021923284,0.021904879,0.022010191,0.02178298,0.022013849,0.02183287,0.021890046,0.021836656
10,0.020956293,0.021085933,0.020893016,0.020963557,0.021136142,0.021041621,0.020981074,0.020973505,0.021034476,0.021126555
11,0.020328207,0.020212464,0.020136011,0.02039081,0.02014455,0.020301243,0.020291393,0.020140638,0.020168307,0.02019454
12,0.019575,0.019688038,0.019720364,0.019581335,0.019476482,0.019624118,0.019398649,0.019598274,0.019661637,0.019606786
13,0.019084646,0.019088186,0.018992563,0.018962096,0.019062717,0.019110992,0.019105055,0.019023113,0.019168549,0.019182323
14,0.018640753,0.018474415,0.018586939,0.018576345,0.01844312,0.018528084,0.018709378,0.018583468,0.018472687,0.018617174
15,0.018258777,0.018137085,0.018315203,0.018134394,0.018233525,0.018209684,0.018165916,0.018286265,0.01811087,0.018251918
