Energy_MeV,Mix1,Mix2,Mix3,Mix4,Mix5,Mix6,Mix7,Mix8,Mix9,Mix10
0.01,0.0075665801,0.006354248,0.0093253025,0.009077527,0.0074078952,0.0075669299,0.0076314345,0.0077446306,0.0078145384,0.0078506408
0.015,0.0011414131,0.0011014784,0.0011859461,0.0011876482,0.0011564783,0.0011462761,0.0011372482,0.001131018,0.0011262585,0.0011176229
0.02,0.00062637771,0.00062305139,0.00063164764,0.00063456931,0.00063986556,0.0006303669,0.00062401583,0.00061948678,0.0006152278,0.00060789653
0.03,0.0003917683,0.00039672951,0.00038712976,0.00038964178,0.00039966096,0.00039404622,0.0003897035,0.00038661826,0.00038467448,0.00037957076
0.04,0.0003286331,0.00033473835,0.00032278724,0.00032428543,0.00033405906,0.00033040909,0.00032666979,0.00032476521,0.00032268705,0.00031885928
0.05,0.00030197569,0.00030875565,0.00029550076,0.00029664434,0.00030691664,0.00030394656,0.0003008009,0.00029854587,0.00029702679,0.00029314806
0.06,0.00028772307,0.0002945295,0.00028071327,0.00028292032,0.00029233486,0.0002892894,0.00028613434,0.00028422918,0.00028267899,0.00027992593
0.08,0.00027173775,0.00027807097,0.00026521298,0.00026607441,0.00027629879,0.00027336443,0.00027040363,0.00026916577,0.00026705916,0.00026434205
0.1,0.00026160633,0.00026830709,0.00025501558,0.00025647275,0.00026570069,0.00026321571,0.00025997723,0.00025804093,0.00025753992,0.00025416932
0.15,0.00024470402,0.00025090122,0.00023788941,0.0002395329,0.00024859925,0.00024595035,0.0002433387,0.00024199511,0.00024059175,0.00023777579
0.2,0.00023254587,0.000238862,0.00022624915,0.00022774061,0.00023652488,0.00023424047,0.00023144021,0.00023010517,0.00022910539,0.00022626584
0.3,0.00021506121,0.00022041019,0.00020951824,0.00021071322,0.0002189756,0.00021643609,0.00021375929,0.00021270175,0.00021163485,0.00020942516
0.356,0.00020709721,0.00021320065,0.00020179611,0.00020303701,0.00021102472,0.00020864854,0.00020617334,0.00020512707,0.00020391784,0.00020192385
0.4,0.00020278996,0.00020817525,0.0001973622,0.00019871086,0.00020631581,0.00020410972,0.00020194546,0.00020081819,0.00019945992,0.00019703361
0.5,0.00019299324,0.00019850603,0.00018819679,0.00018896297,0.00019627075,0.00019457571,0.00019218874,0.00019101829,0.00018965761,0.00018760634
0.511,0.00019197746,0.00019731403,0.00018698483,0.00018808546,0.00019523468,0.00019352027,0.00019105954,0.00019019972,0.00018904557,0.00018679312
0.6,0.00018516806,0.00019034431,0.0001800258,0.00018128514,0.00018855071,0.00018629274,0.00018460175,0.00018301031,0.00018181535,0.00017986851
0.662,0.0001810126,0.00018584202,0.00017621264,0.00017716987,0.00018437539,0.00018192905,0.00018035456,0.00017873732,0.00017781259,0.00017583015
0.8,0.00017325267,0.00017759484,0.00016843557,0.00016927038,0.00017607607,0.00017399257,0.00017205521,0.00017142924,0.00017010289,0.00016796498
1,0.00016335339,0.00016791014,0.00015873995,0.00015976397,0.00016606231,0.00016404617,0.00016250977,0.00016182841,0.00016020253,0.00015869552
1.173,0.00015689094,0.00016108373,0.00015277708,0.0001533888,0.00016007616,0.00015772317,0.00015562728,0.00015506827,0.00015402331,0.00015241831
1.33,0.00015191713,0.00015610403,0.00014738529,0.00014827589,0.00015413604,0.00015273273,0.00015094216,0.00014981266,0.00014904081,0.00014728544
1.5,0.00014695748,0.00015103966,0.00014254924,0.00014345235,0.0001493855,0.00014788684,0.00014642682,0.00014531026,0.00014441334,0.00014228097
2,0.0001355376,0.00013896758,0.00013169543,0.00013262804,0.00013830252,0.00013615888,0.00013483907,0.00013393705,0.00013347045,0.00013164355
2.51,0.00012720695,0.00013047755,0.00012390169,0.00012460724,0.00012949161,0.0001283433,0.00012646595,0.00012632043,0.00012520147,0.00012365592
3,0.00012096186,0.00012465243,0.00011707031,0.0001181516,0.00012328737,0.00012140154,0.00012058445,0.00011991625,0.00011894447,0.00011751843
4,0.00011174409,0.00011491433,0.0001087829,0.00010928483,0.00011343319,0.00011198681,0.00011106701,0.00011065903,0.00011000146,0.00010867073
5,0.00010526271,0.00010819413,0.0001026525,0.00010310197,0.00010707241,0.00010573544,0.0001050686,0.00010417668,0.00010339736,0.0001024062
6,0.00010060065,0.00010288289,9.7923086e-05,9.8499964e-05,0.00010205097,0.0001009889,9.9978578e-05,9.88995e-05,9.9004842e-05,9.7331407e-05
7,9.6763688e-05,9.9264001e-05,9.4114703e-05,9.4325691e-05,9.8006998e-05,9.7284095e-05,9.6036959e-05,9.5458916e-05,9.5300204e-05,9.3690018e-05
8,9.3882709e-05,9.6043046e-05,9.1415629e-05,9.1952027e-05,9.5281318e-05,9.4227977e-05,9.3317762e-05,9.2895625e-05,9.2287068e-05,9.127367e-05
9,9.1294543e-05,9.3838571e-05,8.8931741e-05,8.9491662e-05,9.302894e-05,9.1531507e-05,9.099686e-05,9.0101888e-05,8.9703164e-05,8.8546839e-05
10,8.9252994e-05,9.1816182e-05,8.6784341e-05,8.7520062e-05,9.1135675e-05,8.9937485e-05,8.8804635e-05,8.8284541e-05,8.7906565e-05,8.7072913e-05
11,8.7887557e-05,8.9869365e-05,8.5174437e-05,8.6298553e-05,8.8944599e-05,8.8319847e-05,8.7314087e-05,8.6487849e-05,8.6050814e-05,8.5102155e-05
12,8.622171e-05,8.8680862e-05,8.4277769e-05,8.4543245e-05,8.743754e-05,8.6814411e-05,8.5344012e-05,8.5298739e-05,8.4946969e-05,8.3836017e-05
13,8.5120225e-05,8.7303068e-05,8.268596e-05,8.3177494e-05,8.6490216e-05,8.5657012e-05,8.4686511e-05,8.4021762e-05,8.3861561e-05,8.2911715e-05
14,8.4112147e-05,8.5870053e-05,8.1787158e-05,8.2315422e-05,8.5057488e-05,8.4323515e-05,8.3794697e-05,8.3032009e-05,8.2304904e-05,8.1664489e-05
15,8.3235019e-05,8.5072856e-05,8.117977e-05,8.1318216e-05,8.4566081e-05,8.358721e-05,8.2553096e-05,8.2357662e-05,8.148431e-05,8.0848463e-05
