Energy_MeV,Mix1,Mix2,Mix3,Mix4,Mix5,Mix6,Mix7,Mix8,Mix9,Mix10
0.01,5.2200633,4.7717747,5.7435691,5.6632225,5.1113946,5.1978556,5.2604194,5.3119808,5.3532723,5.4098305
0.015,1.7034172,1.5638777,1.8565974,1.8360358,1.6701096,1.6917831,1.7163788,1.7259547,1.7385202,1.7650744
0.02,0.86540392,0.80152133,0.93926213,0.92826306,0.8512607,0.85965739,0.87421302,0.8791202,0.88486493,0.89885357
0.03,0.43362514,0.40722598,0.46393154,0.45862705,0.42416416,0.42973332,0.43800046,0.44055945,0.44532279,0.45288016
0.04,0.32410574,0.30644399,0.34447416,0.33923883,0.31471474,0.32083978,0.32713274,0.33031809,0.33331207,0.34011797
0.05,0.28025129,0.26644099,0.29635753,0.29136493,0.27191966,0.27791252,0.28397201,0.28595854,0.28927723,0.29468016
0.06,0.25756453,0.24524826,0.27111335,0.26836835,0.249657,0.25489141,0.26026509,0.26249563,0.26540777,0.27201424
0.08,0.23280591,0.22141939,0.24534894,0.24086756,0.2258891,0.23059351,0.23553973,0.23847599,0.24010861,0.24598121
0.1,0.21754177,0.20766428,0.22885038,0.22562331,0.21059634,0.21552473,0.21957839,0.22119129,0.22509523,0.22942097
0.15,0.19284334,0.18390091,0.20201302,0.19953402,0.18671833,0.19068028,0.1949159,0.19705581,0.19915867,0.20357687
0.2,0.17573926,0.16806748,0.18442847,0.18206782,0.17046931,0.17444672,0.17789625,0.1797953,0.18223045,0.18605974
0.3,0.152183,0.14487538,0.16020087,0.15786549,0.14786128,0.1508004,0.15371453,0.15560435,0.15753841,0.16147979
0.356,0.1418897,0.13617452,0.14944909,0.14737365,0.13803547,0.14087025,0.14374121,0.14549114,0.14706788,0.15094423
0.4,0.13644923,0.13023416,0.14340365,0.14158958,0.13233955,0.13521082,0.13829841,0.13986387,0.14114414,0.14421626
0.5,0.12435658,0.11911494,0.1312386,0.1288944,0.12051426,0.12362661,0.12606794,0.12736844,0.12846005,0.13162002
0.511,0.12313597,0.11776357,0.12965269,0.12777326,0.1193172,0.12236632,0.12467957,0.12634194,0.12768914,0.13055677
0.6,0.1150412,0.1100354,0.12074737,0.11923128,0.11173348,0.11390697,0.11687384,0.11752077,0.11866351,0.12162223
0.662,0.11021437,0.10516249,0.11597223,0.11418514,0.10710023,0.10891072,0.11185271,0.1123996,0.1137932,0.11653313
0.8,0.10142931,0.096475715,0.10649076,0.10474757,0.098130547,0.10008259,0.10230607,0.10385659,0.10463231,0.10687474
1,0.090678263,0.086678196,0.095142508,0.093838278,0.087757403,0.089459629,0.091767881,0.093072099,0.093356782,0.095948651
1.173,0.083937874,0.080048797,0.08843748,0.08681984,0.081800322,0.082973925,0.084480461,0.085781224,0.086594488,0.088839372
1.33,0.078909905,0.075362998,0.082557806,0.081359746,0.076067067,0.078008384,0.079671145,0.080294429,0.081308436,0.083198343
1.5,0.074026943,0.070719958,0.077437512,0.076349594,0.071618632,0.073315896,0.075153279,0.075718879,0.076527054,0.077857321
2,0.06331882,0.060192809,0.066466555,0.065625033,0.061701993,0.062497501,0.064091815,0.064699551,0.06573592,0.067025523
2.51,0.055984708,0.053257566,0.059059637,0.058152559,0.054297233,0.055724749,0.056599119,0.057757009,0.0580726,0.059371908
3,0.050761069,0.048720524,0.052893847,0.052438163,0.049344258,0.050006059,0.051591089,0.052198341,0.052563759,0.053780734
4,0.043482333,0.041559539,0.045835715,0.045034358,0.041932298,0.042710749,0.043941669,0.044624273,0.04512797,0.046167419
5,0.038680076,0.036928707,0.04092048,0.040183549,0.037448261,0.038166008,0.039414519,0.039650577,0.039977996,0.041105247
6,0.035390143,0.033451214,0.037305182,0.036740608,0.034076898,0.034874304,0.035755717,0.035805005,0.036715031,0.037206496
7,0.032785655,0.031176445,0.034509931,0.033743517,0.031471873,0.032403896,0.033035911,0.033399107,0.034064749,0.034522278
8,0.030891727,0.029215339,0.032590636,0.032094594,0.029771543,0.030431141,0.031222207,0.031657977,0.03197873,0.032793974
9,0.029237446,0.027908736,0.030870558,0.03042662,0.028400216,0.028739024,0.029711682,0.029810267,0.030240175,0.030893771
10,0.027962717,0.026734852,0.02941982,0.029119092,0.027272413,0.027760924,0.028317764,0.028636904,0.029058241,0.029889143
11,0.027124641,0.02562738,0.028353868,0.028323527,0.02599294,0.026784118,0.027386914,0.027499719,0.027861665,0.02857056
12,0.02611961,0.024962461,0.027768589,0.027199139,0.025130917,0.025890765,0.026181994,0.026759184,0.027161722,0.027739024
13,0.025465313,0.024201909,0.026743759,0.026338995,0.024597027,0.02521378,0.025785737,0.025973867,0.026480541,0.027138508
14,0.024873011,0.023423709,0.026172594,0.025803173,0.023797548,0.02444473,0.025251699,0.025373582,0.025519237,0.026338955
15,0.024363328,0.022996009,0.025789957,0.025189289,0.023527104,0.024024654,0.024518198,0.024967786,0.025019403,0.025822202
