Energy_MeV,Mix1,Mix2,Mix3,Mix4,Mix5,Mix6,Mix7,Mix8,Mix9,Mix10
0.01,0.010096354,0.0080565503,0.013131121,0.012608993,0.0095585641,0.0099833073,0.010300005,0.0105744,0.010795455,0.011106824
0.015,0.0015230276,0.0013965643,0.0016699514,0.0016496837,0.0014922285,0.0015123209,0.0015349227,0.0015442747,0.0015558785,0.0015811755
0.02,0.00083579777,0.00078996678,0.00088943406,0.00088143832,0.00082563209,0.00083166444,0.00084222254,0.00084583778,0.00084991122,0.00086003166
0.03,0.0005227502,0.0005030133,0.00054512416,0.00054122566,0.00051569101,0.00051987854,0.00052597555,0.00052788266,0.00053141156,0.00053700401
0.04,0.00043850668,0.00042441472,0.00045452234,0.00045044347,0.00043104349,0.00043591993,0.00044090013,0.00044342946,0.00044577853,0.00045111144
0.05,0.00040293676,0.00039147125,0.00041609978,0.00041204906,0.00039602104,0.00040100701,0.00040598537,0.00040762996,0.00041032997,0.00041473606
0.06,0.000383919,0.00037343392,0.00039527725,0.00039298592,0.00037720587,0.00038166932,0.00038619019,0.00038808218,0.00039050909,0.00039602984
0.08,0.00036258922,0.00035256615,0.00037345102,0.00036958639,0.00035651419,0.00036065897,0.00036495874,0.00036751483,0.00036893095,0.00037398228
0.1,0.00034907051,0.00034018653,0.00035909188,0.00035624935,0.00034283923,0.00034726942,0.00035088642,0.00035232514,0.00035578052,0.00035959025
0.15,0.00032651717,0.00031811763,0.00033497623,0.00033271933,0.00032077288,0.00032449064,0.00032842971,0.00033041642,0.00033236734,0.00033639722
0.2,0.00031029412,0.0003028531,0.00031858537,0.00031633943,0.00030519307,0.0003090414,0.00031237053,0.00031418208,0.00031649942,0.00032011334
0.3,0.00028696372,0.00027945805,0.00029502629,0.00029268782,0.00028254886,0.00028555148,0.00028850692,0.00029041972,0.0002923646,0.00029628771
0.356,0.00027633708,0.00027031708,0.00028415262,0.0002820253,0.00027228967,0.00027527709,0.00027826832,0.00028007737,0.00028170388,0.00028567511
0.4,0.00027058976,0.00026394538,0.00027790916,0.00027601614,0.00026621367,0.00026928888,0.00027256202,0.00027419409,0.00027554545,0.00027875656
0.5,0.00025751765,0.00025168577,0.00026500318,0.00026247598,0.00025325231,0.00025671033,0.00025939356,0.00026081346,0.00026200397,0.00026541917
0.511,0.00025616226,0.00025017444,0.00026329659,0.00026125709,0.00025191544,0.00025531786,0.00025786949,0.00025969579,0.00026115847,0.00026426866
