Energy_MeV,Mix1,Mix2,Mix3,Mix4,Mix5,Mix6,Mix7,Mix8,Mix9,Mix10
0.01,0.19156856,0.20956564,0.17410777,0.17657791,0.19564132,0.19238703,0.19009891,0.18825369,0.18680163,0.18484868
0.015,0.58705526,0.63943618,0.53861975,0.54465168,0.59876308,0.59109231,0.58262198,0.57938948,0.57520184,0.56654835
0.02,1.1555298,1.2476274,1.0646655,1.0772808,1.1747283,1.1632541,1.143886,1.1375009,1.130116,1.1125283
0.03,2.3061394,2.455639,2.1554904,2.1804209,2.3575778,2.3270246,2.2831026,2.2698412,2.2455621,2.2080897
0.04,3.0854128,3.263239,2.9029753,2.9477757,3.1774806,3.1168204,3.0568631,3.0273849,3.0001914,2.9401563
0.05,3.5682263,3.7531762,3.3743026,3.4321221,3.6775568,3.5982546,3.5214739,3.4970104,3.4568915,3.3935097
0.06,3.8825222,4.0775008,3.6884941,3.7262219,4.0054956,3.9232393,3.8422364,3.8095872,3.7677871,3.6762781
0.08,4.2954236,4.5163162,4.0758278,4.1516591,4.4269511,4.3366356,4.2455683,4.1932942,4.1647819,4.0653511
0.1,4.5968182,4.8154646,4.3696671,4.4321662,4.7484207,4.6398388,4.5541822,4.5209736,4.4425641,4.3587995
0.15,5.1855564,5.437711,4.950176,5.0116767,5.3556607,5.2443807,5.1304179,5.0747044,5.0211222,4.9121494
0.2,5.6902483,5.949991,5.4221564,5.4924587,5.8661584,5.7324093,5.6212539,5.5618805,5.487557,5.3746177
0.3,6.571036,6.9024842,6.2421635,6.3345066,6.763096,6.6312819,6.5055657,6.4265554,6.3476584,6.1927256
0.356,7.0477277,7.3435176,6.6912419,6.7854737,7.2445147,7.0987309,6.9569471,6.8732708,6.7995813,6.6249635
0.4,7.3287334,7.6784768,6.9733231,7.0626668,7.5563199,7.3958577,7.2307413,7.1498095,7.084956,6.934031
0.5,8.0413917,8.3952525,7.6197092,7.7582888,8.2977735,8.0888736,7.9322311,7.8512387,7.7845211,7.5976283
0.511,8.1211036,8.4915906,7.7129135,7.8263639,8.3810215,8.172183,8.0205602,7.9150282,7.8315196,7.659503
0.6,8.6925376,9.0879844,8.2817539,8.3870606,8.9498692,8.7790943,8.5562349,8.5091345,8.4271908,8.222181
0.662,9.0732271,9.5090941,8.6227539,8.7577067,9.3370485,9.1818328,8.9403291,8.896829,8.7878712,8.5812507
0.8,9.8590828,10.365303,9.3904857,9.5467611,10.190507,9.9917479,9.7745914,9.6286615,9.557277,9.3567483
1,11.028001,11.536927,10.510549,10.656632,11.39505,11.178227,10.897059,10.744359,10.711595,10.422241
1.173,11.913573,12.49238,11.307423,11.518105,12.224891,12.051979,11.837057,11.657563,11.548079,11.25627
1.33,12.67268,13.269111,12.112725,12.291091,13.146294,12.819135,12.551596,12.454164,12.298847,12.01947
1.5,13.508595,14.14028,12.913638,13.097647,13.962847,13.639607,13.306139,13.206746,13.067274,12.844007
2,15.793093,16.61328,15.045161,15.238088,16.206932,16.00064,15.602616,15.456058,15.212383,14.91969
2.51,17.862021,18.776675,16.932038,17.196148,18.417145,17.945348,17.668119,17.313916,17.219825,16.842982
3,19.700137,20.525231,18.905791,19.070081,20.265782,19.997577,19.383192,19.157697,19.024514,18.594019
4,22.997846,24.061865,21.817048,22.205268,23.847966,23.41331,22.757442,22.409329,22.159206,21.660297
5,25.853103,27.079204,24.437641,24.885806,26.70351,26.201325,25.371361,25.220314,25.01376,24.327794
6,28.256455,29.894281,26.805928,27.21784,29.345394,28.674408,27.967556,27.929056,27.236801,26.877027
7,30.501145,32.075498,28.977166,29.635322,31.774404,30.860487,30.27009,29.94092,29.35586,28.966802
8,32.371127,34.228595,30.68366,31.157895,33.589123,32.861075,32.028485,31.587616,31.270785,30.493407
9,34.202714,35.831074,32.393324,32.865958,35.211,34.795893,33.656796,33.545489,33.068592,32.368985
10,35.761904,37.404359,33.990691,34.34173,36.66709,36.021855,35.313523,34.919976,34.413646,33.456965
11,36.866847,39.020766,35.268557,35.306337,38.471985,37.335558,36.513789,36.364008,35.891609,35.001064
12,38.285411,40.060152,36.011913,36.76587,39.791624,38.623811,38.194187,37.370348,36.816517,36.050295
13,39.269102,41.319055,37.391902,37.96652,40.65532,39.660853,38.781129,38.500235,37.763578,36.848009
14,40.20422,42.691787,38.207906,38.754923,42.021136,40.908613,39.601296,39.411069,39.186124,37.966578
15,41.045296,43.485808,38.774784,39.699413,42.50417,41.623909,40.786031,40.051609,39.96898,38.726364
