Energy_MeV,Mix1,Mix2,Mix3,Mix4,Mix5,Mix6,Mix7,Mix8,Mix9,Mix10
0.01,0.13278521,0.14525983,0.12068231,0.12239448,0.13560823,0.13335253,0.13176653,0.13048752,0.12948102,0.12812734
0.015,0.4069157,0.44322339,0.37334276,0.37752378,0.41503094,0.40971397,0.40384279,0.40160219,0.39869953,0.39270139
0.02,0.80095221,0.86478944,0.7379699,0.74671417,0.81425958,0.80630631,0.79288133,0.78845553,0.78333671,0.77114583
0.03,1.598494,1.7021192,1.4940721,1.5113526,1.6341484,1.6129705,1.5825261,1.573334,1.5565051,1.5305311
0.04,2.1386452,2.2619049,2.0121892,2.0432424,2.2024617,2.1604153,2.1188561,2.0984233,2.0795742,2.0379611
0.05,2.473306,2.6015035,2.3388883,2.3789658,2.5490881,2.49412,2.4408997,2.4239429,2.3961346,2.3522017
0.06,2.6911593,2.8263082,2.5566693,2.5828202,2.776398,2.7193823,2.6632353,2.6406047,2.611631,2.5482018
0.08,2.9773608,3.1304718,2.8251485,2.8777108,3.0685287,3.0059267,2.9428037,2.9065701,2.8868068,2.8178867
0.1,3.1862716,3.3378257,3.0288225,3.0721435,3.2913544,3.2160912,3.1567186,3.1337001,3.0793508,3.0212896
0.15,3.5943538,3.7691341,3.4312005,3.4738295,3.7122611,3.6351277,3.5561347,3.517517,3.4803767,3.4048425
0.2,3.9441795,4.1242195,3.7583524,3.8070823,4.0661112,3.9734034,3.8963563,3.8552018,3.8036846,3.7254011
0.3,4.5546951,4.7844374,4.326738,4.3907454,4.6878209,4.5964544,4.5093145,4.4545488,4.3998615,4.2924703
0.356,4.8851126,5.0901385,4.6380154,4.703332,5.0215149,4.9204653,4.8221883,4.7641883,4.7131106,4.5920748
0.4,5.0798909,5.3223145,4.8335392,4.8954676,5.2376418,5.1264179,5.0119679,4.9558703,4.9109173,4.8063041
0.5,5.573868,5.8191456,5.2815799,5.377636,5.7515783,5.6067799,5.4982036,5.442064,5.3958188,5.2662747
0.511,5.6291201,5.8859221,5.3461843,5.4248221,5.8092814,5.6645256,5.5594287,5.4862795,5.4283957,5.3091629
0.6,6.0252079,6.2993108,5.7404744,5.8134674,6.2035766,6.0852045,5.9307301,5.8980826,5.8412835,5.6991816
0.662,6.2890818,6.5912018,5.9768376,6.0703797,6.4719489,6.3643615,6.1969639,6.1668119,6.0912881,5.9480697
0.8,6.8337954,7.1846804,6.5089887,6.6173105,7.063521,6.9257519,6.7752305,6.6740796,6.6245996,6.4856037
1,7.644028,7.9967883,7.2853575,7.3866145,7.8984469,7.7481562,7.5532656,7.4474218,7.4247116,7.2241472
1.173,8.2578596,8.659058,7.8377084,7.9837417,8.4736486,8.3537952,8.2048224,8.0804067,8.0045185,7.8022521
1.33,8.7840327,9.197447,8.3959012,8.5195347,9.1123164,8.8855472,8.7001031,8.6325688,8.524911,8.3312619
1.5,9.3634446,9.8012952,8.9510518,9.0785969,9.678308,9.4542551,9.223113,9.1542188,9.0575442,8.9027874
2,10.946938,11.515448,10.428511,10.562237,11.233789,11.090798,10.81491,10.713323,10.544421,10.341541
2.51,12.381009,13.014999,11.736394,11.919461,12.765792,12.438767,12.246607,12.001092,11.935873,11.674666
3,13.655094,14.227006,13.104496,13.218373,14.04717,13.861264,13.435405,13.279104,13.186789,12.888392
4,15.940892,16.678414,15.122426,15.391519,16.53015,16.22887,15.774257,15.532963,15.359591,15.013774
5,17.920006,18.769874,16.938882,17.249526,18.509463,18.161375,17.586087,17.48139,17.338217,16.862742
6,19.585882,20.721137,18.580453,18.865969,20.340677,19.875585,19.385633,19.358946,18.879112,18.629735
7,21.141783,22.233041,20.085441,20.54164,22.024338,21.390859,20.981628,20.753464,20.347931,20.078257
8,22.437955,23.725454,21.268292,21.597007,23.282206,22.777561,22.200454,21.894867,21.675256,21.136419
9,23.707515,24.836208,22.453341,22.780946,24.406406,24.118675,23.329113,23.251961,22.921401,22.436471
10,24.788263,25.926726,23.560551,23.803873,25.41569,24.968448,24.477469,24.204683,23.853721,23.190601
11,25.554151,27.047134,24.446301,24.472488,26.666748,25.879037,25.30943,25.205609,24.878168,24.260889
12,26.537425,27.767582,24.961556,25.484159,27.581452,26.771986,26.474193,25.903151,25.519265,24.98816
13,27.219268,28.640187,25.918091,26.316386,28.18012,27.490808,26.88103,26.686329,26.175718,25.541094
14,27.867442,29.591692,26.483702,26.862866,29.126832,28.35569,27.449526,27.317671,27.161751,26.316426
15,28.450431,30.142065,26.876632,27.517536,29.461645,28.851495,28.270723,27.76166,27.704386,26.84307
