Energy_MeV,Mix1,Mix2,Mix3,Mix4,Mix5,Mix6,Mix7,Mix8,Mix9,Mix10
0.01,0.44110291,0.48254271,0.40089795,0.40658567,0.4504808,0.4429875,0.43771892,0.43347015,0.43012665,0.42562981
0.015,1.3517447,1.4723562,1.2402178,1.2541068,1.3787029,1.3610403,1.3415367,1.3340936,1.3244512,1.3045258
0.02,2.6607056,2.8727683,2.451483,2.4805308,2.7049118,2.6784916,2.6338948,2.6191926,2.6021882,2.561691
0.03,5.3100821,5.6543177,4.9632001,5.0206046,5.4285234,5.3581721,5.257038,5.2265026,5.1705979,5.0843143
0.04,7.1044256,7.5138855,6.6843478,6.7875045,7.3164195,7.1767443,7.0386875,6.9708113,6.908196,6.7699601
0.05,8.2161446,8.6420076,7.7696189,7.9027532,8.4678874,8.2852874,8.1084932,8.052164,7.9597868,7.8138449
0.06,8.9398377,9.3887927,8.4930716,8.5799429,9.2229944,9.0335924,8.8470762,8.7718988,8.6756505,8.4649431
0.08,9.8905783,10.399202,9.3849402,9.5595483,10.193432,9.9854724,9.7757823,9.6554168,9.5897646,9.3608169
0.1,10.584565,11.088017,10.06153,10.20544,10.933643,10.683624,10.486392,10.409926,10.229382,10.036507
0.15,11.940185,12.520792,11.398201,11.539812,12.331864,12.075633,11.813224,11.684939,11.561561,11.310642
0.2,13.102281,13.70036,12.484977,12.646853,13.507329,13.19936,12.943415,12.806703,12.635567,12.375515
0.3,15.13037,15.893557,14.373113,14.58574,15.572604,15.269091,14.979619,14.797691,14.616024,14.259278
0.356,16.227993,16.909074,15.407154,15.624131,16.681112,16.345432,16.018963,15.826291,15.656615,15.254542
0.4,16.875032,17.680346,16.05667,16.262391,17.399069,17.029592,16.649397,16.463045,16.313714,15.966196
0.5,18.515989,19.330783,17.545029,17.86412,19.10633,18.62532,18.264637,18.078145,17.924522,17.494186
0.511,18.699532,19.55261,17.75964,18.020869,19.298015,18.817147,18.468022,18.225026,18.03274,17.636657
0.6,20.015308,20.925857,19.069443,19.311921,20.607835,20.214612,19.701459,19.593006,19.404324,18.932271
0.662,20.891877,21.895498,19.854625,20.165365,21.499349,21.141951,20.585869,20.485706,20.234821,19.75906
0.8,22.701377,23.866992,21.622392,21.98223,23.464509,23.00685,22.506828,22.170813,22.006444,21.544709
1,25.392911,26.564756,24.201434,24.537802,26.238073,25.738818,25.091405,24.7398,24.664358,23.998098
1.173,27.432016,28.764768,26.036304,26.521416,28.148851,27.750707,27.25583,26.84253,26.590435,25.918521
1.33,29.179925,30.553258,27.89058,28.301282,30.27046,29.517149,28.901117,28.676773,28.319141,27.675853
1.5,31.10469,32.559198,29.73475,30.158446,32.150643,31.406356,30.638518,30.409657,30.088511,29.57442
2,36.36494,38.253492,34.642763,35.086993,37.31784,36.842834,35.926352,35.588888,35.027807,34.353855
2.51,41.128822,43.234892,38.987458,39.595594,42.407043,41.32069,40.682348,39.866765,39.650112,38.7824
3,45.361241,47.261091,43.532192,43.910484,46.663688,46.046122,44.63145,44.112227,43.805563,42.814312
4,52.954498,55.404491,50.23561,51.12952,54.91197,53.911138,52.400947,51.599387,51.023458,49.874677
5,59.52897,62.352171,56.269748,57.301685,61.487104,60.330781,58.419718,58.07192,57.596311,56.016817
6,65.062893,68.834126,61.722929,62.671393,67.570267,66.025263,64.397677,64.309028,62.715052,61.886641
7,70.231481,73.856563,66.722391,68.237852,73.163268,71.058897,69.699459,68.941516,67.594365,66.698526
8,74.537274,78.814253,70.651738,71.743705,77.341813,75.665421,73.748312,72.733173,72.003643,70.213664
9,78.754659,82.504097,74.588385,75.676664,81.076325,80.120503,77.497636,77.241344,76.143247,74.532343
10,82.344826,86.126719,78.266457,79.074755,84.429094,82.943387,81.312391,80.406217,79.240347,77.037509
11,84.889053,89.848633,81.208853,81.295846,88.585019,85.9683,84.076105,83.731222,82.643485,80.592928
12,88.155417,92.241909,82.920493,84.656545,91.6236,88.934612,87.945366,86.048406,84.773164,83.008871
13,90.42045,95.140641,86.098036,87.421144,93.612333,91.322488,89.29685,88.650067,86.953852,84.845677
14,92.573639,98.301473,87.976955,89.236508,96.757241,94.195562,91.185353,90.747339,90.229385,87.421276
15,94.510288,100.12977,89.282239,91.411276,97.869467,95.842593,93.913307,92.222238,92.031977,89.170749
