Energy_MeV,Photoelectric,Incoherent,Coherent,Pair_production
0.01,91.3787,3.7862,4.8351,0
0.015,78.3114,12.8701,8.8184,0
0.02,61.7293,26.6951,11.5756,0
0.03,33.0821,54.8189,12.099,0
0.04,17.2415,72.9075,9.851,0
0.05,9.5569,82.8087,7.6344,0
0.06,5.7056,88.3365,5.9579,0
0.08,2.4501,93.6915,3.8584,0
0.1,1.2588,96.0416,2.6997,0
0.15,0.378,98.234,1.388,0
0.2,0.1643,98.9713,0.8643,0
0.3,0.0537,99.4999,0.4464,0
0.356,0.0345,99.6266,0.3389,0
0.4,0.0258,99.693,0.2813,0
0.5,0.0152,99.7873,0.1975,0
0.511,0.0145,99.7947,0.1908,0
0.6,0.0103,99.8413,0.1484,0
0.662,0.0083,99.8643,0.1274,0
0.8,0.0059,99.899,0.0951,0
1,0.0041,99.9282,0.0677,0
1.173,0.0031,99.9349,0.0533,0.0087
1.33,0.0027,99.8981,0.0442,0.055
1.5,0.0023,99.8039,0.037,0.1568
2,0.0017,99.2462,0.0243,0.7278
2.51,0.0014,98.3772,0.0174,1.604
3,0.0012,97.3553,0.0134,2.6301
4,0.0009,94.905,0.0088,5.0852
5,0.0008,92.1983,0.0064,7.7945
6,0.0007,89.3659,0.0048,10.6286
7,0.0006,86.5251,0.0038,13.4704
8,0.0006,83.7226,0.0031,16.2737
9,0.0005,80.9886,0.0026,19.0082
10,0.0005,78.3564,0.0022,21.6409
11,0.0005,75.8378,0.0019,24.1599
12,0.0004,73.4331,0.0016,26.5648
13,0.0004,71.1249,0.0014,28.8733
14,0.0004,68.9341,0.0013,31.0643
15,0.0004,66.8493,0.0011,33.1492
