Energy_MeV,Mix1,Mix2,Mix3,Mix4,Mix5,Mix6,Mix7,Mix8,Mix9,Mix10
0.01,99.459301,99.153466,99.679669,99.652869,99.397233,99.447159,99.480687,99.506785,99.526736,99.55276
0.015,81.793967,79.06772,84.379677,84.055174,81.177357,81.58092,82.028424,82.199697,82.421967,82.882595
0.02,57.911849,55.135409,60.908382,60.476038,57.312357,57.669291,58.280979,58.4852,58.723008,59.296397
0.03,35.184482,33.450622,37.11934,36.784904,34.568354,34.93174,35.467452,35.632378,35.938254,36.420568
0.04,27.682623,26.394026,29.140714,28.768769,27.000292,27.446052,27.901196,28.130491,28.345345,28.831364
0.05,24.440615,23.389879,25.647845,25.275706,23.808453,24.263693,24.721228,24.870624,25.119542,25.523025
0.06,22.706825,21.748975,23.746994,23.537392,22.093204,22.499935,22.915279,23.087027,23.310683,23.815659
0.08,20.769266,19.861948,21.756853,21.405429,20.219343,20.593782,20.985573,21.21724,21.345757,21.806308
0.1,19.5506,18.752024,20.455246,20.198135,18.989899,19.388166,19.714278,19.843667,20.155982,20.50062
0.15,17.538885,16.798175,18.291571,18.088765,17.03226,17.360324,17.709614,17.88552,18.058013,18.419251
0.2,16.116332,15.470321,16.842058,16.64552,15.673103,16.007839,16.297074,16.45588,16.659074,16.977601
0.3,14.11689,13.48699,14.802736,14.603536,13.744924,13.998066,14.248322,14.410224,14.5756,14.911627
0.356,13.228304,12.730968,13.881772,13.702853,12.893221,13.139799,13.388814,13.540245,13.676462,14.010434
0.4,12.754938,12.211016,13.359573,13.202258,12.395652,12.646827,12.916121,13.052341,13.163586,13.429949
0.5,11.69351,11.229424,12.299151,12.093321,11.353555,11.629025,11.844504,11.959076,12.055131,12.332595
0.511,11.585657,11.109381,12.159955,11.99471,11.247377,11.517582,11.722027,11.868656,11.987307,12.239333
0.6,10.867058,10.419758,11.374217,11.239751,10.571743,10.765903,11.030257,11.087795,11.189341,11.451719
0.662,10.435788,9.9821758,10.950005,10.790722,10.156438,10.318952,10.582404,10.631293,10.755751,10.999939
0.8,9.6454955,9.1968051,10.101665,9.9448178,9.3469449,9.5237309,9.7246793,9.8645453,9.9344379,10.136177
1,8.668849,8.3027867,9.0756649,8.9570013,8.4016935,8.5574819,8.7683109,8.8872193,8.9131539,9.1489334
1.173,8.0511622,7.6928698,8.4639663,8.3157741,7.8544065,7.9624854,8.1010389,8.2204999,8.2951106,8.5007465
1.33,7.587682,7.2593221,7.9241789,7.8138004,7.324595,7.5043329,7.6580032,7.7155406,7.8090702,7.983138
1.5,7.1353327,6.8277223,7.4515146,7.3507746,6.9114162,7.069278,7.2398706,7.2923209,7.3672147,7.4903591
2,6.1355833,5.8417029,6.430579,6.3518051,5.983698,6.058459,6.208112,6.2650953,6.3621889,6.4828668
2.51,5.4446405,5.1864226,5.7349449,5.6494004,5.284946,5.4200568,5.5027185,5.6120726,5.6418559,5.7643765
3,4.9494251,4.7552721,5.1519309,5.1087003,4.814661,4.8776339,5.0282862,5.0859405,5.1206175,5.2360131
4,4.2550531,4.0707781,4.4801125,4.4035364,4.10653,4.1811493,4.2990221,4.3643256,4.4124849,4.5117916
5,3.7941555,3.6255159,4.0094541,3.9386897,3.6755746,3.7446864,3.8647872,3.887478,3.918942,4.0271884
6,3.4771235,3.2897909,3.6617916,3.6073862,3.350282,3.4273203,3.5124032,3.5171589,3.6049208,3.652284
7,3.2254031,3.0695471,3.3921254,3.3180554,3.0981789,3.1884515,3.2496185,3.2847515,3.3491078,3.3933183
8,3.0419453,2.8792696,3.2065284,3.1585029,2.9332736,2.9972775,3.0739828,3.1162109,3.1472818,3.2262082
9,2.8814167,2.7522885,3.0398928,2.996839,2.800072,2.8329986,2.9274629,2.9370324,2.9787515,3.0421435
10,2.7575379,2.638064,2.899127,2.8699217,2.6903878,2.7379131,2.7920574,2.8230754,2.864011,2.9446879
11,2.6760072,2.5301786,2.7955669,2.7926176,2.5658032,2.6428605,2.7015293,2.7125044,2.7477109,2.8166281
12,2.5781443,2.4653475,2.7386586,2.6832573,2.4817764,2.5558473,2.5842218,2.6404329,2.6796159,2.735783
13,2.5143807,2.3911391,2.6389311,2.5995149,2.4296985,2.4898567,2.5456124,2.5639448,2.6133006,2.6773568
14,2.4566226,2.3151503,2.583306,2.5473116,2.3516619,2.4148377,2.4935542,2.5054379,2.5196374,2.599511
15,2.4068937,2.2733615,2.5460236,2.4874686,2.3252499,2.3738359,2.4220069,2.4658669,2.4709012,2.549166
