Energy_MeV,Mix1,Mix2,Mix3,Mix4,Mix5,Mix6,Mix7,Mix8,Mix9,Mix10
0.01,0.0054590853,0.0068201465,0.0042063116,0.0043769758,0.0057615881,0.0055191783,0.0053489228,0.0052154503,0.0051090992,0.004967414
0.015,0.027728291,0.029233276,0.026085181,0.026303919,0.028087684,0.02785556,0.027584981,0.027488557,0.027349284,0.027065621
0.02,0.035177183,0.035441536,0.034769416,0.034837935,0.035244288,0.035204945,0.0351367,0.035114786,0.035081779,0.035006387
0.03,0.033882325,0.033475223,0.034277767,0.034213632,0.033742511,0.033827592,0.033942543,0.033978551,0.034043152,0.03414241
0.04,0.031711653,0.031239459,0.032207129,0.032085642,0.031466049,0.031627712,0.031788372,0.031869057,0.031942106,0.032104986
0.05,0.030445654,0.02999066,0.030937915,0.030790075,0.030173456,0.03037079,0.03056208,0.030624985,0.030725696,0.030888288
0.06,0.029674318,0.029221587,0.030141078,0.030048729,0.029386901,0.029579397,0.029769363,0.029848554,0.029947875,0.030171272
0.08,0.02872821,0.028253964,0.029219983,0.029047484,0.028442936,0.028638565,0.028837006,0.028953833,0.029017984,0.029243055
0.1,0.028082513,0.027639467,0.028563875,0.028429363,0.02777344,0.027994025,0.02817117,0.028241092,0.028406947,0.028587202
0.15,0.02692497,0.026467967,0.027370381,0.027253451,0.026613801,0.026815801,0.027026607,0.027131973,0.02723484,0.027443537
0.2,0.026028609,0.025600076,0.026492904,0.026368309,0.025735984,0.025957055,0.026146328,0.026248066,0.026377354,0.026576577
0.3,0.024645337,0.024176757,0.025135433,0.024994505,0.024371274,0.024557979,0.024739953,0.024856959,0.024975071,0.025210639
0.356,0.023978237,0.02359031,0.024470721,0.024337979,0.023718276,0.023910623,0.024101149,0.024215421,0.024317676,0.024565078
0.4,0.023607621,0.023171496,0.024078168,0.023957577,0.023321475,0.023523238,0.023735758,0.023840534,0.023927379,0.02413197
0.5,0.02274048,0.022342291,0.023241004,0.023073392,0.022449917,0.022685742,0.022866967,0.022962258,0.023041905,0.02326861
0.511,0.022648418,0.022238161,0.023127985,0.022992006,0.022358157,0.022591141,0.022764196,0.022887339,0.022985261,0.023192393
0.6,0.022022633,0.021619074,0.022466412,0.022350826,0.021757088,0.021932165,0.022167126,0.022217335,0.022306594,0.022533054
0.662,0.021632576,0.021210816,0.022095806,0.021953954,0.021374096,0.021525709,0.021766138,0.021810005,0.021922009,0.022139531
0.8,0.020887894,0.02044638,0.021321824,0.021173981,0.020595892,0.020769216,0.020963709,0.021097723,0.021164503,0.021354451
1,0.019907284,0.019521718,0.020323816,0.020204042,0.01962711,0.019791058,0.020010432,0.020132101,0.020158705,0.020397618
1.173,0.019249037,0.018852628,0.019691971,0.019534447,0.019032641,0.019152043,0.019303124,0.019432276,0.019512663,0.019730562
1.33,0.01873275,0.018355632,0.019109029,0.018986692,0.018431748,0.018638383,0.018812265,0.018876963,0.018981522,0.019173969
1.5,0.018209882,0.017842786,0.018576894,0.018461302,0.017943316,0.018131911,0.018332143,0.018393612,0.018480327,0.018621669
2,0.016975622,0.016590408,0.01735176,0.017252325,0.016777648,0.016875568,0.017069165,0.017141827,0.017265295,0.017417088
2.51,0.016049515,0.015685244,0.016446248,0.016330549,0.015825538,0.016015002,0.016129621,0.016279651,0.016320237,0.016485981
3,0.015341511,0.015053124,0.015635586,0.015573235,0.015142113,0.015235671,0.015456701,0.015540452,0.015590273,0.015755569
4,0.01427596,0.013976874,0.014631651,0.014511575,0.014035472,0.014157044,0.014346063,0.014449799,0.014525705,0.014680712
5,0.013512662,0.013220587,0.013875124,0.013757145,0.013307971,0.01342765,0.01363285,0.013671164,0.013724131,0.013904624
6,0.012956747,0.012615383,0.013283806,0.013188417,0.012726693,0.012867159,0.013019961,0.013028644,0.013184052,0.013267198
7,0.01249507,0.012199358,0.012802916,0.012667422,0.012254253,0.012425782,0.012540716,0.012605686,0.0127244,0.012805167
8,0.012146032,0.011826679,0.012459637,0.01236903,0.011933723,0.012059201,0.012207759,0.012288572,0.01234782,0.01249649
9,0.011830744,0.01157033,0.012141959,0.012058168,0.011667609,0.011733948,0.011922135,0.011941049,0.012022983,0.012146212
10,0.011580936,0.011334266,0.011865974,0.011807942,0.011443055,0.011540883,0.011651146,0.011713936,0.011796118,0.011956035
11,0.011413326,0.011106234,0.011658273,0.011652406,0.01118224,0.011344382,0.011466255,0.011488601,0.011560921,0.011700847
12,0.011208253,0.010966646,0.011542295,0.01142824,0.011002251,0.01116098,0.011221053,0.01133904,0.01142061,0.011536352
13,0.01107231,0.010804476,0.011335899,0.011253298,0.010888861,0.011019641,0.011139017,0.011178062,0.011282367,0.011416016
14,0.010947663,0.010635402,0.011219084,0.011142635,0.01071705,0.010856435,0.011027603,0.01105302,0.01108359,0.011253281
15,0.010839023,0.010541173,0.011140027,0.011014407,0.010658015,0.010766159,0.010872177,0.010967703,0.010978571,0.011146592
