bin_left,bin_right,bin_center,density,N01_density
-4.0,-3.75,-3.875,0.0,0.0002189316377646121
-3.75,-3.5,-3.625,0.0,0.0005590615222321649
-3.5,-3.25,-3.375,0.0,0.0013411188734903778
-3.25,-3.0,-3.125,0.010526315789473684,0.0030222580351987566
-3.0,-2.75,-2.875,0.010526315789473684,0.006398120310723557
-2.75,-2.5,-2.625,0.0,0.012724181596831433
-2.5,-2.25,-2.375,0.0,0.023771900829913806
-2.25,-2.0,-2.125,0.06315789473684211,0.04172098525633861
-2.0,-1.75,-1.875,0.05263157894736842,0.0687862758266919
-1.75,-1.5,-1.625,0.06315789473684211,0.10653826813058508
-1.5,-1.25,-1.375,0.12631578947368421,0.15501226545829322
-1.25,-1.0,-1.125,0.21052631578947367,0.21187664577569948
-1.0,-0.75,-0.875,0.25263157894736843,0.2720549983785435
-0.75,-0.5,-0.625,0.4105263157894737,0.3281609685503751
-0.5,-0.25,-0.375,0.49473684210526314,0.37185509386976895
-0.25,0.0,-0.125,0.3684210526315789,0.3958376869447495
0.0,0.25,0.125,0.5052631578947369,0.3958376869447495
0.25,0.5,0.375,0.2736842105263158,0.37185509386976895
0.5,0.75,0.625,0.3368421052631579,0.3281609685503751
0.75,1.0,0.875,0.18947368421052632,0.2720549983785435
1.0,1.25,1.125,0.22105263157894736,0.21187664577569948
1.25,1.5,1.375,0.18947368421052632,0.15501226545829322
1.5,1.75,1.625,0.06315789473684211,0.10653826813058508
1.75,2.0,1.875,0.031578947368421054,0.0687862758266919
2.0,2.25,2.125,0.05263157894736842,0.04172098525633861
2.25,2.5,2.375,0.031578947368421054,0.023771900829913806
2.5,2.75,2.625,0.031578947368421054,0.012724181596831433
2.75,3.0,2.875,0.010526315789473684,0.006398120310723557
3.0,3.25,3.125,0.0,0.0030222580351987566
3.25,3.5,3.375,0.0,0.0013411188734903778
3.5,3.75,3.625,0.0,0.0005590615222321649
3.75,4.0,3.875,0.0,0.0002189316377646121
