Energy_MeV,Mix1,Mix2,Mix3,Mix4,Mix5,Mix6,Mix7,Mix8,Mix9,Mix10
0.01,1.8169197,-0.10317968,-0.96766039,-0.50949509,1.1222717,0.69892388,-0.50802485,0.69254499,-0.30445887,-0.19242874
0.015,-1.9633793,0.12760775,-0.64165901,0.51417877,0.23300822,-0.1151188,-0.23938483,0.67249341,-1.039907,0.95650858
0.02,-0.17478288,-0.48162129,-1.8306141,2.752939,-1.0933962,-1.1349893,-0.018816526,-0.60108907,-0.30973866,-0.25507272
0.03,0.71420212,-0.6695706,0.092304872,-0.13075942,-0.79140986,-0.73780409,1.0196184,0.16258686,-0.073031639,0.61164119
0.04,-3.0545208,-1.266801,1.3998177,-0.69625948,-0.34848656,0.65959397,1.0787196,0.5907235,1.4952999,-0.5354208
0.05,0.22513102,1.1377545,0.22566293,-0.94101154,-0.42502966,0.62621942,0.66793639,0.7867716,2.5828819,-0.11897479
0.06,0.59592459,1.1480843,-0.46509477,-0.5014868,-0.88547327,0.16963135,1.358344,0.60849405,-0.3162801,0.31278429
0.08,-1.2157993,0.056376586,0.58218665,-0.44179519,0.0081502505,-1.0114358,-0.073041928,-2.2124308,0.44183787,1.5655429
0.1,-1.2910683,-1.5689936,0.1332193,0.31039987,-0.78364286,-0.046496369,0.32050181,-1.4178808,0.9840277,0.032239752
0.15,0.18209403,0.32705947,-0.76796687,-1.9065588,-1.0219213,0.12882702,-0.40930755,-0.77153601,-0.72845139,-0.17330852
0.2,-2.7557122,1.8926139,-1.0076083,0.30787497,0.59373239,1.4858568,0.65914369,-0.65791391,1.1623881,0.5939337
0.3,-0.66167746,-0.70885459,-0.1033372,-1.2639022,-1.8732694,-1.4154698,-0.83511351,2.2851839,-0.8098747,0.80213816
0.356,-1.2907807,1.2008606,0.057940723,-1.0785306,0.12179863,-0.91061498,1.291437,-0.90330159,0.17703735,-0.1233159
0.4,0.28902623,-1.5162908,-0.7815759,0.63103693,2.2788346,0.7117939,-0.27575669,1.0936645,0.56374824,2.1113246
0.5,-1.3432605,-0.081142663,0.17677288,1.1458101,-0.31552749,0.34098236,-0.32287709,-0.63537467,1.0973901,-1.2322272
0.511,-0.58492519,0.1203539,0.14671218,-0.39773249,1.0543407,-0.71601534,0.19739285,1.3614997,0.083385601,0.43576582
0.6,1.0552092,-0.34786214,-0.33310104,1.2213972,1.1159497,-0.40594801,-0.50815205,-0.49755089,0.89817366,-0.98408029
0.662,-0.38150261,-0.1336185,0.11778489,-0.70349682,-0.64708555,-0.33822156,1.2123264,-0.32225215,-0.52166399,-1.6210997
0.8,0.23962621,-0.63106274,0.86462097,-0.60548807,-0.11405859,-0.081377576,0.40435537,-0.57284757,-1.172865,-1.2410528
1,-0.46133886,-0.35150645,0.68383319,0.62793926,0.17147026,0.66568002,0.88793187,-0.85896672,1.3967209,-0.32163387
1.173,0.29441564,-1.5794608,-0.36319126,-1.1935062,-0.027576897,-0.45977024,-0.069796722,0.56317876,1.3560786,1.431915
1.33,-0.75485196,-2.2173763,0.070763172,-0.72251266,2.121498,-1.3419891,0.20034726,0.12702747,0.88877839,-0.5052019
1.5,-0.3653124,1.7471342,-0.40693861,-0.45994937,-0.59894147,0.5795148,-2.2209424,-0.81789084,-1.2909259,0.35164409
2,-0.89798731,0.035199654,-0.42599056,0.011417192,0.99681763,0.33478516,-0.51820356,0.43477027,-0.12145627,-0.15406934
2.51,0.073677115,-0.42796555,0.14971112,0.28196879,-0.3234405,2.4209833,1.5518312,0.78420952,-1.1304916,1.7530644
3,-0.48102263,-1.1024859,0.80360133,0.32181136,1.3708254,-2.1959429,0.58387148,0.12468108,0.10110084,0.1000326
4,1.003235,-0.57410426,-0.94208219,1.5472649,-0.40593201,0.95262534,0.42979519,-0.57412389,0.13679373,-1.7375408
5,-0.10149623,0.0787722,-0.36931516,2.2104201,0.53784297,0.20684383,-0.24257887,-0.48316415,1.0002566,0.75082869
6,-0.52009605,-0.79569095,1.2390614,-0.13790785,-0.60255187,-1.2243048,-1.6139564,-0.099224486,0.18344455,0.2461696
7,1.6929099,0.6795494,1.426257,0.071994582,0.90887835,-1.0571119,-0.58787282,0.55577724,-0.72317104,0.7016563
8,1.3328927,-0.41434966,-0.91557207,-0.39455053,-0.2068623,-1.360073,0.33289396,1.6796144,0.54319217,1.3586744
9,1.1704621,1.366463,-0.40135113,-0.11522625,-1.2999004,-0.17939329,0.58585295,-0.048911247,-1.2431999,0.0069831136
10,0.92181628,2.061136,0.44650117,0.1776666,0.022227223,1.3401706,-0.3717972,0.30118297,2.1709693,0.4317467
11,-0.34604346,-0.17369752,-1.0093977,0.1136185,0.29682145,-0.56724446,1.3312963,0.37382729,-0.69043266,-0.35160107
12,-2.020596,-0.60849176,0.0033262206,-0.45081359,-0.48665173,-0.097330425,2.5870882,-0.79754888,-0.10616135,-0.033076113
13,1.0562229,-0.52948452,-1.1202124,-0.72336516,-0.26763139,-0.82924845,-0.86372609,1.4138063,0.017585907,1.0676082
14,2.6685514,0.95802341,-1.4087535,0.44345778,1.2876456,0.8574527,-0.12347744,-0.56549964,-1.9351008,0.19751646
15,-0.45270448,0.2682885,-2.0240026,-0.37732473,0.53638896,-1.1328697,0.26930264,0.86340055,0.08858473,-0.76725486
