Energy_MeV,Mix1,Mix2,Mix3,Mix4,Mix5,Mix6,Mix7,Mix8,Mix9,Mix10
0.01,7.237117,7.136493,7.332527,7.393715,7.391719,7.28829,7.1863,7.135835,7.085719,6.986519
0.015,6.584604,6.444289,6.721039,6.785787,6.695446,6.621479,6.547801,6.511069,6.474408,6.4013
0.02,5.814551,5.650613,5.978642,6.039233,5.868869,5.832707,5.796345,5.778089,5.759782,5.723015
0.03,4.745701,4.586183,4.911827,4.960624,4.730052,4.74044,4.751008,4.756359,4.761758,4.772696
0.04,4.268753,4.124173,4.421977,4.463703,4.225965,4.254335,4.28333,4.298069,4.312972,4.343282
0.05,4.055774,3.920259,4.200508,4.238735,4.001745,4.03755,4.074218,4.092886,4.111782,4.150276
0.06,3.950024,3.819485,4.089974,4.126409,3.890676,3.929995,3.970304,3.990841,4.011639,4.054041
0.08,3.857442,3.731508,3.992905,4.027824,3.793761,3.835942,3.879222,3.901288,3.923645,3.969255
0.1,3.820423,3.696347,3.954061,3.988408,3.755141,3.798379,3.842758,3.86539,3.888324,3.935125
0.15,3.788538,3.666046,3.920615,3.954568,3.722119,3.766107,3.811269,3.834305,3.857653,3.90531
0.2,3.779008,3.657007,3.9106,3.944475,3.712338,3.756491,3.801827,3.824954,3.848395,3.896246
0.3,3.772454,3.65078,3.903724,3.937579,3.705684,3.749902,3.795309,3.818474,3.841954,3.889887
0.356,3.770777,3.649178,3.901973,3.935833,3.704008,3.748225,3.793632,3.816797,3.840278,3.888214
0.4,3.769979,3.648417,3.901139,3.934997,3.703198,3.747423,3.792838,3.816008,3.839493,3.887438
0.5,3.769134,3.647612,3.900254,3.934091,3.702298,3.746559,3.792012,3.8152,3.838704,3.886688
0.511,3.769058,3.647539,3.900175,3.934012,3.702221,3.746483,3.791937,3.815125,3.83863,3.886614
0.6,3.768452,3.646958,3.899544,3.933394,3.701639,3.745885,3.791322,3.814502,3.837999,3.885968
0.662,3.768123,3.646648,3.899198,3.933061,3.701338,3.745566,3.790985,3.814156,3.837644,3.885594
0.8,3.767718,3.646229,3.898807,3.932643,3.700874,3.74514,3.790599,3.81379,3.837298,3.885289
1,3.767462,3.645975,3.898549,3.932366,3.700572,3.744869,3.790358,3.813565,3.837088,3.88511
1.173,3.767591,3.646146,3.898636,3.932499,3.700802,3.745032,3.790454,3.813628,3.837117,3.885073
1.33,3.768127,3.646649,3.899203,3.93303,3.701259,3.745542,3.791016,3.814215,3.837731,3.885738
1.5,3.769413,3.647919,3.900505,3.934325,3.702537,3.746825,3.792305,3.815508,3.839026,3.887039
2,3.777521,3.655708,3.908921,3.942603,3.710413,3.754856,3.800489,3.823768,3.847363,3.895528
2.51,3.789102,3.66702,3.920756,3.954356,3.721893,3.766404,3.812104,3.835415,3.859042,3.907269
3,3.8048,3.682135,3.937018,3.970352,3.737158,3.781958,3.827946,3.851401,3.875172,3.923685
4,3.838647,3.714904,3.971896,4.004752,3.770276,3.815562,3.862034,3.88573,3.909739,3.958726
5,3.876209,3.751323,4.010542,4.042862,3.807056,3.852865,3.899854,3.923806,3.948071,3.997564
6,3.915772,3.789721,4.051203,4.082953,3.845833,3.892167,3.939677,3.963887,3.988407,4.038406
7,3.955831,3.828637,4.09233,4.12348,3.885095,3.931962,3.979997,4.004467,4.029246,4.079755
8,3.99568,3.867407,4.133179,4.163736,3.924211,3.971568,4.020087,4.044795,4.069811,4.120785
9,4.03517,3.905857,4.173625,4.203562,3.962953,4.010811,4.059822,4.084774,4.11003,4.161478
10,4.073732,3.943444,4.213076,4.242403,4.000821,4.049144,4.098612,4.123788,4.149267,4.201151
11,4.111058,3.979892,4.25119,4.279935,4.037535,4.086267,4.136137,4.16151,4.187183,4.239448
12,4.147357,4.015353,4.288237,4.316382,4.073207,4.12236,4.172641,4.198216,4.224088,4.276742
13,4.182336,4.04956,4.323898,4.351473,4.107643,4.157161,4.207796,4.233545,4.259588,4.312575
14,4.216447,4.082966,4.35862,4.385626,4.141228,4.191098,4.242077,4.267993,4.294201,4.347509
15,4.249179,4.11503,4.391929,4.418369,4.173448,4.223662,4.274975,4.301054,4.327422,4.381042
