Energy_MeV,CHONS_band_min,CHONS_band_max,Water,PMMA
0.01,6.98652,7.39372,7.57118,6.63317
0.015,6.4013,6.78579,6.80101,5.9734
0.02,5.65061,6.03923,5.89379,5.26603
0.03,4.58618,4.96062,4.5856,4.36493
0.04,4.12417,4.4637,3.98084,3.9877
0.05,3.92026,4.23874,3.70709,3.82342
0.06,3.81948,4.12641,3.57075,3.74246
0.08,3.73151,4.02782,3.45094,3.6716
0.1,3.69635,3.98841,3.40322,3.64304
0.15,3.66605,3.95457,3.36208,3.61798
0.2,3.65701,3.94448,3.34951,3.6104
0.3,3.65078,3.93758,3.34083,3.60503
0.356,3.64918,3.93583,3.33863,3.60359
0.4,3.64842,3.935,3.3376,3.60292
0.5,3.64761,3.93409,3.33656,3.6023
0.511,3.64754,3.93401,3.33646,3.60223
0.6,3.64696,3.93339,3.33565,3.60167
0.662,3.64665,3.93306,3.33514,3.60135
0.8,3.64623,3.93264,3.335,3.60099
1,3.64597,3.93237,3.33482,3.60082
1.173,3.64615,3.9325,3.3344,3.60092
1.33,3.64665,3.93303,3.33532,3.60148
1.5,3.64792,3.93432,3.33665,3.60273
2,3.65571,3.9426,3.34737,3.6102
2.51,3.66702,3.95436,3.36062,3.62111
3,3.68214,3.97035,3.3812,3.63564
4,3.7149,4.00475,3.42388,3.66723
5,3.75132,4.04286,3.47124,3.70237
6,3.78972,4.08295,3.52131,3.7394
7,3.82864,4.12348,3.57233,3.77698
8,3.86741,4.16374,3.62309,3.8144
9,3.90586,4.20356,3.67379,3.85158
10,3.94344,4.2424,3.72348,3.88791
11,3.97989,4.27994,3.77146,3.92315
12,4.01535,4.31638,3.81857,3.95749
13,4.04956,4.35147,3.86406,3.99056
14,4.08297,4.38563,3.90845,4.02293
15,4.11503,4.41837,3.95143,4.054
